spp,n.x,mean_lfm_fall_spp.x,sd_lfm_fall_spp.x,mean_tlp_spp,sd_spp,n.y,mean_lfm_fall_spp.y,sd_lfm_fall_spp.y,unique_id,age,pod,site,date,doy,type,location,month,bottle_number,lfm,timing,wettest_lfm,predawn,midday,dry_with_bottle,wet_with_bottle,bottle_weight,g_ww,g_dw,gww_gdw,rwc_wettest,rwd_wettest,swc_wettest,mpa,predawn1,predawn2,predawn3,midday1,midday2,midday3,rwc,rwd,water_potential,swc,year
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,ABCO_new_1_1.4,new,1.4,1,2021-04-24,114,tree,CZO,4,12,124.2028867,spring,267.8534393,-0.665,-0.935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.69,-0.64,NA,-0.93,-0.94,NA,46.36971883750608,53.63028116249392,-0.935,2.678534393,2021
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,ABCO_new_1_1.4,new,1.4,1,2021-06-16,167,tree,CZO,6,10,95.41994477,spring,267.8534393,-0.88,-2.166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.87,-0.89,NA,-2.32,-2.06,-2.12,35.62393860589118,64.37606139410882,-2.166666667,2.678534393,2021
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,ABCO_new_1_1.4,new,1.4,1,2021-07-08,189,tree,CZO,7,12,NA,spring,267.8534393,-1.275,-2.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.31,-1.24,NA,-2.22,-2.32,NA,100,0,-2.27,2.678534393,2021
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,ABCO_new_1_1.4,new,1.4,1,2021-10-16,289,tree,CZO,10,,228.4087987,fall,267.8534393,-1.07,-1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.1,-1.04,NA,-1.91,-1.89,NA,85.2737972291551,14.726202770844907,-1.9,2.678534393,2021
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,ABCO_New_1_1.4,New,1.4,1,2021-04-24,114,tree,CZO,4,NA,NA,NA,NA,-0.665,-0.8025,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.8025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,ABCO_new_1_1.5,new,1.5,1,2021-04-24,114,tree,CZO,4,58,131.0974719,spring,133.5897057,-0.625,-1.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.86,-0.39,NA,-1.14,-1.09,NA,98.13441178948565,1.8655882105143462,-1.115,1.335897057,2021
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,ABCO_new_1_1.5,new,1.5,1,2021-05-15,135,tree,CZO,5,15,42.18603814,spring,133.5897057,-0.905,-1.825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.88,-0.93,NA,-1.84,-1.81,NA,31.578809099809252,68.42119090019075,-1.825,1.335897057,2021
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,ABCO_new_1_1.5,new,1.5,1,2021-07-08,189,tree,CZO,7,50,NA,spring,133.5897057,-1.005,-1.995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.04,-0.97,NA,-2.03,-1.96,NA,-17.929413680862684,117.92941368086268,-1.995,1.335897057,2021
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,ABCO_new_1_1.5,new,1.5,1,2021-07-30,211,tree,CZO,7,15,116.507718,spring,133.5897057,-1.353333333,-2.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.43,-1.3,-1.33,-2.24,-2.31,NA,87.21309579170665,12.78690420829335,-2.275,1.335897057,2021
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,ABCO_new_1_1.5,new,1.5,1,2021-08-19,231,tree,CZO,8,15,133.5897057,fall,133.5897057,-1.645,-2.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.61,-1.68,NA,-2.21,-2.21,NA,100,0,-2.21,1.335897057,2021
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,ABCO_New_1_1.5,New,1.5,1,2021-04-24,114,tree,CZO,4,NA,NA,NA,NA,-0.625,-0.8575,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.8575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,ABCO_new_1_1.6,new,1.6,1,2021-04-24,114,tree,CZO,4,59,127.7849324,spring,249.5819519,-0.715,-0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.72,-0.71,NA,-0.89,-0.89,NA,51.19958852281097,48.80041147718903,-0.89,2.495819519,2021
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,ABCO_new_1_1.6,new,1.6,1,2021-05-15,135,tree,CZO,5,59,117.0487395,spring,249.5819519,-0.75,-1.515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.77,-0.73,NA,-1.5,-1.53,NA,46.89791814229336,53.10208185770664,-1.515,2.495819519,2021
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,ABCO_new_1_1.6,new,1.6,1,2021-07-08,189,tree,CZO,7,59,249.5819519,spring,249.5819519,-1.213333333,-2.193333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.17,-1.28,-1.19,-2.06,-2.34,-2.18,100,0,-2.193333333,2.495819519,2021
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,ABCO_new_1_1.6,new,1.6,1,2021-07-30,211,tree,CZO,7,59,147.7605512,spring,249.5819519,-1.69,-2.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.73,-1.65,NA,-2.14,-2.18,NA,59.20321965396088,40.79678034603912,-2.16,2.495819519,2021
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,ABCO_new_1_1.6,new,1.6,1,2021-08-19,231,tree,CZO,8,41,140.6290549,fall,249.5819519,-1.815,-2.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.77,-1.86,NA,-2.1,-2.13,NA,56.34584305052067,43.65415694947933,-2.115,2.495819519,2021
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,ABCO_new_1_1.6,new,1.6,1,2021-09-16,259,tree,CZO,9,59,158.148316,fall,249.5819519,-2.03,-2.195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.11,-1.97,-2.01,-2.25,-2.14,NA,63.36528534858373,36.63471465141627,-2.195,2.495819519,2021
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,ABCO_new_1_1.6,new,1.6,1,2021-10-16,289,tree,CZO,10,,228.5596409,fall,249.5819519,-1.195,-1.825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.15,-1.24,NA,-1.87,-1.78,NA,91.57699070787658,8.423009292123425,-1.825,2.495819519,2021
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,ABCO_New_1_1.6,New,1.6,1,2021-04-24,114,tree,CZO,4,NA,NA,NA,NA,-0.715,-0.8025,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.8025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,ABCO_New_1_2,New,2,1,2020-07-15,197,tree,CZO,7,NA,NA,NA,NA,-0.601,-1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,ABCO_New_1_2,New,2,1,2020-07-27,209,tree,CZO,7,NA,NA,NA,NA,-0.6,-2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,ABCO_New_1_2,New,2,1,2020-08-04,216,tree,CZO,8,38,191.0454938,fall,305.8628758,-0.705,-1.92,75.6538,91.1495,67.5428,23.606700000000004,8.111000000000004,2.910454937738872,62.461157896430144,37.538842103569856,3.058628758,-1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,ABCO_New_1_2,New,2,1,2020-08-26,238,tree,CZO,8,12,172.4758793,fall,305.8628758,-0.805,-2.3915,77.5762,95.4704,67.2013,28.269099999999995,10.374899999999997,2.7247587928558352,56.389935800113214,43.610064199886786,3.058628758,-2.3915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,ABCO_New_1_2,New,2,1,2020-10-19,292,tree,SEKI,10,38,161.9039524,fall,305.8628758,-1.996,-2.0865,71.5229,79.1421,66.8169,12.325199999999995,4.706000000000003,2.619039524011897,52.93350884004211,47.06649115995789,3.058628758,-2.0865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,ABCO_New_1_3,New,3,1,2020-07-15,197,tree,CZO,7,NA,NA,NA,NA,NA,-1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,ABCO_New_1_3,New,3,1,2020-07-27,209,tree,CZO,7,NA,NA,NA,NA,-0.7,-1.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,ABCO_New_1_3,New,3,1,2020-08-04,216,tree,CZO,8,43,177.085171,fall,279.2466681,-0.775,-1.805,80.2091,103.6975,66.9452,36.752300000000005,13.263900000000007,2.770851710281289,63.4153210152483,36.5846789847517,2.792466681,-1.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,ABCO_New_1_3,New,3,1,2020-08-26,238,tree,CZO,8,64,183.0025152,fall,279.2466681,-0.9545,-1.9645,73.3204,85.3982,66.7206,18.677599999999998,6.599800000000002,2.8300251522773405,65.53435944111807,34.46564055888193,2.792466681,-1.9645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020
