"","hydration","ambient.humidity","ambient.temp","bins10lfm","bins20lfm","bins5lfm","bottle.wt","dry.wt","dw.flam.sample","fd","fh","fresh.wt","gd","gdw.gfw","gdw.gww","gdw.gww.saturated","glow","gr","gti","gww.gdw","gww.gdw.saturated","ignition","ignition.temp","ignition.temp.higher","individual","lfm","lfm.NAs.imputed","lfm.notes","lfm.outliers.out","max.mpa.sample","model","model.spp.gr","month","mpa","pfg","prop.ignite","prop.new","prop.new.lfm","ros","round","RWC","RWD","sample","sample.length","sample.wt","site","spp","start.temp","temp.change","temp.max","temp.max.higher","temp.start.higher","ttfg","tti","ttms","video.notes...56","video.notes...57","water.wt","ww.flam.sample","year","year.month","fh_nas_imputed","flam.index","mean.wt","dry.norm.fh","dry.norm.gd","dry.norm.fd","dry.norm.pfg","dry.norm.ttfg","dry.norm.tti","dry.norm.gti","ignition_num"
"128","moderate",62,22,"(70,80]","(60,80]","(70,75]",7.2246,7.8071,1.1736671454764,NA,NA,8.2357,392,0.947958279199097,18.215352309846,6.58750470455401,1,"(70,80]",NA,0.7357939914,1.682665161,0,NA,NA,"2020_September_CECO_2.1",73.57939914,73.57939914,NA,73.57939914,-0.262,"HP","2020_September_HP_CECO_(70,80]","September",6.18,NA,10,NA,NA,NA,7,43.7278912319502,56.2721087680498,2.1,10,1.2381,2,"CECO",261.4,NA,NA,NA,222.3,44,NA,NA,"gpesample touching pilot flame",NA,0.428599999999999,0.0644328545235984,2020,"2020_September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"129","hydrated",63,23,"(90,100]","(80,100]","(95,100]",7.2503,7.5095,1.15512917680689,NA,NA,7.7661,461,0.966958962671096,29.2653936087296,6.58750470455401,1,"(90,100]",NA,0.9899691358,1.682665161,0,NA,NA,"2020_September_CECO_2.1",98.99691358,98.99691358,NA,98.99691358,-0.262,"HP","2020_September_HP_CECO_(90,100]","September",7.125,NA,31,NA,NA,NA,8,58.8334006518365,41.1665993481635,2.1,10,1.1946,2,"CECO",281.7,NA,NA,NA,229.4,27,NA,NA,NA,NA,0.2566,0.0394708231931085,2020,"2020_September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"130","moderate",64,23,"(60,70]","(60,80]","(65,70]",7.243,7.6704,1.80646168001106,NA,NA,7.9559,316,0.964114682185548,26.8665499124343,6.58750470455401,1,"(60,70]",NA,0.6679925129,1.682665161,0,NA,NA,"2020_September_CECO_2.1",66.79925129,66.79925129,NA,66.79925129,-0.262,"HP","2020_September_HP_CECO_(60,70]","September",7.624,NA,30,NA,NA,NA,9,39.698481217916,60.301518782084,2.1,10,1.8737,2,"CECO",286.1,NA,NA,NA,220.7,169,NA,NA,"gpe, glow started by touching hot plate",NA,0.2855,0.067238319988939,2020,"2020_September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"131","hydrated",64,23,"(90,100]","(80,100]","(95,100]",7.2093,7.6874,1.47112357769393,NA,NA,8.1628,470,0.941760180330279,16.1703828355069,6.58750470455401,1,"(90,100]",NA,0.9943526459,1.682665161,0,NA,NA,"2020_September_CECO_2.1",99.43526459,99.43526459,NA,99.43526459,-0.262,"HP","2020_September_HP_CECO_(90,100]","September",3.11,NA,31,NA,NA,NA,10,59.0939105977009,40.9060894022991,2.1,10,1.5621,2,"CECO",261,NA,NA,NA,220.8,21,NA,NA,"gpe",NA,0.4754,0.0909764223060716,2020,"2020_September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"132","moderate",56,26,"(70,80]","(60,80]","(70,75]",7.8093,8.2058,0.941062713122577,NA,NA,8.4869,416,0.966878365480918,29.1917467093561,6.58750470455401,1,"(70,80]",NA,0.7089533417,1.682665161,0,NA,NA,"2020_September_CECO_2.1",70.89533417,70.89533417,NA,70.89533417,-0.262,"HP","2020_September_HP_CECO_(70,80]","September",6.8,NA,10,NA,NA,NA,11,42.1327640300505,57.8672359699495,2.1,10,0.9733,2,"CECO",256,NA,NA,NA,220,7,NA,NA,NA,NA,0.2811,0.0322372868774229,2020,"2020_September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"133","dry",63,23,"(10,20]","(0,20]","(15,20]",7.239,7.3794,0.615554471388836,NA,NA,7.4062,388,0.996381410169858,275.35074626866,6.58750470455401,1,"(10,20]",NA,0.1908831909,1.682665161,0,NA,NA,"2020_September_CECO_2.1",19.08831909,19.08831909,NA,19.08831909,-0.262,"HP","2020_September_HP_CECO_(10,20]","September",10,NA,0,NA,NA,NA,12,11.3440983580215,88.6559016419785,2.1,10,0.61779,2,"CECO",267.4,NA,NA,NA,221.3,14,NA,NA,NA,NA,0.0267999999999997,0.00223552861116361,2020,"2020_September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"134","hydrated",60,23,"(130,140]","(120,140]","(130,135]",6.1955,7.0012,2.26167237103175,NA,NA,8.064,523,0.868204365079365,6.58750470455401,6.58750470455401,1,"(130,140]",NA,1.319101403,1.682665161,0,NA,NA,"2020_September_CECO_2.1",131.9101403,131.9101403,NA,131.9101403,-0.262,"HP","2020_September_HP_CECO_(130,140]","September",2.29,NA,29,NA,NA,NA,5.5,78.3935766647753,21.6064233352247,2.1,10,2.605,2,"CECO",298.1,NA,NA,NA,250,89,NA,NA,"gpe, glow end time A0375,0376",NA,1.0628,0.343327628968254,2020,"2020_September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"135","hydrated",56,24,"(160,170]","(160,180]","(160,165]",7.2417,7.6875,2.50332366161676,NA,NA,8.4094,426,0.914155587794611,10.6489818534423,7.90790121027255,1,"(160,170]",NA,1.619336025,1.619336025,0,NA,NA,"2020_September_CECO_2.2",161.9336025,161.9336025,NA,161.9336025,-0.398,"HP","2020_September_HP_CECO_(160,170]","September",0.398,NA,0,NA,NA,NA,1,100,0,2.2,10,2.7384,2,"CECO",290.3,NA,NA,NA,253.6,40,NA,NA,"gpe",NA,0.7219,0.235076338383238,2020,"2020_September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"136","hydrated",55,24,"(120,130]","(120,140]","(125,130]",7.2038,7.8484,1.99061876396471,NA,NA,8.6826,NA,0.903922788104945,9.40829537281226,7.90790121027255,0,"(120,130]",0,1.294135898,1.619336025,0,NA,NA,"2020_September_CECO_2.2",129.4135898,129.4135898,NA,129.4135898,-0.398,"HP","2020_September_HP_CECO_(120,130]","September",1.92,NA,0,NA,NA,NA,2,79.9176871273521,20.0823128726479,2.2,10,2.2022,2,"CECO",263.5,NA,NA,NA,218.6,NA,NA,NA,"NOGORI",NA,0.834200000000001,0.211581236035289,2020,"2020_September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"137","moderate",55,25,"(80,90]","(80,100]","(85,90]",7.1301,7.6421,2.02069724818212,NA,NA,8.1001,358,0.943457488179158,16.685807860262,7.90790121027255,1,"(80,90]",NA,0.89453125,1.619336025,0,NA,NA,"2020_September_CECO_2.2",89.453125,89.453125,NA,89.453125,-0.398,"HP","2020_September_HP_CECO_(80,90]","September",3.287,NA,22,NA,NA,NA,3,55.2406193766979,44.7593806233021,2.2,10,2.1418,2,"CECO",287.9,NA,NA,NA,234.3,230,NA,NA,"gpe",NA,0.457999999999999,0.121102751817879,2020,"2020_September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"138","hydrated",57,24,"(110,120]","(100,120]","(110,115]",7.1323,8.0368,2.05281023295888,NA,NA,9.0531,418,0.887740111122157,7.90790121027255,7.90790121027255,1,"(110,120]",NA,1.123604201,1.619336025,0,NA,NA,"2020_September_CECO_2.2",112.3604201,112.3604201,NA,112.3604201,-0.398,"HP","2020_September_HP_CECO_(110,120]","September",2.06,NA,8,NA,NA,NA,4,69.3867229317028,30.6132770682972,2.2,10,2.3124,2,"CECO",289.4,NA,NA,NA,234,32,NA,NA,"gpe",NA,1.0163,0.259589767041124,2020,"2020_September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
