model_spp_gr_sample,sample,round,model_spp_gr,spp,model,lfm_notes,fh,ttfg,gti,tti,fd,gd,pfg,ignition,prop_new,glow,year_month,year,month,dry_wt,fresh_wt,water_wt,site,bottle_wt,ttms,lfm_outliers_out,precip_2mo,season,ignition_no_double,prop_ignite,ros,hydration,bins5lfm,bins10lfm,bins20lfm,temp_change,gdw_gfw,gww_gdw,gdw_gww,dw_flam_sample,ww_flam_sample,gww_gdw_saturated,gdw_gww_saturated,rwc,rwd,max_mpa_sample,flam_index,mean_wt,dry_norm_fh,dry_norm_gd,dry_norm_fd,dry_norm_pfg,dry_norm_ttfg,dry_norm_tti,dry_norm_gti,location,ambient_humidity,ambient_temp,prop_new_lfm,sample_length,temp_start_higher,taller_temp_start,taller_temp_max,lower_temp_max,surface_temp_start,temp_at_ignition_taller,temp_at_ignition_lower,ignition_num,glow_pre_ignition,ignition2,n,notes_flam,prop_new_flam,start_temp,id,individual,mpa,sample_wt,lfm
"2020_october_hp_abco_(120,130]_2.2",2.2,6,"2020_october_hp_abco_(120,130]",abco,hp,0,41,71,0.5,71,9,54,45,1,90,0,2020_october,2020,october,12.3013,12.5642,0.2629,2,12.0825,5,120.1553931,0.61,dry,1,100,1.1111111111111112,hydrated,"(120,125]","(120,130]","(120,140]",66.19999999999999,0.9790754683943268,1.201553931,46.79079497907949,2.270965548940641,0.04853445105935927,1.845419019,12.779918172519604,65.11008712000275,34.889912879997254,-0.164,17.125637876824765,3.367958333333333,18.05399470684426,23.77843205291683,3.963072008819472,19.81536004409736,31.2642347362425,31.2642347362425,0.22017066715663733,seki,NA,NA,NA,NA,NA,NA,NA,316.9,250.7,NA,262.9,1,NA,NA,NA,NA,NA,NA,119,2020_october_abco_2.2,2.843,2.3195,120.1553931
"2020_october_hp_abco_(120,130]_2.3",2.3,5,"2020_october_hp_abco_(120,130]",abco,hp,0,31,99,0.5,99,9,119,110,1,70,0,2020_october,2020,october,12.4401,12.8975,0.4574,2,12.0717,2,124.1585233,0.61,dry,1,100,1.1111111111111112,hydrated,"(120,125]","(120,130]","(120,140]",87,0.964535762744718,1.241585233,27.19742020113686,3.68491242798992,0.13548757201007966,1.812757974,13.655228171038448,68.49150580539661,31.508494194603387,-0.192,13.554241093561249,3.367958333333333,8.412682962159337,32.29384749990197,2.4423918277236787,29.851455672178297,26.866310104960466,26.866310104960466,0.1356884348735377,seki,NA,NA,NA,NA,NA,NA,NA,345.1,258.1,NA,259.6,1,NA,NA,NA,NA,NA,NA,127,2020_october_abco_2.3,3.361,3.8204,124.1585233
"2020_october_hp_abco_(120,130]_2.4",2.4,6,"2020_october_hp_abco_(120,130]",abco,hp,0,50,61,29,90,18,97,50,1,70,1,2020_october,2020,october,12.3699,12.7556,0.3857,2,12.0731,2,129.9528302,0.61,dry,1,100,0.5555555555555556,hydrated,"(125,130]","(120,130]","(120,140]",40.30000000000001,0.9697623004797892,1.299528302,32.071298936997664,2.916560118692966,0.09093988130703368,1.972067039,9.158510638297871,65.89676092649302,34.103239073506984,-0.192,15.950819906128794,3.367958333333333,17.143483406886574,33.25835780935995,6.171654026479167,17.143483406886574,20.91504975640162,30.85827013239583,9.943220375994212,seki,NA,NA,NA,NA,NA,NA,NA,282,241.7,NA,249,1,NA,NA,NA,NA,NA,NA,131,2020_october_abco_2.4,2.897,3.0075,129.9528302
"2020_october_hp_abco_(120,130]_2.5",2.5,6,"2020_october_hp_abco_(120,130]",abco,hp,0,42,61,15,76,9,71,47,1,80,1,2020_october,2020,october,12.3193,12.6465,0.3272,2,12.0541,3,123.3785822,0.61,dry,1,100,1.1111111111111112,hydrated,"(120,125]","(120,130]","(120,140]",36.60000000000002,0.9741272288775552,1.233785822,37.650672371638144,2.4062890807733366,0.06391091922666359,1.681119649,8.512656858502814,73.39072044835757,26.60927955164243,-0.152,16.63227824970293,3.367958333333333,17.45426197358714,29.50601428868302,3.7401989943401017,19.532150303776085,25.35023762830513,31.583902618871967,6.233664990566835,seki,NA,NA,NA,NA,NA,NA,NA,283.3,246.7,NA,230.7,1,NA,NA,NA,NA,NA,NA,137,2020_october_abco_2.5,2.888,2.4702,123.3785822
"2020_october_hp_abco_(120,130]_2.5",2.5,7,"2020_october_hp_abco_(120,130]",abco,hp,0,41,33,61,94,6,177,110,1,70,1,2020_october,2020,october,7.6661,8.2452,0.5791,2,7.2169,1,128.9180766,0.61,dry,1,100,1.6666666666666667,hydrated,"(125,130]","(120,130]","(120,140]",10.800000000000011,0.9297651967205162,1.289180766,13.237955448109137,2.529519194197837,0.1910808058021636,1.681119649,8.512656858502814,76.68584248401704,23.314157515982956,-0.152,14.863535387100711,3.367958333333333,16.20861391130972,69.9737722512639,2.371992279703861,43.48652512790412,13.045957538371235,37.16121238202716,24.11525484365592,seki,NA,NA,NA,NA,NA,NA,NA,259.6,248.8,NA,246.1,1,NA,NA,NA,NA,NA,NA,143,2020_october_abco_2.5,3.24,2.7206,128.9180766
"2020_october_hp_abco_(130,140]_1.1",1.1,6,"2020_october_hp_abco_(130,140]",abco,hp,0,51,180,0.5,81.5,15,105,90,1,30,0,2020_october,2020,october,12.6961,13.3797,0.6836,1,12.1941,2,136.1752988,0.61,dry,1,100,0.6666666666666666,hydrated,"(135,140]","(130,140]","(120,140]",19,0.9489076735651772,1.361752988,18.572410766530133,4.484917228338453,0.24148277166154664,1.873278237,9.215439010017676,72.69357862080368,27.306421379196323,-0.208,16.844513824913673,3.367958333333333,11.371447320755614,23.411803307438028,3.3445433296340044,20.067259977804024,40.13451995560805,18.17201875767809,0.1114847776544668,seki,NA,NA,NA,NA,NA,NA,NA,279.6,260.6,NA,264.8,1,NA,NA,NA,NA,NA,NA,63,2020_october_abco_1.1,3.01,4.7264,136.1752988
"2020_october_hp_abco_(130,140]_1.3",1.3,6,"2020_october_hp_abco_(130,140]",abco,hp,0,51,119,6,125,12,122,104,1,66,1,2020_october,2020,october,12.9378,13.762,0.8242,1,12.3101,2,131.3047634,0.61,dry,1,100,0.8333333333333334,hydrated,"(130,135]","(130,140]","(120,140]",22.299999999999983,0.9401104490626362,1.313047634,15.69740354282941,4.993866705420723,0.31813329457927697,1.91840796,7.876458752515091,68.4446510532619,31.555348946738107,-0.112,13.736920026664531,3.367958333333333,10.212527287650811,24.42996723712547,2.402947597094309,20.82554584148401,23.829230337851897,25.030704136399052,1.2014737985471544,seki,NA,NA,NA,NA,NA,NA,NA,270.9,248.6,NA,236.9,1,NA,NA,NA,NA,NA,NA,81,2020_october_abco_1.3,1.821,5.312,131.3047634
"2020_october_hp_abco_(130,140]_1.3",1.3,7,"2020_october_hp_abco_(130,140]",abco,hp,0,30,88,31,119,24,132,77,1,50,1,2020_october,2020,october,7.516,7.9367,0.4207,1,7.2002,4,133.2172261,0.61,dry,1,100,0.4166666666666667,hydrated,"(130,135]","(130,140]","(120,140]",32.5,0.946993082767397,1.332172261,17.86546232469693,3.688064560837628,0.20643543916237217,1.91840796,7.876458752515091,69.44155199397734,30.558448006022655,-0.112,12.344467492563728,3.367958333333333,8.134347841564479,35.7911305028837,6.507478273251582,20.878159460015492,23.860753668589133,32.26624643820576,8.405492769616627,seki,NA,NA,NA,NA,NA,NA,NA,277.5,245,NA,248.3,1,NA,NA,NA,NA,NA,NA,79,2020_october_abco_1.3,2.961,3.8945,133.2172261
"2020_october_hp_abco_(130,140]_1.4",1.4,1,"2020_october_hp_abco_(130,140]",abco,hp,0,25,51,3,54,14,56,39,1,NA,1,2020_october,2020,october,7.5349,7.9775,0.4426,1,7.198,2,131.374295,0.61,dry,1,100,0.7142857142857143,hydrated,"(130,135]","(130,140]","(120,140]",45.30000000000001,0.9445189595738014,1.31374295,17.02417532760958,2.9775960200564087,0.1749039799435912,1.74,13.276210379658654,75.5024683908046,24.49753160919541,-0.312,17.640421171783487,3.367958333333333,8.396034865578034,18.807118098894797,4.701779524723699,13.097814390301734,17.12791112577919,18.135435309648553,1.0075241838693645,seki,NA,NA,NA,NA,NA,NA,NA,322.2,276.9,NA,281.4,1,NA,NA,NA,NA,NA,NA,85,2020_october_abco_1.4,0.312,3.1525,131.374295
"2020_october_hp_abco_(130,140]_1.4",1.4,5,"2020_october_hp_abco_(130,140]",abco,hp,0,32,31,24,55,10,66,32,1,65,1,2020_october,2020,october,12.3278,12.7213,0.3935,1,12.028,2,131.2541694,0.61,dry,1,100,1,hydrated,"(130,135]","(130,140]","(120,140]",22.09999999999997,0.9690676267362612,1.312541694,31.32858958068615,1.9072219961796355,0.06087800382036423,1.74,13.276210379658654,75.43343068965517,24.566569310344832,-0.312,18.47212497696194,3.367958333333333,16.77832998156446,34.6053055869767,5.243228119238894,16.77832998156446,16.25400716964057,28.837754655813917,12.583747486173346,seki,NA,NA,NA,NA,NA,NA,NA,295.4,273.3,NA,279.4,1,NA,NA,NA,NA,NA,NA,83,2020_october_abco_1.4,2.662,1.9681,131.2541694
