lfm,water_potential,mpa,year,month,year_month,plant,F.Group,spp
86.24066711917001,-3.83,3.83,2021,august,2021_august,31,Angiosperm,ARPA
99.01816776188645,-1.46,1.46,2021,august,2021_august,31,Angiosperm,ARPA
98.83913764510784,-3.46,3.46,2021,august,2021_august,31,Angiosperm,ARPA
104.28811683037397,-1.954,1.954,2020,october,2020_october,7,Angiosperm,ARPA
118.5035056568572,-0.13,0.13,2020,october,2020_october,7,Angiosperm,ARPA
80.58469092,-5.948,5.948,2020,october,2020_october,7,Angiosperm,ARPA
84.96691481,-1.038,1.038,2020,october,2020_october,7,Angiosperm,ARPA
84.75991649,-2.556,2.556,2020,october,2020_october,7,Angiosperm,ARPA
203.970079649871,-1.16,1.16,2020,september,2020_september,14,Gymnosperm,ABCO
186.206533591727,-1.84,1.84,2020,september,2020_september,14,Gymnosperm,ABCO
182.586680960636,-2.01,2.01,2020,september,2020_september,14,Gymnosperm,ABCO
206.6450567,-2.56,2.56,2020,september,2020_september,14,Gymnosperm,ABCO
169.1472868,-3.14,3.14,2020,september,2020_september,14,Gymnosperm,ABCO
191.0258443,-3.03,3.03,2020,september,2020_september,14,Gymnosperm,ABCO
137.8303199,-2.84,2.84,2020,september,2020_september,14,Gymnosperm,ABCO
124.056010199126,-3.78,3.78,2020,september,2020_september,14,Gymnosperm,ABCO
175.3002493,-3.67,3.67,2020,september,2020_september,14,Gymnosperm,ABCO
106.2539482,-1.088,1.088,2020,october,2020_october,8,Angiosperm,CECO
113.4615385,-0.199,0.199,2020,october,2020_october,8,Angiosperm,CECO
112.5228519,-0.906,0.906,2020,october,2020_october,8,Angiosperm,CECO
68.0432645,-3.898,3.898,2020,october,2020_october,8,Angiosperm,CECO
104.16640443073814,-3.44,3.44,2021,august,2021_august,27,Gymnosperm,ABCO
105.40707363742968,-4.07,4.07,2021,august,2021_august,27,Gymnosperm,ABCO
105.2970161511086,-3.85,3.85,2021,august,2021_august,27,Gymnosperm,ABCO
