individual,site,year,month,year.month,lfm.outliers.out,lfm.NAs.imputed,mpa,dw.flam.sample,ww.flam.sample,sample.wt,spp,start.temp,gww.gdw.saturated,gdw.gww.saturated,fd,fh,gd,gti,pfg,dry.norm.fd,dry.norm.fh,dry.norm.gd,dry.norm.gti,dry.norm.pfg,temp.max,ttfg,tti,temp.change,PC1,PC2,PC3,PC4,model,LFM,prop.ignite,bins10lfm,flam.index,precip.2mo,prop.ignite.bins5
2020_January_CEME_4,St. Marys,2020,January,2020_January,78.79924953,78.79924953,8.6,0.2852360965372508,0.2247639034627492,0.51,CEME,270.6,1.648472426208795,0.39799446749654216,5,15,102,19,78,17.529338189309495,52.58801456792848,357.5984990619137,66.61148511937608,273.4576757532281,279.9,12,31,9.299999999999956,-1.4846613524272032,1.1127506034008312,0.68003880069484135,0.6864629788669492,EPI,78.79924953,80,"(70,80]",10.448237478365906,5.82,67
2020_January_CEME_1,St. Marys,2020,January,2020_January,76.53492781,76.53492781,10,0.2532236907318685,0.1937763092681315,0.447,CEME,287.1,1.8080913821630569,0.40836543753439736,5,17,103,8,90,19.745387904066053,67.13431887382458,406.7549908237607,31.592620646505686,355.416982273189,310.5,23,31,23.399999999999977,-1.889171229480994,0.3224243708609187,-0.8729625638154362,0.4038977351749404,EPI,76.53492781,80,"(70,80]",10.758047520322371,5.82,67
2020_January_CEME_3,St. Marys,2020,January,2020_January,64.5797302,64.5797302,10,0.2485117696511139,0.16048823034888607,0.409,CEME,273.9,2.0264853273018097,0.34663951120162934,3,7,108,33,72,12.071862850647696,28.16767998484463,434.58706262331714,132.7904913571247,289.72470841554474,274.7,2,35,0.8000000000000114,-0.0605565246915018,1.8989653384092104,1.9911466693628288,0.5625802797099617,EPI,64.5797302,100,"(60,70]",8.535596959754464,5.82,100
2020_January_CEME_4,St. Marys,2020,January,2020_January,64.59731544,64.59731544,9.1,0.318960244648318,0.206039755351682,0.525,CEME,279.2,1.648472426208795,0.39799446749654216,2,3.5,105,28,75,6.270373921380633,10.973154362416109,329.19463087248323,87.78523489932887,235.13902205177376,286.4,12,40,7.199999999999989,0.4629574745054405,1.957099476866856,0.5401713459364852,0.42595708626404427,EPI,64.59731544,100,"(60,70]",7.370498520661505,5.82,100
2020_January_CEME_5,St. Marys,2020,January,2020_January,72.23897745,72.23897745,10,0.274634984158746,0.198365015841254,0.473,CEME,281.2,2.309701596226629,0.12536687631027257,9,10,83,17,57,32.77077036477542,36.41196707197269,302.21932669737333,61.90034402235357,207.5482123102443,293.7,18,35,12.5,-1.6284282438106414,1.6640143599300092,-0.37675892607325356,0.30167774486441423,EPI,72.23897745,80,"(70,80]",9.103265667349268,5.82,100
2020_January_CEME_6,St. Marys,2020,January,2020_January,59.29690809,59.29690809,9.5,0.26995037220843676,0.16004962779156323,0.43,CEME,276.1,1.9952672321401497,0.45719424460431646,6,10.5,104,17,81,22.226307565033547,38.89603823880871,385.2559977939149,62.974538100928385,300.0551521279529,277.9,9,26,1.7999999999999543,-1.4655218848108562,1.0452757804617583,0.8268637222013391,1.1178897473895224,EPI,59.29690809,100,"(50,60]",10.413203458136191,5.82,100
2020_September_CEME_1.1,St. Marys,2020,September,2020_September,101.0507881,101.0507881,0.208,0.2742093205574913,0.2770906794425087,0.5513,CEME,275.6,1.010507881,0.9896013864818024,6,10.5,137,46,90,21.881094296143836,38.291915018251714,499.61831976195094,167.75505627043609,328.21641444215754,296.3,10,56,20.69999999999999,1.5242030090548786,0.6902111953867669,1.6308041259430504,-0.4949230038443126,EPI,101.0507881,57,"(100,110]",7.591095127716975,0.01,44
2020_September_CEME_1.2,St. Marys,2020,September,2020_September,71.48362235,71.48362235,1.88,0.2739620224719101,0.1958379775280899,0.4698,CEME,275.5,1.259367872,0.7940491591203105,4,13,125,29,92,14.600563844246436,47.451832493800914,456.2676201327011,105.85408787078666,335.812968417668,300.5,21,50,25,0.5398932993844997,0.6155359916569185,-0.08032464326885813,-0.178797333107095,EPI,71.48362235,78,"(70,80]",8.304183875884508,0.01,67
2020_September_CEME_1.3,St. Marys,2020,September,2020_September,79.06908665,79.06908665,0.597,0.28374523459212037,0.22435476540787963,0.5081,CEME,278.3,1.254435309,0.7971714384270439,6,10.5,135,46,86,21.14572957894751,37.00502676315814,475.778915526319,162.11726010526425,303.088790631581,306.1,17,63,27.80000000000001,1.8652811421598714,0.7769919636790341,0.7921503127799814,-0.9287233805078066,EPI,79.06908665,78,"(70,80]",7.255307845135085,0.01,89
2020_September_CEME_1.4,St. Marys,2020,September,2020_September,106.6751162,106.6751162,0.192,0.2478769623875715,0.26442303761242847,0.5123,CEME,274.5,1.066751162,0.9374257425742574,6,10.5,128,19,103,24.20555723374815,42.35972515905926,516.3852209866271,76.65093124020247,415.5287325126765,367.1,22,41,92.60000000000002,-0.3010548250316696,-0.5162921709190594,-0.6539896941501617,-0.7282549494589915,EPI,106.6751162,57,"(100,110]",8.606526629783701,0.01,67
