hydration,bins10lfm,bins20lfm,bins5lfm,bottle_wt,dry_wt,dw_flam_sample,fd,fh,fh_old,fresh_wt,gd,gdw_gfw,gdw_gww,gdw_gww_saturated,glow_pre_ignition,gr,gti,gww_gdw,gww_gdw_saturated,ignition,ignition_num,ignition2,individual,lfm,lfm_NAs_imputed,lfm_notes,lfm_outliers_out,max_mpa_sample,model,model_spp_gr,model_spp_gr_sample,month,mpa,n,notes_flam,pfg,prop_ignite,prop_new,prop_new_flam,prop_new_lfm,ros,round,RWC,RWD,sample,sample_length,sample_wt,site,spp,start_temp,surface_temp_max_within_5_secs_of_flame_end,surface_temp_start,taller_temp_max,taller_temp_start,temp_at_ignition_lower,temp_at_ignition_taller,temp_change,total,ttfg,tti,water_wt,ww_flam_sample,year,year_month,flam_index,mean_wt,dry_norm_fh,dry_norm_gd,dry_norm_fd,dry_norm_pfg,dry_norm_ttfg,dry_norm_tti,dry_norm_gti
moderate,"(70,80]","(60,80]","(75,80]",7.258,8.1401,2.5292618583267115,NA,NA,NA,8.809,NA,0.9240662958338064,12.169382568395894,1,NA,"(70,80]",NA,0.7583040472,1.3620528770000002,1,1,1,2021_August_CADE_2.3,75.83040472,75.83040472,NA,75.83040472,1,HP,"2021_August_HP_CADE_(70,80]","2021_August_HP_CADE_(70,80]_2.3",August,4.62,24,NA,NA,1092,NA,100,90,NA,12,55.67361297090082,44.32638702909918,2.3,NA,2.7371,2,CADE,NA,279.6,244.9,270,205.9,260.8,209.1,64.1,262,NA,NA,0.6688999999999989,0.2078381416732884,2021,2021_August,NA,3.3649,NA,NA,NA,NA,NA,NA,NA
moderate,"(60,70]","(60,80]","(65,70]",12.2081,14.0549,6.601323003490914,20,50,50,15.3255,111,0.9170924276532576,11.061624429403432,1,NA,"(60,70]",NA,0.6880008664,1.412770123,1,1,1,2021_August_PIJE_2.3,68.80008664,68.80008664,NA,68.80008664,1,HP,"2021_August_HP_PIJE_(60,70]","2021_August_HP_PIJE_(60,70]_2.3",August,3.58,2,NA,91,13100,NA,NA,NA,0.5,12,48.698712918633824,51.301287081366176,2.3,17,7.1981,2,PIJE,NA,369.5,245.6,284.6,198.2,255.4,207.1,86.40000000000003,262,363,363,1.2706,0.5967769965090861,2021,2021_August,1.6345116494120455,11.28827,7.574239281059112,16.81481120395123,3.0296957124236448,13.785115491527584,54.98897718048915,54.98897718048915,NA
hydrated,"(120,130]","(120,140]","(120,125]",12.1151,17.6447,10.708626953589603,46,60,above 52,24.4665,70,0.7211779371794086,2.5865167551086223,1,NA,"(120,130]",NA,1.233687789,1.412770123,1,1,1,2021_August_PIJE_2.3,123.3687789,123.3687789,NA,123.3687789,1,HP,"2021_August_HP_PIJE_(120,130]","2021_August_HP_PIJE_(120,130]_2.3",August,3.57,19,thermocouple off for max temps,24,1379,NA,20,100,0.21739130434782608,13,87.324028793890335,12.675971206109665,2.3,18,14.8488,2,PIJE,NA,NA,258.3,NA,210.4,266.8,199.3,NA,262,165,165,6.8218,4.140173046410398,2021,2021_August,2.77691390080763,11.28827,5.602959208499424,6.536785743249328,4.295602059849559,2.2411836833997696,15.408137823373417,15.408137823373417,NA
dry,"(50,60]","(40,60]","(50,55]",12.022,14.7449,2.615905738419046,NA,NA,NA,16.1839,NA,0.9110844728402918,10.246629603891577,1,NA,"(50,60]",NA,0.528480664,1.3620528770000002,1,1,1,2021_August_CADE_2.3,52.8480664,52.8480664,NA,52.8480664,1,HP,"2021_August_HP_CADE_(50,60]","2021_August_HP_CADE_(50,60]_2.3",August,6.82,11,NA,NA,2382,NA,75,NA,NA,14,38.8003045200425,61.1996954799575,2.3,NA,2.8712,2,CADE,NA,344.9,259.7,264.9,218.9,280.3,203.5,45.99999999999997,262,NA,NA,1.4390000000000018,0.2552942615809539,2021,2021_August,NA,3.3649,NA,NA,NA,NA,NA,NA,NA
moderate,"(60,70]","(60,80]","(60,65]",12.1974,14.2971,1.9931535301207908,NA,NA,NA,15.5972,NA,0.9166452953094145,10.996923313591259,1,NA,"(60,70]",NA,0.6191836929,1.3620528770000002,1,1,1,2021_August_CADE_2.3,61.91836929,61.91836929,NA,61.91836929,1,HP,"2021_August_HP_CADE_(60,70]","2021_August_HP_CADE_(60,70]_2.3",August,5.27,10,NA,NA,2620,NA,100,20,NA,15,45.459592895085514,54.540407104914486,2.3,NA,2.1744,2,CADE,NA,336.1,274.4,252.2,210.1,289.7,212.5,42.099999999999994,262,NA,NA,1.3001000000000005,0.18124646987920912,2021,2021_August,NA,3.3649,NA,NA,NA,NA,NA,NA,NA
hydrated,"(170,180]","(160,180]","(170,175]",12.311,14.5606,7.655135083781272,36,46,46,18.3991,238,0.7913756651140545,3.793304676305849,1,NA,"(170,180]",NA,1.7063033429999999,1.951887782,1,1,1,2021_August_ABCO_2.3,170.6303343,170.6303343,NA,170.6303343,1,HP,"2021_August_HP_ABCO_(170,180]","2021_August_HP_ABCO_(170,180]_2.3",August,0.92,7,sample touching pilot flame,202,3743,NA,85,85,0.2777777777777778,2,87.41810665219892,12.581893347801085,2.3,NA,9.6732,2,ABCO,NA,313.2,264.9,243.2,192.9,257,177.2,50.29999999999998,262,169,169,3.8385,2.0180649162187274,2021,2021_August,2.557169699426661,7.060742857142857,6.009038311741743,31.09024169988119,4.702725635276146,26.387516064605045,22.076684232268576,22.076684232268576,NA
hydrated,"(140,150]","(140,160]","(140,145]",12.118,14.7742,7.770992516786492,29,60,above 52,18.5268,77,0.797450180279379,3.937056973831476,1,NA,"(140,150]",NA,1.412770123,1.412770123,1,1,1,2021_August_PIJE_2.3,141.2770123,141.2770123,NA,141.2770123,1,HP,"2021_August_HP_PIJE_(140,150]","2021_August_HP_PIJE_(140,150]_2.3",August,1.29,6,NA,48,4367,NA,NA,30,0.3448275862068966,3,100,0,2.3,15,9.7448,2,PIJE,NA,399.1,220.8,274.3,186.4,278.4,221.9,87.9,262,355,355,3.752600000000001,1.9738074832135073,2021,2021_August,1.7314813649721228,11.28827,7.721021461594659,9.908644209046479,3.7318270397707516,6.176817169275727,45.68271031443506,45.68271031443506,NA
hydrated,"(140,150]","(140,160]","(145,150]",7.3335,8.8948,8.028754180985107,26,60,above 50,11.1744,431,0.7959979954180985,3.901912616248464,1,1,"(140,150]",137,1.46006533,1.951887782,1,1,1,2021_August_ABCO_2.3,146.006533,146.006533,NA,146.006533,1,HP,"2021_August_HP_ABCO_(140,150]","2021_August_HP_ABCO_(140,150]_2.3",August,1.63,13,sample touching pilot flame,268,2015,NA,50,NA,0.38461538461538464,4,74.80272910484359,25.197270895156407,2.3,NA,10.0864,2,ABCO,NA,393.9,285.3,336.9,209.4,311.6,225.4,127.49999999999997,262,6,143,2.2796000000000003,2.0576458190148923,2021,2021_August,3.062996894621475,7.060742857142857,7.473139499288812,53.6820520698913,3.2383604496918186,33.38002309682336,0.7473139499288812,17.810982473305003,17.063668523376123
hydrated,"(130,140]","(120,140]","(135,140]",12.137,16.8459,8.684758754036656,26,60,above 52,23.3795,64,0.7205415000320794,2.5783488429043713,1,NA,"(130,140]",NA,1.387500265,1.412770123,1,1,1,2021_August_PIJE_2.3,138.7500265,138.7500265,NA,138.7500265,1,HP,"2021_August_HP_PIJE_(130,140]","2021_August_HP_PIJE_(130,140]_2.3",August,2.06,6,NA,38,4367,NA,50,50,0.38461538461538464,4,98.2113255660914,1.7886744339085965,2.3,15,12.0531,2,PIJE,NA,431,260,413.8,193.7,290.2,192.7,220.10000000000002,262,240,240,6.5336,3.368341245963345,2021,2021_August,2.17629411406524,11.28827,6.908654770878021,7.369231755603223,2.993750400713809,4.375481354889414,27.634619083512085,27.634619083512085,NA
hydrated,"(170,180]","(160,180]","(175,180]",12.0766,13.7658,5.188798586922174,31,48,48,16.7719,68,0.820765685461993,4.579288779481724,1,NA,"(170,180]",NA,1.779599811,1.951887782,1,1,1,2021_August_ABCO_2.3,177.9599811,177.9599811,NA,177.9599811,1,HP,"2021_August_HP_ABCO_(170,180]","2021_August_HP_ABCO_(170,180]_2.3",August,0.22,7,sample touching pilot flame,37,3743,NA,25,25,0.3225806451612903,5,91.1732645396517,8.826735460348303,2.3,NA,6.3219,2,ABCO,NA,367.8,285.5,247.2,214.4,291.4,214,32.79999999999998,262,165,165,3.006099999999998,1.133101413077826,2021,2021_August,2.626460929185159,7.060742857142857,9.250696321298536,13.105153121839592,5.974408040838638,7.130745081000955,31.79926860446372,31.79926860446372,NA
hydrated,"(100,110]","(100,120]","(105,110]",12.19,16.3218,6.666057614920439,26,60,above 56,20.8144,81,0.78415904373895,3.6330410007568004,1,NA,"(100,110]",NA,1.087322716,1.412770123,1,1,1,2021_August_PIJE_2.3,108.7322716,108.7322716,NA,108.7322716,1,HP,"2021_August_HP_PIJE_(100,110]","2021_August_HP_PIJE_(100,110]_2.3",August,2.46,20,NA,55,1310,NA,NA,NA,0.38461538461538464,5,76.96388098094002,23.03611901905998,2.3,16,8.5009,2,PIJE,NA,466.8,252.7,266.4,214.5,264.1,196.1,51.89999999999998,262,183,183,4.4925999999999995,1.8348423850795603,2021,2021_August,2.5907371280373543,11.28827,9.000822294980436,12.151110098223588,3.9003563278248556,8.250753770398733,27.45250799969033,27.45250799969033,NA
