"","sample","fresh.wt","dry.wt","water.wt","individual","mpa","spp","year.month","gww.gdw.saturated","RWC","RWD","gww.gdw","gdw.gfw","lfm.outliers.out","lfm.NAs.imputed","LFM"
"46",16,7.7957,7.4983,0.2974,"2020_October_ABCO_1.6",-3.661,"ABCO","2020_October",1.897634742,57.8094481893713,42.1905518106287,1.097012173,0.961850763882653,109.7012173,109.7012173,109.7012173
"47",21,7.7786,7.3725,0.4061,"2020_October_ABCO_2.1",-0.155,"ABCO","2020_October",1.803030303,96.8739495999475,3.12605040005252,1.746666667,0.947792661918597,174.6666667,174.6666667,174.6666667
"48",21,8.1138,7.5545,0.5593,"2020_October_ABCO_2.1",-0.995,"ABCO","2020_October",1.803030303,100,0,1.803030303,0.931068056890729,180.3030303,180.3030303,180.3030303
"49",21,8.0573,7.6067,0.4506,"2020_October_ABCO_2.1",-1.769,"ABCO","2020_October",1.803030303,68.7328396498947,31.2671603501053,1.239273927,0.944075558810023,123.9273927,123.9273927,123.9273927
"50",21,7.6964,7.4471,0.2493,"2020_October_ABCO_2.1",-2.592,"ABCO","2020_October",1.803030303,64.4302082481417,35.5697917518583,1.161696179,0.967608232420352,116.1696179,116.1696179,116.1696179
"51",21,7.5785,7.3813,0.1972,"2020_October_ABCO_2.1",-2.701,"ABCO","2020_October",1.803030303,80.0669316315978,19.9330683684022,1.44363104,0.973979019594907,144.363104,144.363104,144.363104
"52",21,7.5933,7.3944,0.1989,"2020_October_ABCO_2.1",-3.061,"ABCO","2020_October",1.803030303,52.0595968430598,47.9404031569402,0.9386503067,0.973805855161787,93.86503067,93.86503067,93.86503067
"53",21,7.6623,7.4978,0.1645,"2020_October_ABCO_2.1",-4.714,"ABCO","2020_October",1.803030303,35.6248707984139,64.3751292015861,0.6423272159,0.978531250407841,64.23272159,64.23272159,64.23272159
"54",22,7.8751,7.4501,0.425,"2020_October_ABCO_2.2",-0.164,"ABCO","2020_October",1.845419019,100,0,1.845419019,0.946032431334205,184.5419019,184.5419019,184.5419019
"55",22,8.0833,7.4967,0.5866,"2020_October_ABCO_2.2",-0.7282,"ABCO","2020_October",1.845419019,97.745445312331,2.254554687669,1.803813038,0.927430628579912,180.3813038,180.3813038,180.3813038
"56",22,7.8763,7.4047,0.4716,"2020_October_ABCO_2.2",-2.225,"ABCO","2020_October",1.845419019,83.6777071278249,16.3222928721751,1.544204322,0.940124169978289,154.4204322,154.4204322,154.4204322
"57",22,8.0322,7.5903,0.4419,"2020_October_ABCO_2.2",-2.262,"ABCO","2020_October",1.845419019,86.0430512881801,13.9569487118199,1.587854833,0.944983939642937,158.7854833,158.7854833,158.7854833
