effect,group,term,estimate,std.error,statistic,df,p.value,y_var
fixed,NA,sppquke,-1.606089941542793,1.688425623976663,-0.9512352328319035,229.7506640571564,0.3424845841155829,fh
fixed,NA,mpa_scaled,4.389470205345546,1.6895987807790152,2.597936418563059,652.4054179664614,0.00959026772245686,fh
fixed,NA,lfm_scaled,-2.186141959642584,1.0306196665022995,-2.121191774907496,634.2565076577262,0.034292940679677454,fh
fixed,NA,site,-0.8521601157700864,0.7783632908103985,-1.0948102586940527,105.68965953479274,0.2760884916738806,fh
fixed,NA,year_month2020_september,0.5399348075298711,0.7611697629811317,0.7093487337374111,156.54792396093637,0.4791632232047518,fh
fixed,NA,sample_wt_scaled,0.18448738020720176,0.6352408819682046,0.29042113856966123,585.1162156403606,0.771596974888898,fh
fixed,NA,spparpa:mpa_scaled,-6.364826681930139,1.9916846807533264,-3.195699973714079,660.1894928062871,0.0014614059979693496,fh
fixed,NA,sppcade:mpa_scaled,-1.9948065022125299,2.4277716699730565,-0.8216614959654209,670.8066071336515,0.41156151135153884,fh
fixed,NA,sppceco:mpa_scaled,-7.259975683909554,2.0771094570044557,-3.49523019089214,668.7688953103388,5.049332789244774e-4,fh
fixed,NA,spppije:mpa_scaled,-2.8875738278290677,2.247222991643447,-1.2849520668695709,667.7139948317979,0.19925458678646654,fh
fixed,NA,sppquke:mpa_scaled,-5.135665880113703,2.28109502110427,-2.251403748024291,660.642373983193,0.024687778333600512,fh
fixed,NA,spparpa:lfm_scaled,3.6165063608064303,1.5208386968394252,2.377968398832945,585.0256036749366,0.017728546384388214,fh
fixed,NA,sppcade:lfm_scaled,-3.344656767357383,2.091405406857525,-1.5992388450324182,667.4759950689045,0.11024075366322136,fh
fixed,NA,sppceco:lfm_scaled,6.951601158515771,2.393114055739374,2.904834870633866,655.8398274424826,0.0037981901511406585,fh
fixed,NA,spppije:lfm_scaled,0.42820601524839325,1.6913295134949877,0.25317716733006224,583.1006807339182,0.8002205428418416,fh
fixed,NA,sppquke:lfm_scaled,0.5126166530125644,2.318332897888881,0.22111434189600776,673.8460458750458,0.8250703867152477,fh
ran_pars,individual,sd__(Intercept),2.3520428889091405,NA,NA,NA,NA,fh
ran_pars,Residual,sd__Observation,6.529958329052845,NA,NA,NA,NA,fh
fixed,NA,(Intercept),92.04101186654104,16.621167695641894,5.537577957935794,209.57621594846506,9.12498466226796e-8,gd
fixed,NA,spparpa,89.78490821969004,14.68308424367125,6.114853441530135,254.2578685618165,3.6215761559189552e-9,gd
fixed,NA,sppcade,24.318331023794336,16.045410714980086,1.515594175541459,307.34083240584573,0.13064978590717316,gd
fixed,NA,sppceco,235.3291677177593,16.662897786478098,14.122943724033906,316.22957412446175,1.8823794213950123e-35,gd
fixed,NA,spppije,6.835549242205303,20.79100488402052,0.3287743560417778,370.98944999600116,0.7425117546126172,gd
fixed,NA,sppquke,28.697335734410554,17.144521007935126,1.6738487894254004,281.30219879229054,0.09527181877955913,gd
fixed,NA,mpa_scaled,-18.521574298178216,20.665576007860427,-0.8962525066387352,924.7384017930693,0.37035116537001933,gd
fixed,NA,lfm_scaled,7.43100109603571,11.404410316013175,0.651590120850149,803.8342054087333,0.514851865649006,gd
fixed,NA,site,2.7956756498068467,7.52629429417964,0.37145446889697703,107.69036487005326,0.711028876544641,gd
fixed,NA,year_month2020_september,29.750798173388738,7.319020873566228,4.0648604078775525,146.45314456114832,7.813919532805053e-5,gd
fixed,NA,sample_wt_scaled,18.38111351253386,7.2423179306974665,2.5380152719646873,632.1420955548074,0.011387249662140154,gd
fixed,NA,spparpa:mpa_scaled,6.246146359964532,24.167474722796673,0.25845258685934086,904.9975873736521,0.7961164024827667,gd
fixed,NA,sppcade:mpa_scaled,-5.02050978696542,28.750178585180233,-0.17462534265972618,898.8041569569386,0.8614133603927044,gd
fixed,NA,sppceco:mpa_scaled,34.602401357464345,22.979449537035347,1.5057976607184,894.3345006337115,0.132472219331143,gd
fixed,NA,spppije:mpa_scaled,1.584871479759699,27.5738912764009,0.05747725135610839,870.5185307574133,0.9541782171050431,gd
fixed,NA,sppquke:mpa_scaled,55.59618111591375,27.633622216374878,2.011903494973926,924.3029489925862,0.044519877277548456,gd
fixed,NA,spparpa:lfm_scaled,11.679293390395538,17.40729588220452,0.6709424295094152,653.1279177593508,0.5024944027799372,gd
fixed,NA,sppcade:lfm_scaled,21.551113644538958,23.193603626600613,0.9291834934965478,776.031772718884,0.35308292865331936,gd
fixed,NA,sppceco:lfm_scaled,-77.65457912407281,19.904362671037493,-3.901384857555208,765.4439357411868,1.0405751734683662e-4,gd
fixed,NA,spppije:lfm_scaled,-14.420607478445488,19.692336352919057,-0.732295407716204,509.58289449998966,0.4643249492697874,gd
fixed,NA,sppquke:lfm_scaled,-55.99572688617508,27.21596139304982,-2.0574590798940062,900.9726574518793,0.03992939383754947,gd
ran_pars,individual,sd__(Intercept),12.643627973145549,NA,NA,NA,NA,gd
ran_pars,Residual,sd__Observation,93.5919453551027,NA,NA,NA,NA,gd
fixed,NA,(Intercept),99.67240817810206,2.0374475044056166,48.92023375452779,134.3261216581736,1.7667353718135421e-87,prop_ignite
fixed,NA,spparpa,-21.172728157147446,1.7658009268524277,-11.990438919345353,183.04759786197843,8.035976914683763e-25,prop_ignite
fixed,NA,sppcade,0.10906189817015682,1.9124537170589961,0.05702720918019081,220.98029083378864,0.9545750511765211,prop_ignite
fixed,NA,sppceco,-81.24486462745013,2.0579831534869943,-39.47790558430515,138.6637016889467,2.7029685260876404e-77,prop_ignite
fixed,NA,spppije,-1.8474028771598876,2.101281221290398,-0.8791792637947796,221.89875450066808,0.380255150742032,prop_ignite
fixed,NA,sppquke,-28.30963792364364,1.9900787612201085,-14.225385685884675,195.20711855475648,5.61466351656215e-32,prop_ignite
fixed,NA,mpa_scaled,0.30631812921166696,2.362204212936596,0.12967470277722717,859.3954674450057,0.8968541415379081,prop_ignite
fixed,NA,lfm_scaled,-0.03205558242384432,1.3170030568481732,-0.024339793485794278,763.5166163090032,0.9805879315998897,prop_ignite
fixed,NA,site,-0.3320902860130396,0.974302057446807,-0.3408494146910599,75.49962282546677,0.7341636294532312,prop_ignite
fixed,NA,year_month2020_september,-0.7720873992554387,0.9671222135279498,-0.7983348830743462,96.54982510346765,0.42663550468022227,prop_ignite
fixed,NA,spparpa:mpa_scaled,8.45238487376713,2.7610653461100068,3.0612766502160027,844.3362199413805,0.0022737511978740844,prop_ignite
fixed,NA,sppcade:mpa_scaled,-1.2728971851757642,3.311252248468316,-0.3844156499295901,846.8064791708753,0.7007669174946953,prop_ignite
fixed,NA,sppceco:mpa_scaled,0.16828735803787842,2.7082277938904538,0.062139292129532564,862.6986659508021,0.9504663001110698,prop_ignite
fixed,NA,spppije:mpa_scaled,0.428528724854019,3.177840228078357,0.13484904655296365,847.8930628142598,0.8927632300768501,prop_ignite
fixed,NA,sppquke:mpa_scaled,3.0044308474185155,3.233485871392525,0.9291615819322058,862.4845810985099,0.3530653224979653,prop_ignite
fixed,NA,spparpa:lfm_scaled,-3.8481731098419716,2.0053338944597856,-1.918968766484958,635.674313257677,0.05543574831551444,prop_ignite
fixed,NA,sppcade:lfm_scaled,0.5923426344767151,2.689439769856693,0.22024759249703446,754.7177006657989,0.8257378952457958,prop_ignite
fixed,NA,sppceco:lfm_scaled,0.31054729197363806,2.1933886375334803,0.14158334125540842,847.2960252416817,0.8874427818275602,prop_ignite
fixed,NA,spppije:lfm_scaled,0.8050166118338984,2.3281964640352495,0.34576833367345505,548.2896481125841,0.7296494516176517,prop_ignite
fixed,NA,sppquke:lfm_scaled,-13.641815187748234,3.225237142370438,-4.229709192088111,857.7494481052236,2.5915476228069886e-5,prop_ignite
ran_pars,individual,sd__(Intercept),2.2896188013835075,NA,NA,NA,NA,prop_ignite
ran_pars,Residual,sd__Observation,10.614206074052726,NA,NA,NA,NA,prop_ignite
fixed,NA,(Intercept),52.62861569437516,6.745632741681369,7.801879780555222,196.6882413593857,3.5094738572926994e-13,temp_change
fixed,NA,spparpa,-3.8649597785919534,5.89519662891308,-0.6556116821678517,249.59383780992601,0.5126778516485654,temp_change
fixed,NA,sppcade,3.722023222519607,6.257803965726833,0.5947810514526561,273.91157571008586,0.5524808348677889,temp_change
fixed,NA,sppceco,-5.911443257536691,8.791406299226843,-0.6724115637854857,554.4388719831998,0.501601843361802,temp_change
fixed,NA,spppije,23.072099621917875,8.256129642203842,2.7945418279259417,336.2652707791163,0.005495496870091524,temp_change
fixed,NA,sppquke,-9.338828181486875,6.880488597302855,-1.3572914262437243,275.46403068009295,0.17579962863989265,temp_change
fixed,NA,mpa_scaled,-7.828278204549054,7.941190480093578,-0.9857814422374624,813.5819671282151,0.32453344079418744,temp_change
fixed,NA,lfm_scaled,-1.9206429529543279,4.399023531927776,-0.43660665577586666,735.3970983911628,0.6625247921582826,temp_change
fixed,NA,site,-5.126483336879669,3.190589039956138,-1.6067513780935399,114.75959451763741,0.11085701288489412,temp_change
fixed,NA,year_month2020_september,-15.068024657854279,3.0734315724210663,-4.902671265911604,143.3824421383576,2.527694068964896e-6,temp_change
fixed,NA,sample_wt_scaled,13.710471814088095,2.8806155417453616,4.7595632306354,572.1859995976106,2.4603767116668306e-6,temp_change
fixed,NA,spparpa:mpa_scaled,15.30723790980769,9.51865317140022,1.6081306498066208,806.321293515726,0.10819802516195837,temp_change
fixed,NA,sppcade:mpa_scaled,5.076517451821548,11.065103024499956,0.45878627976452674,800.5440703315563,0.6465121793126767,temp_change
fixed,NA,sppceco:mpa_scaled,1.6392761279942893,10.166275995725513,0.16124647104638268,811.91365431087,0.8719393951645943,temp_change
fixed,NA,spppije:mpa_scaled,-8.58141529630781,10.61575446365573,-0.8083660304773705,779.2742206904556,0.41912660496777954,temp_change
fixed,NA,sppquke:mpa_scaled,5.55359176494613,11.32974115399098,0.49017816819141,812.3903498477999,0.6241401799971847,temp_change
fixed,NA,spparpa:lfm_scaled,-2.665051922794795,7.059905551274419,-0.37749115812373907,669.1435133963907,0.7059283326028557,temp_change
fixed,NA,sppcade:lfm_scaled,-4.274586319808618,8.950111924104517,-0.4776014373961365,721.3900061645522,0.6330785804796721,temp_change
fixed,NA,sppceco:lfm_scaled,18.57531673199184,12.193049251557296,1.5234348971090559,794.1746856515857,0.12804801555077228,temp_change
fixed,NA,spppije:lfm_scaled,1.4915944113805575,7.654664210061583,0.19486085482625728,498.3401451819374,0.8455812957376152,temp_change
fixed,NA,sppquke:lfm_scaled,-7.600295020031707,11.713222232020826,-0.6488645796589197,794.8837927894034,0.5166133282259147,temp_change
ran_pars,individual,sd__(Intercept),6.199103053045993,NA,NA,NA,NA,temp_change
ran_pars,Residual,sd__Observation,35.70995681824417,NA,NA,NA,NA,temp_change
