individual,site,year,year.month,month,lfm.outliers.out,lfm.NAs.imputed,mpa,dw.flam.sample,ww.flam.sample,sample.wt,spp,start.temp,gww.gdw.saturated,gdw.gww.saturated,fd,fh,gd,gti,pfg,dry.norm.fd,dry.norm.fh,dry.norm.gd,dry.norm.gti,dry.norm.pfg,temp.max,ttfg,tti,temp.change,PC1,PC2,PC3,PC4,ttms,model,LFM,prop.ignite,bins10lfm
2020_October_ARPA_1.3,1,2020,2020_October,October,75.26529037,75.26529037,5.558,3.82975429760378,0.118245702396216,3.948,ARPA,243.9,1.2818013,13.9170590365809,6,31,329,29,294,1.56668014022573,8.09451405783295,85.906294355711,7.57228734442438,76.7673268710609,261.2,88,117,17.3,2.7840701859576864,-2.8314209792515497,-2.8645368575496066,1.6108675065280478,0,HP,75.26529037,57,"(70,80]"
2020_October_ARPA_1.3,1,2020,2020_October,October,95.36850584,95.36850584,3.749,2.94720357695861,0.0936964230413904,3.0409,ARPA,254.1,1.2818013,13.9170590365809,46,35,496,0.5,450,15.6080158017011,11.8756641969465,168.29512690529901,0.169652345670664,152.687111103598,266.7,40,40,12.6,3.1860955885651068,-7.472252943772801,-0.4934369638242037,1.0284819321047278,NA,HP,95.36850584,85,"(90,100]"
2020_October_PIJE_1.4,1,2020,2020_October,October,122.634041,122.634041,3.987,6.90464837165205,0.606751628347951,7.5114,PIJE,263.5,1.603111288,11.3796948356808,29,27,46,1,16,4.20006906058581,3.910409125373,6.66217850989474,0.144829967606407,2.31727948170252,348,64,65,84.5,-0.9441887195671144,0.4199041841206509,1.4500230846640219,-0.532845476454882,8,HP,122.634041,94,"(120,130]"
2020_October_QUKE_1.4,1,2020,2020_October,October,65.86245772,65.86245772,7.222,0.678244924923058,0.0157550750769422,0.694,QUKE,251.6,1.419338551,22.3810032017076,2,38,29,3,24,2.94878726918139,56.0269581144464,42.7574154031301,4.42318090377208,35.3854472301767,251.1,11,14,-0.5,-3.199763801059558,0.6288310306239887,-0.4478838813710038,0.09102144237410548,NA,HP,65.86245772,100,"(60,70]"
2020_October_ABCO_1.4,1,2020,2020_October,October,131.2541694,131.2541694,2.662,1.90722199617964,0.0608780038203642,1.9681,ABCO,273.3,1.74,13.2762103796587,10,32,66,24,32,5.24322811923889,16.7783299815645,34.6053055869767,12.5837474861733,16.7783299815645,295.4,31,55,22.1,-1.6269066705251363,0.46887660231655837,-0.9823552771986427,-0.6839956653996204,NA,HP,131.2541694,100,"(130,140]"
2020_October_ARPA_1.4,1,2020,2020_October,October,44.49815183,44.49815183,3.377,2.76057349339642,0.0573265066035775,2.8179,ARPA,254.1,1.270564584,10.214003164557,12,26,45,0.5,33,4.34692285088777,9.41833284359018,16.3009606908292,0.181121785453657,11.9540378399414,253.3,40,40,-0.799999999999983,-2.4346098992315843,0.1291176570630078,0.08590759579394075,0.7239465658590176,NA,HP,44.49815183,100,"(40,50]"
2020_October_ABCO_1.4,1,2020,2020_October,October,100.2557545,100.2557545,3.476,1.85552937118811,0.0395706288118891,1.8951,ABCO,247.9,1.74,13.2762103796587,18,37,54,0.5,36,9.70073569273358,19.9404011461746,29.1022070782007,0.269464880353711,19.4014713854672,281.4,49,49,33.5,-1.554699774768789,0.594937323869828,0.5243762354676357,0.06618734964332121,5,HP,100.2557545,100,"(100,110]"
2020_October_PIJE_1.4,1,2020,2020_October,October,144.3765621,144.3765621,0.298,9.75910341066749,0.407396589332512,10.1665,PIJE,271.1,1.603111288,11.3796948356808,19,48,79,22,38,1.94690016085202,4.91848461688931,8.09500593196365,2.2543054494076,3.89380032170403,410.2,132,154,139.1,2.655727178687055,2.7001528533747874,0.31817723037154966,-1.0526057074928932,8,HP,144.3765621,92,"(140,150]"
2020_October_ABCO_1.4,1,2020,2020_October,October,131.374295,131.374295,0.312,2.97759602005641,0.174903979943591,3.1525,ABCO,276.9,1.74,13.2762103796587,14,25,56,3,39,4.7017795247237,8.39603486557803,18.8071180988948,1.00752418386936,13.0978143903017,322.2,51,54,45.3,-1.5229380176658815,0.14119299469304458,0.4258914035864989,0.04414018032112432,NA,HP,131.374295,100,"(130,140]"
2020_October_ABCO_1.4,1,2020,2020_October,October,154.1560645,154.1560645,2.437,2.71087189094713,0.131828109052868,2.8427,ABCO,281.1,1.74,13.2762103796587,14,36,58,0.5,44,5.16439011623992,13.2798602989027,21.3953304815654,0.184442504151426,16.230940365325502,316.2,65,65,35.1,-0.8878668462005206,0.8194346951811349,0.5419567616944798,0.08567505228936509,2,HP,154.1560645,100,"(150,160]"
2020_October_QUKE_1.4,1,2020,2020_October,October,74.74636083,74.74636083,6.412,0.963655157494592,0.0426448425054081,1.0063,QUKE,217.5,1.419338551,22.3810032017076,4,38,50,0.5,46,4.1508624417054,39.4331931962013,51.8857805213175,0.518857805213175,47.7349180796121,221.9,15,15,4.40000000000001,-3.062396423714279,0.25506170915412785,-0.5082311502527299,0.5872101163799116,0,HP,74.74636083,60,"(70,80]"
2020_October_CADE_1.4,1,2020,2020_October,October,96.12940497,96.12940497,2.941,1.96756785318389,0.0786321468161104,2.0462,CADE,249.7,1.519475358,13.4504234297812,9,43,86,27,50,4.57417516017876,21.8543924319652,43.7087848639304,13.7225254805363,25.4120842232153,267.8,61,88,18.1,-0.35717386878477436,1.2790111096542534,-1.3738470268741625,-0.22014107590954551,NA,HP,96.12940497,100,"(90,100]"
2020_October_PIJE_1.4,1,2020,2020_October,October,73.67081827,73.67081827,3.034,9.36460000593736,0.398599994062639,9.7632,PIJE,244.6,1.603111288,11.3796948356808,26,54,114,36,52,2.77641329939511,5.76639685258984,12.1735044665786,3.84426456839323,5.55282659879022,414.2,66,102,169.6,1.6081614456116768,1.4324973004859427,-0.24625288829170522,-2.832649054510892,5,HP,73.67081827,100,"(70,80]"
2020_October_QUKE_1.4,1,2020,2020_October,October,92.13861386,92.13861386,4.7,0.842288795733447,0.030911204266553,0.8732,QUKE,215.8,1.419338551,22.3810032017076,12,34,67,0.5,55,14.2468949614255,40.3662023907056,79.5451635346257,0.593620623392729,65.2982685732002,227.6,19,19,11.8,-2.755516264254847,-0.2447433834475849,-0.187989520472993,0.5316086608775592,0,HP,92.13861386,29,"(90,100]"
2020_October_ABCO_1.4,1,2020,2020_October,October,174,174,1.243,2.57969073120746,0.194309268792544,2.774,ABCO,268.3,1.74,13.2762103796587,7,42,62,0.5,55,2.71350356665567,16.281021399934,24.0338887332359,0.193821683332548,21.3203851665803,282.1,93,93,13.8,-0.13473249274184984,1.627616865801917,0.04042406158824188,0.9571562078808877,1,HP,174,100,"(170,180]"
2020_October_ABCO_1.4,1,2020,2020_October,October,116.6593599,116.6593599,3.109,2.16560032702395,0.078099672976049,2.2437,ABCO,246.4,1.74,13.2762103796587,8,30,70,4,58,3.6941257812765,13.8529716797869,32.3236005861694,1.84706289063825,26.7824119142546,292.9,57,61,46.5,-1.2748772473404204,0.3440801406094222,-0.1292498226233334,0.5236978231615633,2,HP,116.6593599,92,"(110,120]"
2020_October_CADE_1.4,1,2020,2020_October,October,131.9970712,131.9970712,2.224,2.74098308864441,0.154916911355594,2.8959,CADE,264.9,1.519475358,13.4504234297812,21,37,82,3,58,7.66148470123756,13.4988063783709,29.9162735953086,1.09449781446251,21.1602910796085,309.7,66,69,44.8,-0.4928463029523172,0.4623102878957947,0.5945380413393104,-0.050901967762742306,2,HP,131.9970712,100,"(130,140]"
2020_October_CADE_1.4,1,2020,2020_October,October,151.9475358,151.9475358,0.218,1.99592903497252,0.102270965027476,2.0982,CADE,267.8,1.519475358,13.4504234297812,11,40,92,9,72,5.51121798784365,20.0407926830678,46.093823171056,4.50917835369026,36.0734268295221,289.1,51,60,21.3,-0.8482650116201718,0.4181582664987922,-0.34638897869630203,0.006779419428755262,1,HP,151.9475358,100,"(150,160]"
2020_October_CADE_1.4,1,2020,2020_October,October,112.1617107,112.1617107,2.7,1.76568311943794,0.0475168805620609,1.8132,CADE,258.4,1.519475358,13.4504234297812,9,35,98,16,73,5.09717734791786,19.8223563530139,55.5025977884389,9.06164861852063,41.3437718220004,291.5,110,126,33.1,0.9473589086046974,1.3346741272584297,-0.7228224779959118,0.9151681404642508,NA,HP,112.1617107,100,"(110,120]"
2020_October_ABCO_1.4,1,2020,2020_October,October,107.1895425,107.1895425,3.283,2.43567406356413,0.0580259364358686,2.4937,ABCO,248.6,1.74,13.2762103796587,13,42,113,23,77,5.33733153974512,17.2436865130227,46.393727999323,9.44297118570291,31.6134252738749,294.2,31,54,45.6,-0.8420289797696201,0.09188511343554609,-1.0165836590304707,-0.8487785175264357,2,HP,107.1895425,100,"(100,110]"
