spp,lfm,mpa
ABCO,143.1966406,-1.755
ABCO,136.2969865,-1.755
ABCO,115.6565105,-1.97
ABCO,124.0029641,-1.92
ARPA,105.117549,-0.745
ARPA,107.5271257,-0.535
ARPA,89.56486579,-0.75
ARPA,96.96616994,-0.61
ARPA,102.8200519,-0.65
ARPA,99.30157482,-0.84
ARPA,105.057422,-2.035
ARPA,101.8276267,-1.105
ARPA,99.11793766,-0.995
ARPA,97.48837847,-1.09
ARPA,100.9946182,-1.47
ARPA,104.4851847,-1.56
ARPA,98.69899168,-1.446666667
ARPA,113.8019256,-1.463333333
ARPA,105.1098608,-1.56
ARPA,97.24467704,-1.555
ARPA,99.91100758,-0.935
ARPA,101.6581905,-1.19
ARPA,90.43289623,-1.17
ARPA,90.79148506,-1.61
ARPA,100.1926415,-0.92
ARPA,92.92648693,-1.945
ARPA,102.929277,-1.365
ARPA,96.71743193,-1.08
ARPA,99.52257084,-1.353333333
ARPA,113.7156275,-1.305
ARPA,102.4891347,-1.41
ARPA,94.31306255,-1.786666667
ARPA,200.5565863,-1.903333333
ARPA,109.684227,-1.903333333
ARPA,85.04993917,-1.63
ARPA,182.6684828,-1.74
ARPA,100.0799506,-1.74
ARPA,94.04321841,-1.786666667
ARPA,96.18941147,-1.88
ARPA,207.6236507,-1.7
ARPA,114.5402336,-1.7
ARPA,141.5283877,-2.125
ARPA,127.3093308,-1.695
ARPA,130.7637128,-2.193333333
ARPA,186.1682799,-2.26
ARPA,110.8579266,-2.26
ARPA,134.2402342,-2.195
ARPA,201.8646243,-1.515
ARPA,186.0419212,-1.515
ARPA,160.1512836,-1.87
ARPA,192.5729981,-1.81
ARPA,131.2736028,-1.81
ARPA,180.0850226,-1.97
ARPA,135.5560919,-1.97
ARPA,187.4331551,-2.035
CADE,95.64025459,-1.235
CADE,88.06827813,-1.235
CADE,101.7575982,-1.005
CADE,82.20119101,-1.005
CADE,100.9016942,-0.845
CADE,87.0188148,-0.845
CADE,99.14238742,-0.915
CADE,86.64269738,-0.915
CADE,86.20055574,-0.525
CADE,80.54171603,-0.525
CADE,104.327026,-0.86
CADE,92.79447625,-0.86
CADE,102.1029459,-1.385
CADE,88.54985573,-1.385
CADE,100.0605907,-1.45
CADE,92.59311159,-1.45
CADE,98.14264142,-1.605
CADE,90.53058256,-1.605
CADE,109.1698531,-1.22
CADE,100.0194008,-1.22
CADE,114.4207167,-1.69
CADE,102.6315502,-1.69
CADE,123.4010128,-1.7
CADE,105.1013232,-1.7
CADE,107.4029024,-1.515
CADE,89.61800654,-1.515
CADE,113.1719083,-1.245
CADE,99.50166347,-1.245
CADE,110.7045171,-1.68
CADE,85.32786475,-1.68
CADE,117.8334592,-1.665
CADE,104.7031569,-1.665
CADE,88.71261156,-1.663333333
CADE,96.20601023,-1.533333333
