date,sample,fresh.weight,dry.weight,water.potential,spp,fresh.weight.saturated.excel,RWD.excel,TLP.excel,RWC.at.tlp.excel,Po,SWC,
09.11.2021,1,0.4283,0.2404,-2.27,ADFA,0.4518,11.11,-3.210883099,85.46044293,-2.31320938,0.690982719,
09.11.2021,1,0.4255,0.2404,-2.345,ADFA,0.4518,12.44,-3.210883099,85.46044293,-2.31320938,0.690982719,
09.11.2021,1,0.4255,0.2404,-2.431,ADFA,0.4518,12.44,-3.210883099,85.46044293,-2.31320938,0.690982719,
09.11.2021,1,0.4271,0.2404,-2.543,ADFA,0.4518,11.68,-3.210883099,85.46044293,-2.31320938,0.690982719,
09.11.2021,1,0.4276,0.2404,-2.691,ADFA,0.4518,11.45,-3.210883099,85.46044293,-2.31320938,0.690982719,
09.11.2021,1,0.4248,0.2404,-2.883,ADFA,0.4518,12.77,-3.210883099,85.46044293,-2.31320938,0.690982719,
09.11.2021,1,0.4241,0.2404,-2.928,ADFA,0.4518,13.1,-3.210883099,85.46044293,-2.31320938,0.690982719,
09.11.2021,1,0.4204,0.2404,-3.145,ADFA,0.4518,14.85,-3.210883099,85.46044293,-2.31320938,0.690982719,
09.11.2021,1,0.4231,0.2404,-3.162,ADFA,0.4518,13.57,-3.210883099,85.46044293,-2.31320938,0.690982719,
09.11.2021,1,0.4188,0.2404,-3.226,ADFA,0.4518,15.61,-3.210883099,85.46044293,-2.31320938,0.690982719,
09.11.2021,1,0.4223,0.2404,-3.315,ADFA,0.4518,13.95,-3.210883099,85.46044293,-2.31320938,0.690982719,
09.11.2021,1,0.4116,0.2404,-3.324,ADFA,0.4518,19.01,-3.210883099,85.46044293,-2.31320938,0.690982719,
09.11.2021,1,0.4162,0.2404,-3.335,ADFA,0.4518,16.84,-3.210883099,85.46044293,-2.31320938,0.690982719,
09.11.2021,1,0.4117,0.2404,-3.866,ADFA,0.4518,18.97,-3.210883099,85.46044293,-2.31320938,0.690982719,
09.11.2021,1,0.4081,0.2404,-3.892,ADFA,0.4518,20.67,-3.210883099,85.46044293,-2.31320938,0.690982719,
09.11.2021,1,0.4037,0.2404,-4.162,ADFA,0.4518,22.75,-3.210883099,85.46044293,-2.31320938,0.690982719,
09.11.2021,1,0.3989,0.2404,-4.204,ADFA,0.4518,25.02,-3.210883099,85.46044293,-2.31320938,0.690982719,
09.11.2021,2,0.83,0.4252,-0.33,ADFA,0.8388,2.13,-3.403237128,80.13967662,-1.973589017,0.61413072,
09.11.2021,2,0.8265,0.4252,-0.514,ADFA,0.8388,2.97,-3.403237128,80.13967662,-1.973589017,0.61413072,
09.11.2021,2,0.8231,0.4252,-0.586,ADFA,0.8388,3.8,-3.403237128,80.13967662,-1.973589017,0.61413072,
09.11.2021,2,0.8174,0.4252,-1.089,ADFA,0.8388,5.17,-3.403237128,80.13967662,-1.973589017,0.61413072,
09.11.2021,2,0.7971,0.4252,-1.411,ADFA,0.8388,10.08,-3.403237128,80.13967662,-1.973589017,0.61413072,
09.11.2021,2,0.8123,0.4252,-1.415,ADFA,0.8388,6.41,-3.403237128,80.13967662,-1.973589017,0.61413072,
09.11.2021,2,0.8098,0.4252,-1.443,ADFA,0.8388,7.01,-3.403237128,80.13967662,-1.973589017,0.61413072,
09.11.2021,2,0.8064,0.4252,-1.461,ADFA,0.8388,7.83,-3.403237128,80.13967662,-1.973589017,0.61413072,
09.11.2021,2,0.8036,0.4252,-1.524,ADFA,0.8388,8.51,-3.403237128,80.13967662,-1.973589017,0.61413072,
09.11.2021,2,0.7954,0.4252,-1.734,ADFA,0.8388,10.49,-3.403237128,80.13967662,-1.973589017,0.61413072,
09.11.2021,2,0.7921,0.4252,-1.953,ADFA,0.8388,11.29,-3.403237128,80.13967662,-1.973589017,0.61413072,
09.11.2021,2,0.8002,0.4252,-2.045,ADFA,0.8388,9.33,-3.403237128,80.13967662,-1.973589017,0.61413072,
09.11.2021,2,0.7898,0.4252,-2.061,ADFA,0.8388,11.85,-3.403237128,80.13967662,-1.973589017,0.61413072,
09.11.2021,2,0.7861,0.4252,-2.109,ADFA,0.8388,12.74,-3.403237128,80.13967662,-1.973589017,0.61413072,
09.11.2021,2,0.7874,0.4252,-2.122,ADFA,0.8388,12.43,-3.403237128,80.13967662,-1.973589017,0.61413072,
09.11.2021,2,0.7846,0.4252,-2.263,ADFA,0.8388,13.11,-3.403237128,80.13967662,-1.973589017,0.61413072,
09.11.2021,2,0.7828,0.4252,-2.344,ADFA,0.8388,13.54,-3.403237128,80.13967662,-1.973589017,0.61413072,
09.11.2021,2,0.781,0.4252,-2.386,ADFA,0.8388,13.98,-3.403237128,80.13967662,-1.973589017,0.61413072,
09.11.2021,2,0.776,0.4252,-2.544,ADFA,0.8388,15.18,-3.403237128,80.13967662,-1.973589017,0.61413072,
09.11.2021,2,0.7731,0.4252,-2.742,ADFA,0.8388,15.89,-3.403237128,80.13967662,-1.973589017,0.61413072,
09.11.2021,2,0.7739,0.4252,-2.955,ADFA,0.8388,15.69,-3.403237128,80.13967662,-1.973589017,0.61413072,
09.11.2021,2,0.758,0.4252,-3.314,ADFA,0.8388,19.54,-3.403237128,80.13967662,-1.973589017,0.61413072,
09.11.2021,2,0.7571,0.4252,-3.545,ADFA,0.8388,19.75,-3.403237128,80.13967662,-1.973589017,0.61413072,
09.11.2021,2,0.7537,0.4252,-3.551,ADFA,0.8388,20.58,-3.403237128,80.13967662,-1.973589017,0.61413072,
