"","hydration","...1","model.spp.gr.sample","individual","sample","round","model.spp.gr","spp","model","mpa","lfm.notes","fh","ttfg","gti","tti","fd","gd","pfg","ignition","start.temp","temp.max","ignition.temp","prop.new","sample.wt","glow","year.month","year","month","dry.wt","fresh.wt","water.wt","site","lfm.outliers.out","lfm.NAs.imputed","gr","precip.2month","precip.2mo","season","prop.ignite","ros","bins5lfm","bins10lfm","bins20lfm","temp.change","gdw.gfw","gww.gdw","gdw.gww","dw.flam.sample","ww.flam.sample","gww.gdw.saturated","gdw.gww.saturated","RWC","RWD","max.mpa.sample","flam.index","mean.wt","dry.norm.fh","dry.norm.gd","dry.norm.fd","dry.norm.pfg","dry.norm.ttfg","dry.norm.tti","dry.norm.gti"
"11","moderate",647,"2020_September_HP_CEME_(80,90]_2.2","2020_September_CEME_2.2",2.2,3,"2020_September_HP_CEME_(80,90]","CEME","HP",3.56,"0",23,106,5,111,10,114,99,1,268.8,277.6,267.2,100,2.2941,1,"2020_September",2020,"September",0.2753,0.5072,0.2319,"Painted Caves",84.23537959,84.23537959,"(80,90]","2020_September",0.01,"Dry",50,1,"(80,85]","(80,90]","(80,100]",8.80000000000001,0.542783911671924,0.8423537959,1.1871496334627,1.24520057176656,1.04889942823344,1.066985646,0.937219730941704,78.9470597901558,21.0529402098442,-0.226,13.2368874714336,1.92131428571429,18.4709198835092,91.55151594435,8.03083473196053,79.5052638464092,85.1268481587816,89.1422655247619,4.01541736598026
"12","moderate",650,"2020_September_HP_CEME_(80,90]_2.3","2020_September_CEME_2.3",2.3,3,"2020_September_HP_CEME_(80,90]","CEME","HP",5.01,"0",22,82,7,89,9,113,97,1,264.1,271.2,262.8,100,1.2533,1,"2020_September",2020,"September",0.2996,0.5404,0.2408,"Painted Caves",80.37383178,80.37383178,"(80,90]","2020_September",0.01,"Dry",50,1.11111111111111,"(80,85]","(80,90]","(80,100]",7.09999999999997,0.55440414507772,0.8037383178,1.24418604651163,0.694834715025907,0.558465284974093,1.552264808,0.644219977553311,51.7784281172726,48.2215718827274,-0.498,14.8606221335779,1.92131428571429,31.6622061682392,162.628604409592,12.9527207051888,139.601545378146,118.013677536164,128.088015862422,10.0743383262579
"13","dry",762,"2020_September_HP_CEME_(50,60]_2.5","2020_September_CEME_2.5",2.5,8,"2020_September_HP_CEME_(50,60]","CEME","HP",8.861,"0",22,94,74,168,21,213,118,1,242.5,340.5,249.9,100,1.5,1,"2020_September",2020,"September",0.3413,0.5443,0.203,"Painted Caves",59.47846469,59.47846469,"(50,60]","2020_September",0.01,"Dry",33,0.476190476190476,"(55,60]","(50,60]","(40,60]",98,0.627043909608672,0.5947846469,1.68128078817734,0.940565864413007,0.559434135586993,1.256987902,0.795552605376701,47.3182475307547,52.6817524692453,-0.328,10.5352916263993,1.92131428571429,23.3901748217599,226.459419865221,22.3269850571345,125.456392225803,99.9398378747925,178.615880457076,78.6760425822835
"14","dry",776,"2020_September_HP_CEME_(50,60]_1.6","2020_September_CEME_1.6",1.6,9,"2020_September_HP_CEME_(50,60]","CEME","HP",8.667,"0",22,58,0.5,58,25,266,129,1,257.1,287.9,275.1,100,1.6974,1,"2020_September",2020,"September",0.3913,0.5964,0.2051,"St. Marys",52.41502683,52.41502683,"(50,60]","2020_September",0.01,"Dry",33,0.4,"(50,55]","(50,60]","(40,60]",30.8,0.656103286384977,0.5241502683,1.90784982935154,1.11366971830986,0.583730281690141,1.000726216,0.999274310595065,52.3769898219595,47.6230101780405,-0.491,19.2061445059485,1.92131428571429,19.7545103708018,238.849989028785,22.4483072395475,115.833265356065,52.0800727957501,52.0800727957501,0.448966144790949
"15","hydrated",181,"2020_September_HP_ADFA_(100,110]_1.2","2020_September_ADFA_1.2",1.2,1,"2020_September_HP_ADFA_(100,110]","ADFA","HP",0.713,"0",22,20,15,NA,10,264,60,1,267.6,289.8,278,NA,2.3384,1,"2020_September",2020,"September",0.2677,0.5419,0.2742,"St. Marys",102.4280911,102.4280911,"(100,110]","2020_September",0.01,"Dry",60,1,"(100,105]","(100,110]","(100,120]",22.2,0.494002583502491,1.024280911,0.976294675419402,1.15517564126223,1.18322435873777,1.024280911,0.976294675419402,100,0,-0.244,NA,1.75548139534884,19.0447229098089,228.536674917707,8.65669223173133,51.940153390388,17.3133844634627,NA,12.985038347597
"16","moderate",187,"2020_September_HP_ADFA_(80,90]_1.5","2020_September_ADFA_1.5",1.5,1,"2020_September_HP_ADFA_(80,90]","ADFA","HP",0.136,"0",27,8,57,65,28,202,117,1,284,394.2,289.1,NA,2.462,1,"2020_September",2020,"September",0.2965,0.5395,0.243,"St. Marys",81.95615514,81.95615514,"(80,90]","2020_September",0.01,"Dry",29,0.357142857142857,"(80,85]","(80,90]","(80,100]",110.2,0.549582947173309,0.8195615514,1.2201646090535,1.35307321594069,1.10892678405931,0.9275584515,1.07809917355372,88.356863125407,11.643136874593,-0.136,18.8157200232719,1.75548139534884,19.9545742846066,149.289777981131,20.6936325914438,86.4698218999618,5.91246645469824,48.0387899444232,42.126323489725
"17","hydrated",189,"2020_September_HP_ADFA_(100,110]_1.6","2020_September_ADFA_1.6",1.6,1,"2020_September_HP_ADFA_(100,110]","ADFA","HP",0.316,"0",15.5,35,61,96,15,135,59,1,303.6,333.5,302.4,100,1.6,1,"2020_September",2020,"September",0.2538,0.5258,0.272,"St. Marys",107.1710008,107.1710008,"(100,110]","2020_September",0.01,"Dry",60,0.666666666666667,"(105,110]","(100,110]","(100,120]",29.9,0.482693039178395,1.071710008,0.933088235294118,0.772308862685432,0.827691137314568,1.071710008,0.933088235294118,100,0,-0.316,13.1696637209204,1.75548139534884,20.0696907013396,174.800531914894,19.4222813238771,76.3943065405831,45.3186564223798,124.302600472813,78.9839440504334
"18","hydrated",191,"2020_September_HP_ADFA_(90,100]_2.1","2020_September_ADFA_2.1",2.1,1,"2020_September_HP_ADFA_(90,100]","ADFA","HP",0.319,"0",29,19,127,146,24,270,119,1,302.7,345.3,310.4,NA,2.4873,1,"2020_September",2020,"September",0.2494,0.4859,0.2365,"Painted Caves",94.82758621,94.82758621,"(90,100]","2020_September",0.01,"Dry",56,0.416666666666667,"(90,95]","(90,100]","(80,100]",42.6,0.513274336283186,0.9482758621,1.05454545454545,1.27666725663717,1.21063274336283,0.9482758621,1.05454545454545,100,0,-0.319,12.0801002350004,1.75548139534884,22.7153942025489,211.488152920283,18.7989469262474,93.2114451759766,14.8824996499458,114.360260468005,99.4777608180591
"19","hydrated",195,"2020_September_HP_ADFA_(90,100]_2.3","2020_September_ADFA_2.3",2.3,1,"2020_September_HP_ADFA_(90,100]","ADFA","HP",0.106,"0",32,9,15,192,9,131,146,1,302.3,327.1,327.2,100,2.9088,1,"2020_September",2020,"September",0.25,0.4891,0.2391,"Painted Caves",95.64,95.64,"(90,100]","2020_September",0.01,"Dry",56,1.11111111111111,"(95,100]","(90,100]","(80,100]",24.8,0.51114291555919,0.9564,1.04558762024258,1.48681251277857,1.42198748722143,0.9564,1.04558762024258,100,0,-0.106,10.8189829557561,1.75548139534884,21.5225522552256,88.1079482948297,6.05321782178219,98.1966446644666,6.05321782178219,129.135313531353,10.088696369637
"20","hydrated",197,"2020_September_HP_ADFA_(100,110]_2.4","2020_September_ADFA_2.4",2.4,1,"2020_September_HP_ADFA_(100,110]","ADFA","HP",0.116,"0",17,6,120,126,9,227,98,1,265.8,316.8,314,NA,2.5587,1,"2020_September",2020,"September",0.299,0.6217,0.3227,"Painted Caves",107.9264214,107.9264214,"(100,110]","2020_September",0.01,"Dry",60,1.11111111111111,"(105,110]","(100,110]","(100,120]",51,0.480939359819849,1.079264214,0.926557173845677,1.23057953997105,1.32812046002895,1.079264214,0.926557173845677,100,0,-0.116,11.5367827623178,1.75548139534884,13.8146291627764,184.465930585308,7.31362720382279,79.6372739971814,4.87575146921519,102.390780853519,97.5150293843038
