individual,site,year,month,year.month,lfm.outliers.out,lfm.NAs.imputed,mpa,dw.flam.sample,ww.flam.sample,sample.wt,spp,start.temp,gww.gdw.saturated,gdw.gww.saturated,fd,fh,gd,gti,pfg,dry.norm.fd,dry.norm.fh,dry.norm.gd,dry.norm.gti,dry.norm.pfg,temp.max,ttfg,tti,temp.change,PC1,PC2,PC3,PC4,model,LFM,prop.ignite,bins10lfm,flam.index,precip.2mo
2020_October_ABCO_2.1,2,2020,October,2020_October,64.23272159,64.23272159,4.714,1.3903950537045013,0.030504946295498714,1.4209,ABCO,252.5,1.803030303,13.507062399427856,14,31,63,0.5,49,10.069080699545843,22.295821548994365,45.31086314795629,0.3596100249837801,35.24178244841045,269.2,60,60,16.69999999999999,-0.7248960703937728,1.0591825372305486,-0.02088972264254335,-0.05913509787534055,HP,64.23272159,NA,"(60,70]",17.49991587422416,0.61
2020_October_ABCO_2.1,2,2020,October,2020_October,123.9273927,123.9273927,1.769,2.5117130242140666,0.14878697578593325,2.6605,ABCO,257.5,1.803030303,13.507062399427856,15,31,68,0.5,53,5.972019834827114,12.342174325309369,27.073156584549583,0.19906732782757044,21.101136749722468,282.4,86,86,24.899999999999977,-0.601077836383185,0.7375325371320864,0.2929905703036935,0.0815052019735687,HP,123.9273927,NA,"(120,130]",14.522300049899865,0.61
2020_October_ABCO_2.1,2,2020,October,2020_October,93.86503067,93.86503067,3.061,1.7933608628659474,0.04823913713405248,1.8416,ABCO,249.4,1.803030303,13.507062399427856,17,40,82,0.5,65,9.479408384563781,22.30449031662066,45.72420514907236,0.2788061289577583,36.24479676450858,267.1,56,56,17.700000000000017,-1.0321040805986357,0.6916376401176783,-0.13271470245764902,-0.1984947477449647,HP,93.86503067,NA,"(90,100]",19.301950845129035,0.61
2020_October_ABCO_2.1,2,2020,October,2020_October,144.363104,144.363104,2.701,2.649320331200106,0.07077966879989406,2.7201,ABCO,260.8,1.803030303,13.507062399427856,24,33,145,27,94,9.058927196292768,12.456024894902555,54.731018477602134,10.191293095829362,35.480798185480005,269,35,62,8.199999999999989,-0.4476119611947585,-0.07722199574910804,-0.6505341169290192,-0.5787632437974367,HP,144.363104,NA,"(140,150]",17.451279964091096,0.61
2020_October_ABCO_2.1,2,2020,October,2020_October,116.1696179,116.1696179,2.592,2.556227428408087,0.0855725715919129,2.6418,ABCO,272.1,1.803030303,13.507062399427856,19,35,131,11,101,7.43282846778325,13.692052440653356,51.24739627787399,4.303216481348198,39.51135132874254,312.3,56,67,40.19999999999999,-0.5620811230680516,-0.4135909354572462,-0.26097439639371506,-0.19300324363834878,HP,116.1696179,NA,"(110,120]",16.98691611169799,0.61
2020_October_ABCO_2.1,2,2020,October,2020_October,174.6666667,174.6666667,0.155,2.747082251304862,0.15131774869513803,2.8984,ABCO,256.8,1.803030303,13.507062399427856,10,43,114,0.5,104,3.640225914331472,15.65297143162533,41.49857542337878,0.1820112957165736,37.85834950904731,253.3,85,85,-3.5,-0.4906382767243444,0.8902721051517033,0.21372547622390484,-0.763204947932006,HP,174.6666667,NA,"(170,180]",15.806184933397313,0.61
2020_October_ABCO_2.2,2,2020,October,2020_October,158.7854833,158.7854833,2.262,2.6743990475834765,0.15570095241652337,2.8301,ABCO,256.6,1.845419019,12.779918172519604,13,37,108,31,1,4.860905111279669,13.83488377825752,40.38290400140033,11.591389111513058,0.3739157777907438,287.5,32,63,30.899999999999977,-0.9470525844975026,1.2328021260279942,-0.43421579794192394,0.9921884351996142,HP,158.7854833,NA,"(150,160]",17.78423286805043,0.61
2020_October_ABCO_2.2,2,2020,October,2020_October,184.5419019,184.5419019,0.164,3.7499779545656566,0.21392204543434357,3.9639,ABCO,250.6,1.845419019,12.779918172519604,13,42,103,0.5,34,3.4666870465657795,11.20006584275098,27.466828138175025,0.13333411717560692,9.06671996794127,352.3,103,103,101.70000000000002,-1.0468432378572148,-0.03853239877886494,0.5330943321592004,1.3051379921129627,HP,184.5419019,NA,"(180,190]",14.308275733938656,0.61
2020_October_ABCO_2.2,2,2020,October,2020_October,154.4204322,154.4204322,2.225,2.8811045313154655,0.18349546868453448,3.0646,ABCO,259.5,1.845419019,12.779918172519604,11,42,49,0.5,38,3.81798018101675,14.577742509336682,17.007366260892795,0.17354455368257954,13.189386079876046,281.5,97,97,22,-1.0276718364071866,1.1044327537480851,0.544057419166135,0.45432905362850773,HP,154.4204322,NA,"(150,160]",14.725676490194646,0.61
2020_October_ABCO_2.2,2,2020,October,2020_October,93.35400975,93.35400975,4.498,1.6584328905755852,0.04636710942441491,1.7048,ABCO,243.5,1.845419019,12.779918172519604,9,38,47,0.5,38,5.426809882476709,22.913197281568326,28.340007164045034,0.3014894379153727,22.913197281568326,282.7,56,56,39.19999999999999,-1.0595690022673394,1.295980271413378,0.044834191947316394,0.3426051827467004,HP,93.35400975,NA,"(90,100]",19.061699528945823,0.61
2020_October_ABCO_2.2,2,2020,October,2020_October,180.3813038,180.3813038,0.7282,2.975011970358641,0.23278802964135936,3.2078,ABCO,277.8,1.845419019,12.779918172519604,6,42,112,4,39,2.016798607797431,14.11759025458202,37.64690734555205,1.3445324051982877,13.109190950683304,306.9,180,81.5,29.099999999999966,-0.6222942133921654,0.8959001707344081,1.2878774181290347,0.6998818512549017,HP,180.3813038,NA,"(180,190]",16.050590858789118,0.61
2020_October_ABCO_2.2,2,2020,October,2020_October,120.1553931,120.1553931,2.843,2.270965548940641,0.048534451059359274,2.3195,ABCO,250.7,1.845419019,12.779918172519604,9,41,54,0.5,45,3.9630720088194717,18.05399470684426,23.77843205291683,0.22017066715663733,19.81536004409736,316.9,71,71,66.19999999999999,-1.1307372110244647,0.7292283077392374,0.2462895620484801,0.6998024086291006,HP,120.1553931,NA,"(120,130]",17.125637876824765,0.61
2020_October_ABCO_2.2,2,2020,October,2020_October,157.138786,157.138786,2.4,3.0728680223088696,0.22433197769113056,3.2972,ABCO,255.1,1.845419019,12.779918172519604,11,40,62,0.5,51,3.5797176839813964,13.017155214477805,20.176590582440596,0.16271444018097256,16.5968728984592,289.95,66,66,34.849999999999994,-1.035342409738329,0.9101857346315534,0.12116485074549424,0.2867382847818532,HP,157.138786,NA,"(150,160]",17.685258783896888,0.61
2020_October_ABCO_2.2,2,2020,October,2020_October,114.5489443,114.5489443,3.489,2.920297602184047,0.11670239781595271,3.037,ABCO,246.6,1.845419019,12.779918172519604,7,44,129,49,73,2.397015973565435,15.066957548125593,44.173580084277305,16.779111814958046,24.997452295753824,314.2,14,63,67.6,-0.7070208649801918,0.6012170288653693,-0.65481589261563,0.49550518581514313,HP,114.5489443,NA,"(110,120]",18.556300985271793,0.61
2020_October_ABCO_2.3,2,2020,October,2020_October,161.9933238,161.9933238,0.798,2.948819393370535,0.1346806066294648,3.0835,ABCO,269.2,1.812757974,13.655228171038448,9,35,69,4,56,3.052068912810864,11.869156883153359,23.399194998216622,1.356475072360384,18.990651013045376,265.1,87,91,-4.099999999999966,-0.5213252770362798,1.3126920721809971,0.35874656431836394,-0.058190450779432135,HP,161.9933238,NA,"(160,170]",14.532044795054503,0.61
2020_October_ABCO_2.3,2,2020,October,2020_October,156.744579,156.744579,2.2,2.567757891897856,0.18804210810214395,2.7558,ABCO,249.2,1.812757974,13.655228171038448,19,33,80,1,60,7.399451505903817,12.85167893130663,31.15558528801607,0.3894448161002009,23.366688966012052,268.6,87,88,19.400000000000034,-0.6503558946800286,0.575041582076496,0.23038799389702186,-0.14929680947064092,HP,156.744579,NA,"(150,160]",14.569285750825992,0.61
2020_October_ABCO_2.3,2,2020,October,2020_October,181.2757974,181.2757974,0.192,3.6230427320075758,0.23205726799242443,3.8551,ABCO,269.5,1.812757974,13.655228171038448,10,43,73,0.5,63,2.760110972927683,11.868477183589036,20.148810102372085,0.13800554864638415,17.3886991294444,271.9,103,103,2.3999999999999773,-0.7808340595027227,1.0323882841562608,0.5615953029862911,0.03586274189441746,HP,181.2757974,NA,"(180,190]",14.391668978942544,0.61
2020_October_ABCO_2.3,2,2020,October,2020_October,130.751936,130.751936,2.759,2.861631207418157,0.1968687925818431,3.0585,ABCO,232.8,1.812757974,13.655228171038448,7,40,82,0.5,75,2.4461572762604846,13.97804157863134,28.654985236194246,0.17472551973289174,26.20882795993376,260,107,107,27.19999999999999,-0.44574389758503696,1.276886784655342,0.6027485554858338,-0.2821797165634191,HP,130.751936,NA,"(130,140]",13.885694219904854,0.61
2020_October_ABCO_2.3,2,2020,October,2020_October,98.26746075,98.26746075,4.048,2.179347199939743,0.10405280006025697,2.2834,ABCO,238.7,1.812757974,13.655228171038448,12,34.5,152,53,87,5.5062359959586935,15.830428488381244,69.74565594881011,24.319208982150897,39.92021097070053,247.1,29,82,8.400000000000006,0.007931673511030524,1.0456502435090689,-0.6451550340664148,-0.5377304124974354,HP,98.26746075,NA,"(90,100]",15.253910581554686,0.61
2020_October_ABCO_2.3,2,2020,October,2020_October,124.1585233,124.1585233,3.361,3.68491242798992,0.13548757201007966,3.8204,ABCO,258.1,1.812757974,13.655228171038448,9,31,119,0.5,110,2.4423918277236787,8.412682962159337,32.29384749990197,0.1356884348735377,29.851455672178297,345.1,99,99,87,-0.10425961730864688,-0.30971711014937864,0.4263302879610213,0.05708143748209399,HP,124.1585233,NA,"(120,130]",13.554241093561249,0.61
2020_October_ABCO_2.3,2,2020,October,2020_October,112.1657361,112.1657361,3.148,3.4615803573232617,0.10581964267673838,3.5674,ABCO,256.4,1.812757974,13.655228171038448,9,43,122,2,111,2.5999685319913923,12.422071875069985,35.24401787810554,0.5777707848869761,32.06627856122717,290.7,89,91,34.30000000000001,-0.46925799361208714,0.371901835042326,0.28062196103071724,-0.41824036529286723,HP,112.1657361,NA,"(110,120]",15.280012331981771,0.61
2020_October_ABCO_2.4,2,2020,October,2020_October,137.43148,137.43148,2.934,2.638802590229807,0.03759740977019321,2.6764,ABCO,250.6,1.9720670390000001,9.158510638297873,26,23,70,0.5,44,9.852953796644456,8.716074512416249,26.52718329865815,0.18947988070470106,16.674229502013695,286.3,72,72,35.70000000000002,-0.6589311153818741,0.10187066658609725,-0.011268068182038307,0.07822023207580445,HP,137.43148,NA,"(130,140]",14.876361474903948,0.61
2020_October_ABCO_2.4,2,2020,October,2020_October,155.8872305,155.8872305,2.182,3.0268987956854128,0.3305012043145874,3.3574,ABCO,267.9,1.9720670390000001,9.158510638297873,21,41,69,0.5,48,6.93779389979398,13.545216661502531,22.795608527894505,0.1651855690427138,15.857814628100524,322.6,88,88,54.700000000000045,-1.2631432560257712,-0.1979441045505095,0.30703355191649906,0.7160391053980888,HP,155.8872305,NA,"(150,160]",15.35382885340041,0.61
2020_October_ABCO_2.4,2,2020,October,2020_October,129.9528302,129.9528302,2.897,2.916560118692966,0.09093988130703368,3.0075,ABCO,241.7,1.9720670390000001,9.158510638297873,18,50,97,29,50,6.171654026479167,17.143483406886574,33.25835780935995,9.943220375994212,17.143483406886574,282,61,90,40.30000000000001,-1.2479800511740262,0.4802089999821446,-0.0921111093235788,0.4688196144343555,HP,129.9528302,NA,"(120,130]",15.950819906128794,0.61
2020_October_ABCO_2.4,2,2020,October,2020_October,133.4739379,133.4739379,2.082,4.416756596393447,0.2588434036065532,4.6756,ABCO,253.2,1.9720670390000001,9.158510638297873,15,39,103,24,64,3.3961572644162508,8.830008887482252,23.320279882324922,5.433851623066001,14.490270994842671,297.2,77,101,44,-0.6381939110493028,0.36495812048490356,0.11126687232960542,0.317567741426149,HP,133.4739379,NA,"(130,140]",14.182140188617568,0.61
