"","individual","site","year","year_month","month","lfm_outliers_out","lfm_n_as_imputed","mpa","dw_flam_sample","ww_flam_sample","sample_wt","spp","start_temp","gww_gdw_saturated","gdw_gww_saturated","fd","fh","gd","gti","pfg","dry_norm_fd","dry_norm_fh","dry_norm_gd","dry_norm_gti","dry_norm_pfg","temp_max","ttfg","tti","temp_change","pc1","pc2","pc3","pc4","ttms","model","lfm","prop_ignite","bins10lfm","flam_index","precip_2mo"
"11","2020_October_ABCO_1.1",1,2020,"2020_October","October",120.8792966,120.8792966,2.509,2.54051719164847,0.150032808351525,2.69055,"ABCO",262.7,1.873278237,9.21543901001768,13,53,112,19,80,5.11706830512123,20.8618938593404,44.0855115518136,7.4787921382541,31.4896511084383,334.1,99,118,71.4,1.60615839784244,1.77903697937429,-0.471373177356001,-0.448861823279139,3,"HP",120.8792966,100,"(120,130]",NA,NA
"12","2020_October_PIJE_1.1",1,2020,"2020_October","October",119.6867322,119.6867322,2.587,5.68304845739809,0.29215154260191,5.9752,"PIJE",240.6,1.700417537,12.6997228820269,23,47,105,0.5,82,4.04712368237139,8.27020926397632,18.4759994195216,0.0879809496167693,14.4288757371502,403.9,97,97,163.3,1.48257537446053,1.02791003618539,1.31367867269747,-0.83437200658364,8,"HP",119.6867322,100,"(110,120]",NA,NA
"13","2020_October_CADE_1.1",1,2020,"2020_October","October",NA,135.022700305071,0.596,3.6567715725524,0.247928427447598,3.9047,"CADE",244.7,1.509893892,13.5173440784863,15,40,159,58,86,4.1019789457426,10.9386105219803,43.4809768248715,15.8609852568714,23.5180126222576,275.8,52,110,31.1,0.78562827167787,0.376856846519565,-2.90690588300608,-1.24411047061107,0,"HP",135.022700305071,100,"(130,140]",NA,NA
"14","2020_October_CADE_1.1",1,2020,"2020_October","October",101.7971612,101.7971612,2.844,3.59729339352424,0.244006606475761,3.8413,"CADE",242,1.509893892,13.5173440784863,22,39,131,21,88,6.11570911608263,10.8414843421465,36.416267918492,5.83772233807887,24.4628364643305,315.6,98,119,73.6,1.42217580061646,0.710851379858651,-0.381209805232975,-0.0899529994598754,NA,"HP",101.7971612,100,"(100,110]",NA,NA
"15","2020_October_ABCO_1.1",1,2020,"2020_October","October",136.1752988,136.1752988,3.01,4.48491722833845,0.241482771661547,4.7264,"ABCO",260.6,1.873278237,9.21543901001768,15,51,105,0.5,90,3.344543329634,11.3714473207556,23.411803307438,0.111484777654467,20.067259977804,279.6,180,180,19,3.1912867836478,2.81534915876055,0.31769841881092,2.0020243707474,NA,"HP",136.1752988,100,"(130,140]",NA,NA
"16","2020_October_PIJE_1.1",1,2020,"2020_October","October",170.0417537,170.0417537,1.014,7.24934646046448,0.375353539535516,7.6247,"PIJE",276.4,1.700417537,12.6997228820269,24,48,138,14,100,3.31064326017359,6.62128652034718,19.0361987459981,1.93120856843459,13.79434691739,387.1,106,120,110.7,2.29966436547972,0.986242008490949,0.464954564228336,-0.862890630699397,6,"HP",170.0417537,100,"(170,180]",NA,NA
"17","2020_October_ABCO_1.1",1,2020,"2020_October","October",102.1890128,102.1890128,3.62,4.08149110904963,0.25710889095037,4.3386,"ABCO",235.7,1.873278237,9.21543901001768,18,38,164,46,100,4.4101529365309,9.31032286600969,40.181393421726,11.2703908378012,24.5008496473939,332.6,57,103,96.9,1.08909954475222,-0.0195618727342828,-1.88051427967037,-1.44224533426424,4,"HP",102.1890128,100,"(100,110]",NA,NA
"18","2020_October_ABCO_1.1",1,2020,"2020_October","October",143.9111262,143.9111262,2.187,6.56572939615589,0.712470603844112,7.2782,"ABCO",230.4,1.873278237,9.21543901001768,14,48,118,0.5,104,2.1322840396372,7.31068813589898,17.972108334085,0.0761530014156143,15.8398242944478,273.7,224,224,43.3,4.50438706083026,3.26366292780578,0.221487168332452,2.92946437767727,2,"HP",143.9111262,100,"(140,150]",NA,NA
"19","2020_October_CADE_1.1",1,2020,"2020_October","October",150.9893892,150.9893892,0.336,3.84777003018009,0.268029969819909,4.1158,"CADE",271.6,1.509893892,13.5173440784863,23,30,138,0.5,115,5.97748821254879,7.79672375549842,35.8649292752927,0.129945395924974,29.887441062744,272.3,101,101,0.699999999999989,0.708912678516748,-0.274042662739545,0.334691015105104,1.37186398695575,1,"HP",150.9893892,100,"(150,160]",NA,NA
"20","2020_October_CADE_1.1",1,2020,"2020_October","October",110.8921645,110.8921645,2.297,4.06729428745218,0.224805712547819,4.2921,"CADE",240.6,1.509893892,13.5173440784863,22,33,143,0.5,121,5.40900127828743,8.11350191743114,35.1585083088683,0.122931847233805,29.7495070305809,307.1,114,114,66.5,1.43056851429658,0.0341104399616543,0.49267077967367,1.13711500669894,4,"HP",110.8921645,100,"(110,120]",NA,NA
"21","2020_October_CADE_1.1",1,2020,"2020_October","October",87.37652528,87.37652528,2.875,4.4358738671255,0.207126132874498,4.643,"CADE",236.6,1.509893892,13.5173440784863,48,35,185,0.5,137,10.8208667418906,7.89021533262856,41.7054239010367,0.112717361894694,30.8845571591461,343.4,81,81,106.8,1.4332290936419,-1.48652940786185,1.6776354827563,-0.47188584934623,3,"HP",87.37652528,100,"(80,90]",NA,NA
"22","2020_October_ABCO_1.1",1,2020,"2020_October","October",182.6067812,182.6067812,0.698,7.06358706034737,0.764512939652635,7.8281,"ABCO",265.3,1.873278237,9.21543901001768,15,44,153,0.5,138,2.12356694578099,6.22912970762425,21.6603828469661,0.0707855648593664,19.5368159011851,444.8,168,168,179.5,4.2029266790169,1.45998946792156,1.02578770882958,0.328079228245063,NA,"HP",182.6067812,100,"(180,190]",NA,NA
