"","individual","year.month","dry.wt","spp","model","lfm.NAs.imputed","RWC","max.mpa.sample","mpa","gww.gdw","gww.gdw.saturated","fresh.wt","site","sample"
"97","2016_December_ADFA_1","2016_December",0.353,"ADFA","EPI",21.52974504,18.8113428805993,-0.043,-8.2,0.2152974504,1.144508671,0.429,"St. Marys",1
"98","2016_December_ADFA_2","2016_December",0.08,"ADFA","EPI",112.5,100,-0.043,-8.4,1.125,1.125,0.17,"St. Marys",2
"99","2016_December_ADFA_3","2016_December",1.0635,"ADFA","EPI",46.16831218,41.0750108362989,-0.043,-8.5,0.4616831218,1.124,1.5545,"St. Marys",3
"100","2016_December_ADFA_1","2016_December",0.587,"ADFA","EPI",39.01192504,34.0861769146002,-0.043,-9.1,0.3901192504,1.144508671,0.816,"St. Marys",1
"101","2016_December_ADFA_2","2016_December",0.3505,"ADFA","EPI",49.35805991,43.8738310311111,-0.043,-9.5,0.4935805991,1.125,0.5235,"St. Marys",2
"102","2016_December_ADFA_3","2016_December",0.032,"ADFA","EPI",47.7035614902184,42.4408910055324,-0.043,-9.5,0.477035614902184,1.124,0.132,"St. Marys",3
"103","2018_January_ADFA_1","2018_January",0.2045,"ADFA","EPI",79.21760391,93.0514231428792,-0.043,-0.7,0.7921760391,0.8513314599,0.3665,"St. Marys",1
"104","2018_January_ADFA_2","2018_January",0.1761,"ADFA","EPI",80.69278819,100,-0.043,-0.5,0.8069278819,0.8069278819,0.3182,"St. Marys",2
"105","2018_January_ADFA_3","2018_January",0.2423,"ADFA","EPI",75.40239373,95.4938340768148,-0.043,-0.6,0.7540239373,0.7896048416,0.425,"St. Marys",3
"106","2018_January_ADFA_4","2018_January",0.2536,"ADFA","EPI",82.41324921,100,-0.043,-0.8,0.8241324921,0.8241324921,0.4626,"St. Marys",4
"107","2018_January_ADFA_5","2018_January",0.3864,"ADFA","EPI",81.44409938,100,-0.043,-0.7,0.8144409938,0.8144409938,0.7011,"St. Marys",5
"108","2018_January_ADFA_6","2018_January",0.3529,"ADFA","EPI",69.09451608,92.6290236538465,-0.043,-0.5,0.6909451608,0.7459272845,0.5967,"St. Marys",6
"109","2018_January_ADFA_1","2018_January",0.218,"ADFA","EPI",80.68807339,94.7786816188819,-0.043,-1.3,0.8068807339,0.8513314599,0.3939,"St. Marys",1
"110","2018_January_ADFA_2","2018_January",0.1843,"ADFA","EPI",79.1101465,98.0386826065875,-0.043,-1.4,0.791101465,0.8069278819,0.3301,"St. Marys",2
"111","2018_January_ADFA_3","2018_January",0.2809,"ADFA","EPI",78.96048416,100,-0.043,-1.2,0.7896048416,0.7896048416,0.5027,"St. Marys",3
"112","2018_January_ADFA_4","2018_January",0.2359,"ADFA","EPI",68.8997244,83.6027277900842,-0.043,-1.2,0.688997244,0.8241324921,0.3984,"St. Marys",4
"113","2018_January_ADFA_5","2018_January",0.2763,"ADFA","EPI",71.2631198,87.4994264071878,-0.043,-2.4,0.712631198,0.8144409938,0.4732,"St. Marys",5
"114","2018_January_ADFA_6","2018_January",0.4635,"ADFA","EPI",74.59272845,100,-0.043,-1.4,0.7459272845,0.7459272845,0.8092,"St. Marys",6
"115","2018_January_ADFA_6","2018_January",0.4635,"ADFA","EPI",74.59272845,100,-0.043,-1.4,0.7459272845,0.7459272845,0.8092,"St. Marys",6
"116","2018_January_ADFA_6","2018_January",0.4635,"ADFA","EPI",74.59272845,100,-0.043,-1.4,0.7459272845,0.7459272845,0.8092,"St. Marys",6
"117","2018_January_ADFA_1","2018_January",0.3737,"ADFA","EPI",85.13314599,100,-0.043,-2.2,0.8513314599,0.8513314599,0.6918,"St. Marys",1
"118","2018_January_ADFA_1","2018_January",0.3737,"ADFA","EPI",85.13314599,100,-0.043,-2.2,0.8513314599,0.8513314599,0.6918,"St. Marys",1
"119","2018_January_ADFA_2","2018_January",0.2096,"ADFA","EPI",76.40181341,94.6823317470498,-0.043,-3.7,0.7640181341,0.8069278819,0.3697,"St. Marys",2
"120","2018_January_ADFA_3","2018_January",0.2445,"ADFA","EPI",69.3393332,87.8152330721474,-0.043,-2.8,0.693393332,0.7896048416,0.4139,"St. Marys",3
"121","2018_January_ADFA_4","2018_January",0.2367,"ADFA","EPI",69.51193746,84.3455853595509,-0.043,-3.7,0.6951193746,0.8241324921,0.4012,"St. Marys",4
"122","2018_January_ADFA_4","2018_January",0.2367,"ADFA","EPI",69.51193746,84.3455853595509,-0.043,-3.7,0.6951193746,0.8241324921,0.4012,"St. Marys",4
"123","2018_January_ADFA_5","2018_January",0.4459,"ADFA","EPI",76.6401256,94.1015078850762,-0.043,-3.2,0.766401256,0.8144409938,0.7876,"St. Marys",5
"124","2018_January_ADFA_6","2018_January",0.3647,"ADFA","EPI",68.6137392,91.9844877989578,-0.043,-3.9,0.686137392,0.7459272845,0.6149,"St. Marys",6
"125","2018_January_ADFA_1","2018_January",0.2741,"ADFA","EPI",73.80518059,86.6938249864153,-0.043,-3.2,0.7380518059,0.8513314599,0.4764,"St. Marys",1
