"","model.spp.gr.sample","model.spp.bins5lfm_gr.sample","individual","sample","round","model.spp.gr","model.spp.bins5lfm_gr","spp","model","mpa","lfm.notes","fh","ttfg","gti","tti","fd","gd","pfg","ignition","start.temp","temp.max","ignition.temp","prop.new","sample.wt","glow","year.month","year","month","dry.wt","fresh.wt","water.wt","site","lfm.outliers.out","lfm.NAs.imputed","gr","precip.2month","precip.2mo","season","prop.ignite","ros","bins5lfm_gr","individual.bins5lfm_gr","prop.ignite.bins5","hydration","bins5lfm","bins10lfm","bins20lfm","temp.change","gdw.gfw","gww.gdw","gdw.gww","dw.flam.sample","ww.flam.sample","gww.gdw.saturated","gdw.gww.saturated","RWC","RWD","max.mpa.sample"
"21","2016_December_EPI_ADFA_(110,120]_3","2016_December_EPI_ADFA_(110,115]_3","2016_December_ADFA_3",3,4,"2016_December_EPI_ADFA_(110,120]","2016_December_EPI_ADFA_(110,115]","ADFA","EPI",-0.6,"0",7,15,25,40,5,83,53,1,271.9,321.7,NA,100,0.488,1,"2016_December",2016,"December",0.25,0.531,0.281,"St. Marys",112.4,112.4,"(110,120]","2016_December",0.61,"Dry",100,2,"(110,115]","2016_December_EPI_ADFA_(110,115]_3",100,"hydrated","(110,115]","(110,120]","(100,120]",49.8,0.470809792843691,1.124,0.889679715302491,0.229755178907721,0.258244821092279,1.124,0.32,100,0,-0.043
"22","2016_December_EPI_ADFA_(100,110]_4","2016_December_EPI_ADFA_(105,110]_4","2016_December_ADFA_4",4,4,"2016_December_EPI_ADFA_(100,110]","2016_December_EPI_ADFA_(105,110]","ADFA","EPI",-0.8,"0",10,12,19,31,5,102,78,1,277.2,306,NA,100,0.512,1,"2016_December",2016,"December",0.141,0.291,0.15,"St. Marys",106.3829787,106.3829787,"(100,110]","2016_December",0.61,"Dry",100,2,"(105,110]","2016_December_EPI_ADFA_(105,110]_4",100,"hydrated","(105,110]","(100,110]","(100,120]",28.8,0.484536082474227,1.063829787,0.94,0.248082474226804,0.263917525773196,1.063829787,0.94,100,0,-0.043
"23","2016_December_EPI_ADFA_(70,80]_5","2016_December_EPI_ADFA_(75,80]_5","2016_December_ADFA_5",5,4,"2016_December_EPI_ADFA_(70,80]","2016_December_EPI_ADFA_(75,80]","ADFA","EPI",-1,"0",10,20,15,35,8,117,94,1,282.8,320,NA,100,0.509,1,"2016_December",2016,"December",0.5745,1.0235,0.449,"St. Marys",78.15491732,78.15491732,"(70,80]","2016_December",0.61,"Dry",100,1.25,"(75,80]","2016_December_EPI_ADFA_(75,80]_5",100,"moderate","(75,80]","(70,80]","(60,80]",37.2,0.561309233023937,0.7815491732,1.27951002227171,0.285706399609184,0.223293600390816,0.9144634526,1.09353741496599,85.4653262498246,14.5346737501754,-0.043
"24","2016_December_EPI_ADFA_(70,80]_6","2016_December_EPI_ADFA_(70,75]_6","2016_December_ADFA_6",6,4,"2016_December_EPI_ADFA_(70,80]","2016_December_EPI_ADFA_(70,75]","ADFA","EPI",-1.3,"0",11,19,18,37,3,101,80,1,279.4,316,NA,100,0.502,1,"2016_December",2016,"December",0.6575,1.1455,0.488,"St. Marys",74.22053232,74.22053232,"(70,80]","2016_December",0.61,"Dry",100,3.33333333333333,"(70,75]","2016_December_EPI_ADFA_(70,75]_6",100,"moderate","(70,75]","(70,80]","(60,80]",36.6,0.573985159319075,0.7422053232,1.34733606557377,0.288140549978176,0.213859450021824,0.9552238806,1.046875,77.6996197722572,22.3003802277428,-0.043
"25","2016_December_EPI_ADFA_(80,90]_1","2016_December_EPI_ADFA_(85,90]_1","2016_December_ADFA_1",1,5,"2016_December_EPI_ADFA_(80,90]","2016_December_EPI_ADFA_(85,90]","ADFA","EPI",-0.9,"0",16,6,22,28,4,89,63,1,284.6,292.6,NA,100,0.519,1,"2016_December",2016,"December",0.216,0.408,0.192,"St. Marys",88.88888889,88.88888889,"(80,90]","2016_December",0.61,"Dry",100,2.5,"(85,90]","2016_December_EPI_ADFA_(85,90]_1",100,"moderate","(85,90]","(80,90]","(80,100]",8,0.529411764705882,0.8888888889,1.125,0.274764705882353,0.244235294117647,1.144508671,0.175675675675676,77.6655443006251,22.3344556993749,-0.043
"26","2016_December_EPI_ADFA_(80,90]_2","2016_December_EPI_ADFA_(80,85]_2","2016_December_ADFA_2",2,5,"2016_December_EPI_ADFA_(80,90]","2016_December_EPI_ADFA_(80,85]","ADFA","EPI",-1,"0",14,22,5,27,6,61,50,1,278.9,337.4,NA,100,0.475,1,"2016_December",2016,"December",0.1605,0.3775,0.217,"St. Marys",NA,84.5429249484587,"(80,90]","2016_December",0.61,"Dry",100,1.66666666666667,"(80,85]","2016_December_EPI_ADFA_(80,85]_2",100,"moderate","(80,85]","(80,90]","(80,100]",58.5,0.425165562913907,0.845429249484587,0.73963133640553,0.201953642384106,0.273046357615894,1.125,0.454802259887006,75.1492666208522,24.8507333791478,-0.043
"27","2016_December_EPI_ADFA_(80,90]_3","2016_December_EPI_ADFA_(85,90]_3","2016_December_ADFA_3",3,5,"2016_December_EPI_ADFA_(80,90]","2016_December_EPI_ADFA_(85,90]","ADFA","EPI",-0.7,"0",11,14,21,35,3,100,76,1,288.4,294.5,NA,100,0.483,1,"2016_December",2016,"December",0.18,0.423,0.243,"St. Marys",NA,85.8431377763966,"(80,90]","2016_December",0.61,"Dry",100,3.33333333333333,"(85,90]","2016_December_EPI_ADFA_(85,90]_3",100,"moderate","(85,90]","(80,90]","(80,100]",6.10000000000002,0.425531914893617,0.858431377763966,0.740740740740741,0.205531914893617,0.277468085106383,1.124,0.32,76.3728983775771,23.6271016224229,-0.043
"28","2016_December_EPI_ADFA_(60,70]_4","2016_December_EPI_ADFA_(65,70]_4","2016_December_ADFA_4",4,5,"2016_December_EPI_ADFA_(60,70]","2016_December_EPI_ADFA_(65,70]","ADFA","EPI",-1.2,"0",2,13,26,39,1,99,72,1,273.6,294,NA,100,0.507,1,"2016_December",2016,"December",0.434,0.725,0.291,"St. Marys",67.05069124,67.05069124,"(60,70]","2016_December",0.61,"Dry",100,10,"(65,70]","2016_December_EPI_ADFA_(65,70]_4",100,"moderate","(65,70]","(60,70]","(60,80]",20.4,0.598620689655172,0.6705069124,1.4914089347079,0.303500689655172,0.203499310344828,1.063829787,0.94,63.0276497794661,36.9723502205339,-0.043
"29","2016_December_EPI_ADFA_(70,80]_5","2016_December_EPI_ADFA_(75,80]_5","2016_December_ADFA_5",5,5,"2016_December_EPI_ADFA_(70,80]","2016_December_EPI_ADFA_(75,80]","ADFA","EPI",-1.4,"0",10,12,17,29,4,77,56,1,277.3,317.8,NA,100,0.497,1,"2016_December",2016,"December",0.6495,1.1575,0.508,"St. Marys",78.21401078,78.21401078,"(70,80]","2016_December",0.61,"Dry",100,2.5,"(75,80]","2016_December_EPI_ADFA_(75,80]_5",100,"moderate","(75,80]","(70,80]","(60,80]",40.5,0.561123110151188,0.7821401078,1.27854330708661,0.27887818574514,0.21812181425486,0.9144634526,1.09353741496599,85.529947159312,14.470052840688,-0.043
"30","2016_December_EPI_ADFA_(70,80]_6","2016_December_EPI_ADFA_(75,80]_6","2016_December_ADFA_6",6,5,"2016_December_EPI_ADFA_(70,80]","2016_December_EPI_ADFA_(75,80]","ADFA","EPI",-1.6,"0",7,17,22,39,10,73,41,1,280.8,331.9,NA,100,0.494,1,"2016_December",2016,"December",0.7195,1.2785,0.559,"St. Marys",77.69284225,77.69284225,"(70,80]","2016_December",0.61,"Dry",100,1,"(75,80]","2016_December_EPI_ADFA_(75,80]_6",100,"moderate","(75,80]","(70,80]","(60,80]",51.1,0.562768869769261,0.7769284225,1.2871198568873,0.278007821666015,0.215992178333985,0.9552238806,1.046875,81.3346942302146,18.6653057697854,-0.043
