individual,year_month,dry_wt,spp,model,lfm_NAs_imputed,RWC,max_mpa_sample,mpa,gww_gdw,gww_gdw_saturated,fresh_wt,site,sample
2021_August_ARPA_1.1,2021_August,14.0056,ARPA,HP,74.15410862,51.85817038736326,1,-3.89,0.7415410862,1.429940703,15.3096,1,1.1
2021_August_CADE_1.1,2021_August,14.8183,CADE,HP,59.60884665,51.68399915151283,1,-6.24,0.5960884664999999,1.153332707,16.4489,1,1.1
2021_August_CECO_1.1,2021_August,7.7697,CECO,HP,27.14592275,15.423710910758068,1,-10,0.2714592275,1.760012419,7.9215,1,1.1
2021_August_PIJE_1.1,2021_August,14.3302,PIJE,HP,117.8933031,67.50246077193867,1,-3.27,1.178933031,1.746503783,16.9268,1,1.1
2021_August_QUKE_1.1,2021_August,13.5442,QUKE,HP,98.86787146,68.2121316598487,1,-2.8,0.9886787146,1.449417707,14.9502,1,1.1
2021_August_CECO_1.2,2021_August,12.6505,CECO,HP,141.5480427,100,1,-0.16,1.4154804269999999,1.4154804269999999,13.446,1,1.2
2021_August_PIJE_1.2,2021_August,16.631,PIJE,HP,121.8541458,82.39564133786206,1,-0.29,1.218541458,1.4788906769999999,22.2185,1,1.2
2021_August_QUKE_1.2,2021_August,8.0775,QUKE,HP,128.3840948,100,1,-0.24,1.2838409480000001,1.2838409480000001,9.2915,1,1.2
2021_August_ABCO_1.2,2021_August,14.2404,ABCO,HP,112.0218066,68.45209367504869,1,-4.17,1.120218066,1.636499347,16.624,1,1.2
2021_August_ARPA_1.2,2021_August,13.4289,ARPA,HP,95.33083247,61.34061568365764,1,-3.33,0.9533083247,1.554122524,14.6233,1,1.2
2021_August_CADE_1.2,2021_August,14.7269,CADE,HP,95.14566914,84.78830143935241,1,-2.27,0.9514566914,1.122155622,17.1534,1,1.2
2021_August_CECO_1.2,2021_August,6.974,CECO,HP,100.3160956,70.87070487623211,1,-3.27,1.0031609559999999,1.4154804269999999,7.7674,1,1.2
2021_August_PIJE_1.2,2021_August,17.7958,PIJE,HP,104.8753414,70.9148708765577,1,-2.93,1.0487534139999999,1.4788906769999999,23.748,1,1.2
2021_August_QUKE_1.2,2021_August,14.0363,QUKE,HP,77.74511405,60.556655535183936,1,-4.49,0.7774511405,1.2838409480000001,15.4644,1,1.2
2021_August_ARPA_1.2,2021_August,13.076,ARPA,HP,51.66786411,33.24568257142124,1,-5.3,0.5166786411,1.554122524,13.5794,1,1.2
2021_August_CADE_1.2,2021_August,8.9145,CADE,HP,38.227696,34.06630528826955,1,-10,0.38227696,1.122155622,9.5508,1,1.2
