full_name,lfm,mpa
Calocedrus decurrens,80.17332862,-4.08
Calocedrus decurrens,123.5864563,-0.53
Calocedrus decurrens,158.4118439,-2.1
Calocedrus decurrens,130.9708478,-1.69
Calocedrus decurrens,121.664583,-2.31
Calocedrus decurrens,113.5514819,-2.26
Calocedrus decurrens,134.329731,-2.81
Calocedrus decurrens,109.8967514,-3.13
Calocedrus decurrens,78.69944853,-4.33
Calocedrus decurrens,133.1157731,-0.31
Calocedrus decurrens,114.6549276,-1.6
Calocedrus decurrens,110.1706037,-1.64
Calocedrus decurrens,109.5881456,-2.48
Calocedrus decurrens,114.669244,-1.78
Calocedrus decurrens,58.32572298,-1.75
Calocedrus decurrens,99.06379273,-2.95
Calocedrus decurrens,71.26293257,-4.79
Calocedrus decurrens,134.9680171,-0.5
Calocedrus decurrens,143.1248417,-1.19
Calocedrus decurrens,129.9940488,-1.5
Calocedrus decurrens,136.9347079,-1.68
Calocedrus decurrens,139.9946614,-1.86
Calocedrus decurrens,109.7335307,-2.04
Calocedrus decurrens,96.23590162,-2.59
Calocedrus decurrens,108.7252292,-2.58
Calocedrus decurrens,90.79559038,-3.33
Calocedrus decurrens,131.5764595,-0.47
Calocedrus decurrens,96.1532567,-2.1
Calocedrus decurrens,113.2219472,-2.43
Calocedrus decurrens,98.2706002,-2.51
Calocedrus decurrens,129.295087,-1.42
Calocedrus decurrens,94.94329755,-3.11
Calocedrus decurrens,99.63054187,-3.35
Calocedrus decurrens,80.1898473,-4.13
Calocedrus decurrens,150.1568803,-0.43
Calocedrus decurrens,130.6248827,-1.56
Calocedrus decurrens,130.6775669,-1.78
Calocedrus decurrens,118.1771808,-2.06
Calocedrus decurrens,120.6222409,-2.05
Calocedrus decurrens,101.5923567,-3.39
Calocedrus decurrens,113.9964264,-3.51
Calocedrus decurrens,95.55095706,-3.26
Ceanothus cordulatus,141.7239087,-0.362
Ceanothus cordulatus,124.5472219,-0.818
Ceanothus cordulatus,90.54102472,-3.595
Ceanothus cordulatus,125.8802238,-2.148
Ceanothus cordulatus,76.52901786,-4.881
Ceanothus cordulatus,111.7557716,-2.62
Ceanothus cordulatus,91.73422978,-4.09
Ceanothus cordulatus,100.7433921,-3.11
Ceanothus cordulatus,78.97416791,-5.178
Ceanothus cordulatus,103.9255598,-4.22
Ceanothus cordulatus,64.89886925,-6.6
Ceanothus cordulatus,16.26488527,-10
Ceanothus cordulatus,124.6207958,-0.277
Ceanothus cordulatus,110.325857,-1.01
Ceanothus cordulatus,77.67324046,-3.449
Ceanothus cordulatus,88.04333289,-2.132
Ceanothus cordulatus,75.82544893,-4.43
Ceanothus cordulatus,73.13189057,-5.52
Ceanothus cordulatus,71.66561911,-5.18
Ceanothus cordulatus,95.53719008,-2.89
Ceanothus cordulatus,75.92681753,-5.585
Ceanothus cordulatus,34.43126308,-10
Ceanothus cordulatus,108.69038,-0.341
Ceanothus cordulatus,111.2774855,-0.522
Ceanothus cordulatus,81.25556545,-3.611
Ceanothus cordulatus,85.72653761,-1.45
Ceanothus cordulatus,58.23728814,-7.2
Ceanothus cordulatus,108.110287,-2.14
Ceanothus cordulatus,58.76989646,-8.79
Ceanothus cordulatus,59.32062966,-6.753
Ceanothus cordulatus,66.59267481,-7.892
Ceanothus cordulatus,18.84487666,-10
Ceanothus cordulatus,130.3245676,-0.52
Ceanothus cordulatus,111.3232608,-0.904
Ceanothus cordulatus,86.78791121,-3.447
Ceanothus cordulatus,164.8372093,-2.12
Ceanothus cordulatus,78.31392902,-4.59
Ceanothus cordulatus,99.21307506,-2.85
Ceanothus cordulatus,52.74074074,-5.26
Ceanothus cordulatus,100.766931,-2.83
Ceanothus cordulatus,66.83859223,-7.65
Ceanothus cordulatus,77.34610123,-5.901
Ceanothus cordulatus,28.43766439,-10
Ceanothus cordulatus,55.10204082,-7.1
Ceanothus cordulatus,116.3000361,-0.785
Ceanothus cordulatus,113.9186296,-1.579
Ceanothus cordulatus,85.6685633,-3.59
Ceanothus cordulatus,84.50829009,-2.382
Ceanothus cordulatus,98.47625797,-2.84
Ceanothus cordulatus,24.66785372,-7
Ceanothus cordulatus,66.73330002,-6.34
Ceanothus cordulatus,106.9767442,-4.27
Ceanothus cordulatus,61.75991309,-5.773
Ceanothus cordulatus,51.35681293,-10
Ceanothus cordulatus,137.9838577,-0.296
Ceanothus cordulatus,157.0879459,-0.48
Ceanothus cordulatus,93.15051798,-3.409
Ceanothus cordulatus,141.2172573,-1.6
Ceanothus cordulatus,133.110225,-1.86
Ceanothus cordulatus,113.6588659,-2.15
Ceanothus cordulatus,78.36448136,-4.56
Ceanothus cordulatus,56.71369482,-7.589
Ceanothus cordulatus,73.41677564,-3.192
Ceanothus cordulatus,66.62670822,-7.133
Ceanothus cordulatus,25.21434139,-10
Ceanothus cordulatus,168.2665161,-0.262
Ceanothus cordulatus,144.7449072,-1.09
Ceanothus cordulatus,93.70585465,-3.399
Ceanothus cordulatus,78.18088912,-3.89
Ceanothus cordulatus,132.0353494,-0.89
Ceanothus cordulatus,61.75582015,-9.404
Ceanothus cordulatus,73.57939914,-6.18
Ceanothus cordulatus,98.99691358,-7.125
Ceanothus cordulatus,66.79925129,-7.624
Ceanothus cordulatus,99.43526459,-3.11
Ceanothus cordulatus,70.89533417,-6.8
Ceanothus cordulatus,19.08831909,-10
Ceanothus cordulatus,131.9101403,-2.29
Ceanothus cordulatus,161.9336025,-0.398
Ceanothus cordulatus,129.4135898,-1.92
Ceanothus cordulatus,89.453125,-3.287
Ceanothus cordulatus,112.3604201,-2.06
Ceanothus cordulatus,118.2748815,-2.46
Ceanothus cordulatus,112.4637681,-4.473
Ceanothus cordulatus,70.74547075,-5.04
Ceanothus cordulatus,109.114744,-2.89
Ceanothus cordulatus,73.96515679,-4.446
Ceanothus cordulatus,81.08498052,-4.2
Ceanothus cordulatus,63.89259506,-10
Ceanothus cordulatus,70.75812274,-10
Ceanothus cordulatus,131.3861386,-0.61
Ceanothus cordulatus,101.4929577,-1.18
Ceanothus cordulatus,91.03291714,-3.4
Ceanothus cordulatus,215.1101579,-2.43
Ceanothus cordulatus,111.2071258,-2.52
Ceanothus cordulatus,75.441087,-3.381
Ceanothus cordulatus,68.90722747,-6.29
Ceanothus cordulatus,91.94244604,-3.48
Ceanothus cordulatus,121.7470428,-0.815
Ceanothus cordulatus,124.2121685,-1.39
Ceanothus cordulatus,84.76112984,-3.324
Ceanothus cordulatus,29.77279155,-1.76
Ceanothus cordulatus,105.362687,-2.49
Ceanothus cordulatus,75.64591275,-4.421
Ceanothus cordulatus,72.94954434,-5.67
Ceanothus cordulatus,97.81226627,-3.71
Ceanothus cordulatus,55.32338308,-10
Ceanothus cordulatus,141.7786808,-0.33
Ceanothus cordulatus,131.828489,-2.201
Ceanothus cordulatus,95.08781559,-3.954
Ceanothus cordulatus,196.8299712,-2.86
Ceanothus cordulatus,144.4761905,-0.619
Ceanothus cordulatus,59.32230353,-8.135
Ceanothus cordulatus,114.5728643,-2.9
Ceanothus cordulatus,18.31038798,-10
Ceanothus cordulatus,56.37181409,-7.4
Pinus jeffreyii,145.2881464,-0.4
Pinus jeffreyii,175.0470744,-0.263
Pinus jeffreyii,186.3633588,-1.314
Pinus jeffreyii,139.2449906,-1.94
Pinus jeffreyii,153.0059099,-3.098
Pinus jeffreyii,155.4671968,-2.848
Pinus jeffreyii,145.6024931,-3.013
Pinus jeffreyii,158.044272,-3.974
Pinus jeffreyii,135.8449946,-3.962
Pinus jeffreyii,125.1055239,-4.771
Pinus jeffreyii,130.0345773,-3.987
Pinus jeffreyii,153.5171395,-0.35
Pinus jeffreyii,128.9747313,-1.28
Pinus jeffreyii,168.1011703,-0.566
Pinus jeffreyii,121.1967779,-2.621
Pinus jeffreyii,138.1103026,-2.026
Pinus jeffreyii,110.1122826,-2.993
Pinus jeffreyii,109.9528063,-3.122
Pinus jeffreyii,136.8105406,-2.712
Pinus jeffreyii,98.93595528,-3.412
Pinus jeffreyii,88.11457175,-3.862
Pinus jeffreyii,105.7796014,-3.336
Pinus jeffreyii,95.83726719,-3.232
Pinus jeffreyii,163.7583149,-0.2
Pinus jeffreyii,61.96275828,-1.554
Pinus jeffreyii,138.3566458,-1.67
Pinus jeffreyii,147.8950801,-1.47
Pinus jeffreyii,146.1538462,-1.906
Pinus jeffreyii,133.9230031,-2.66
Pinus jeffreyii,135.0599724,-3.364
Pinus jeffreyii,105.0792361,-5.957
Pinus jeffreyii,89.01644431,-3.395
Pinus jeffreyii,112.5350557,-3.722
Pinus jeffreyii,104.6387568,-2.97
Pinus jeffreyii,124.6226415,-3.359
Pinus jeffreyii,149.888167,-0.25
Pinus jeffreyii,86.92755498,-1.26
Pinus jeffreyii,143.8014566,-2.29
Pinus jeffreyii,138.7940429,-2.5
Pinus jeffreyii,123.9760453,-0.644
Pinus jeffreyii,128.8642659,-2.644
Pinus jeffreyii,128.8642659,-2.644
Pinus jeffreyii,127.2828302,-3.481
Pinus jeffreyii,105.1181102,-4.127
Pinus jeffreyii,97.58375791,-3.724
Pinus jeffreyii,121.4471123,-3.21
Pinus jeffreyii,167.9674512,-0.3
Pinus jeffreyii,157.7897938,-1.05
Pinus jeffreyii,143.3599742,-1.767
Pinus jeffreyii,141.7563572,-1.733
Pinus jeffreyii,131.6239316,-2.475
Pinus jeffreyii,129.8933978,-2.643
Pinus jeffreyii,132.5515055,-3.671
Pinus jeffreyii,117.4624829,-3.399
Pinus jeffreyii,117.8727905,-3.694
Pinus jeffreyii,119.8647178,-4.089
Pinus jeffreyii,161.781143,-0.275
Pinus jeffreyii,152.4138566,-0.361
Pinus jeffreyii,177.1324503,-0.521
Pinus jeffreyii,166.9886004,-1.66
Pinus jeffreyii,130.0933376,-2.74
Pinus jeffreyii,132.055608,-2.915
Pinus jeffreyii,135.9845061,-2.789
Pinus jeffreyii,16.22513033,-4.139
Pinus jeffreyii,107.6131076,-3.854
Pinus jeffreyii,88.56770833,-3.339
Pinus jeffreyii,191.19037,-0.493
Pinus jeffreyii,194.9716503,-0.361
Pinus jeffreyii,189.9713649,-0.786
Pinus jeffreyii,161.5700059,-2.228
Pinus jeffreyii,158.6658087,-2.919
Pinus jeffreyii,158.505265,-2.792
Pinus jeffreyii,145.5705706,-3.991
Pinus jeffreyii,148.0722892,-3.126
Pinus jeffreyii,140.578144,-4.13
Pinus jeffreyii,114.8929756,-3.897
Pinus jeffreyii,167.0481292,-1.18
Pinus jeffreyii,172.0973044,-0.982
Pinus jeffreyii,168.4225816,-1.134
Pinus jeffreyii,180.8264463,-1.42
Pinus jeffreyii,151.6143498,-2.294
Pinus jeffreyii,122.3537561,-3.118
Pinus jeffreyii,131.1035803,-3.196
Pinus jeffreyii,143.8788129,-4.04
Pinus jeffreyii,144.0295381,-3.999
Pinus jeffreyii,116.4030728,-4.986
Pinus jeffreyii,120.0669794,-4.132
Pinus jeffreyii,148.5413005,-2.793
Pinus jeffreyii,160.0404253,-0.331
Pinus jeffreyii,178.985893,-1.221
Pinus jeffreyii,156.9381169,-2.89
Pinus jeffreyii,133.716387,-2.032
Pinus jeffreyii,141.4334292,-3.521
Pinus jeffreyii,137.1053217,-2.687
Pinus jeffreyii,113.620477,-3.747
Pinus jeffreyii,130.0710812,-5.499
Pinus jeffreyii,155.1368219,-2.839
Quercus kelloggii,142.7441286,-0.129
Quercus kelloggii,132.2312287,-0.837
Quercus kelloggii,100.359928,-4.02
Quercus kelloggii,131.3487943,-1.088
Quercus kelloggii,118.9486937,-1.986
Quercus kelloggii,96.05427602,-3.968
Quercus kelloggii,105.567664,-3.36
Quercus kelloggii,106.0235294,-2.638
Quercus kelloggii,83.6843007,-4.464
Quercus kelloggii,19.70850558,-10
Quercus kelloggii,22.30836427,-8.9
Quercus kelloggii,85.82402235,-5.282
