spp,n,sd,bottle_number,unique_id,age,pod,site,lfm,date,predawn1,predawn2,predawn3,midday1,midday2,midday3,predawn,midday,type,doy,location,month,timing,wettest_lfm,rwc,rwd,water_potential,swc,tlp
ABCO,750,0.5090607566637178,59,ABCO_new_1_1.6,new,1.6,1,127.7849324,2021-04-24,-0.72,-0.71,NA,-0.89,-0.89,NA,-0.715,-0.89,tree,114,CZO,4,spring,249.5819519,51.19958852281097,48.80041147718903,-0.89,2.495819519,-2.2704244956133333
ABCO,750,0.5090607566637178,90,ABCO_old_1_1.6,old,1.6,1,126.7246254,2021-04-24,-0.72,-0.71,NA,-0.89,-0.89,NA,-0.715,-0.89,tree,114,CZO,4,spring,204.9281856,61.83855335905536,38.16144664094464,-0.89,2.049281856,-2.2704244956133333
ABCO,750,0.5090607566637178,22,ABCO_old_2_2.2,old,2.2,2,125.9093413,2021-04-24,-0.68,-0.72,NA,-0.78,-0.85,NA,-0.7,-0.815,tree,114,CZO,4,spring,212.1340251,59.35367569660092,40.64632430339908,-0.815,2.121340251,-2.2704244956133333
ABCO,750,0.5090607566637178,56,ABCO_new_1_1.3,new,1.3,1,152.3414655,2021-08-19,-1.24,-1.23,NA,-2.07,-1.94,NA,-1.235,-2.005,tree,231,CZO,8,fall,316.0726266,48.198247073383236,51.801752926616764,-2.005,3.1607262659999997,-2.2704244956133333
ABCO,750,0.5090607566637178,8,ABCO_old_1_1.3,old,1.3,1,122.3345627,2021-08-19,-1.24,-1.23,NA,-2.07,-1.94,NA,-1.235,-2.005,tree,231,CZO,8,fall,202.7640786,60.33344936867925,39.66655063132075,-2.005,2.027640786,-2.2704244956133333
ABCO,750,0.5090607566637178,23,ABCO_old_2_2.2,old,2.2,2,120.7900834,2021-06-15,-0.68,-0.68,NA,-1.7,-1.68,NA,-0.68,-1.69,tree,166,CZO,6,spring,212.1340251,56.94045702619348,43.05954297380652,-1.69,2.121340251,-2.2704244956133333
ABCO,750,0.5090607566637178,39,ABCO_old_1_1.3,old,1.3,1,129.3575352,2021-06-16,-0.83,-0.89,NA,-1.84,-1.7,-2.07,-0.86,-1.87,tree,167,CZO,6,spring,202.7640786,63.797067060970036,36.202932939029964,-1.87,2.027640786,-2.2704244956133333
ABCO,750,0.5090607566637178,NA,ABCO_old_1_1.6,old,1.6,1,204.9281856,2021-10-16,-1.15,-1.24,NA,-1.87,-1.78,NA,-1.195,-1.825,tree,289,CZO,10,fall,204.9281856,100,0,-1.825,2.049281856,-2.2704244956133333
ABCO,750,0.5090607566637178,36,ABCO_new_2_2.1,new,2.1,2,136.6259488,2021-04-24,-0.84,-1.02,NA,-1.55,-1.54,NA,-0.93,-1.545,tree,114,CZO,4,spring,488.3069661,27.97952072877463,72.02047927122537,-1.545,4.883069661,-2.2704244956133333
ABCO,750,0.5090607566637178,42,ABCO_old_2_2.1,old,2.1,2,123.9121829,2021-04-24,-0.84,-1.02,NA,-1.55,-1.54,NA,-0.93,-1.545,tree,114,CZO,4,spring,215.8320152,57.411400614119835,42.588599385880165,-1.545,2.158320152,-2.2704244956133333
ABCO,750,0.5090607566637178,34,ABCO_old_2_2.3,old,2.3,2,104.2173392,2021-05-14,-0.85,-0.83,NA,-1.91,-2.76,NA,-0.84,-2.335,tree,134,CZO,5,spring,212.2914377,49.09163569153218,50.90836430846782,-2.335,2.122914377,-2.2704244956133333
ABCO,750,0.5090607566637178,NA,ABCO_new_1_1.3,new,1.3,1,226.6278696,2021-10-16,-1.37,-1.36,NA,-1.83,-1.97,NA,-1.365,-1.9,tree,289,CZO,10,fall,316.0726266,71.70120109350843,28.29879890649157,-1.9,3.1607262659999997,-2.2704244956133333
ABCO,750,0.5090607566637178,NA,ABCO_old_1_1.3,old,1.3,1,202.7640786,2021-10-16,-1.37,-1.36,NA,-1.83,-1.97,NA,-1.365,-1.9,tree,289,CZO,10,fall,202.7640786,100,0,-1.9,2.027640786,-2.2704244956133333
ABCO,750,0.5090607566637178,7,ABCO_new_1_1.3,new,1.3,1,183.8530411,2021-07-30,-0.96,-0.9,NA,-2.25,-1.92,-1.97,-0.93,-2.046666667,tree,211,CZO,7,spring,316.0726266,58.16797331604167,41.83202668395833,-2.046666667,3.1607262659999997,-2.2704244956133333
ABCO,750,0.5090607566637178,44,ABCO_new_2_2.2,new,2.2,2,133.7575195,2021-04-24,-0.68,-0.72,NA,-0.78,-0.85,NA,-0.7,-0.815,tree,114,CZO,4,spring,316.0183414,42.32587226027382,57.67412773972618,-0.815,3.160183414,-2.2704244956133333
