individual,year.month,dry.wt,spp,model,lfm.NAs.imputed,RWC,max.mpa.sample,mpa,gww.gdw,gww.gdw.saturated,fresh.wt,site,sample
2020_October_ARPA_1.4,2020_October,7.5529,ARPA,EPI,124.516129,98.00062945875406,-0.134,-0.743,1.24516129,1.270564584,7.9389,1,1.4
2020_October_ARPA_1.4,2020_October,7.4659,ARPA,EPI,125.7525084,98.97372395199709,-0.134,-0.134,1.257525084,1.270564584,7.7667,1,1.4
2020_October_ARPA_1.4,2020_October,12.4718,ARPA,EPI,98.41703057,77.45928999544662,-0.134,-4.063,0.9841703057,1.270564584,12.8324,1,1.4
2020_October_ARPA_1.4,2020_October,7.7463,ARPA,EPI,127.0564584,100,-0.134,-2.047,1.270564584,1.270564584,8.5047,1,1.4
2020_October_ARPA_1.5,2020_October,7.5942,ARPA,EPI,143.8068756,100,-0.084,-1.382,1.438068756,1.438068756,8.1631,1,1.5
2020_October_ARPA_1.5,2020_October,7.6145,ARPA,EPI,101.98712570000001,70.91950595163338,-0.084,-3.128,1.0198712570000001,1.438068756,7.9789,1,1.5
2020_October_ARPA_1.5,2020_October,12.7318,ARPA,HP,99.48361024,69.17861877252273,-0.084,-2.108,0.9948361024000001,1.438068756,13.1749,1,1.5
2020_October_ARPA_1.5,2020_October,12.7318,ARPA,EPI,99.48361024,69.17861877252273,-0.084,-2.108,0.9948361024000001,1.438068756,13.1749,1,1.5
2020_October_ARPA_1.5,2020_October,7.5942,ARPA,HP,143.8068756,100,-0.084,-1.382,1.438068756,1.438068756,8.1631,1,1.5
2020_October_ARPA_1.5,2020_October,7.5855,ARPA,HP,119.9227373,83.39151852069025,-0.084,-0.998,1.199227373,1.438068756,8.0201,1,1.5
2020_October_ARPA_1.5,2020_October,7.4987,ARPA,HP,125.0844912,86.98088368731655,-0.084,-0.084,1.250844912,1.438068756,7.8318,1,1.5
2020_October_ARPA_1.5,2020_October,7.6145,ARPA,HP,101.98712570000001,70.91950595163338,-0.084,-3.128,1.0198712570000001,1.438068756,7.9789,1,1.5
2020_October_ARPA_1.5,2020_October,10.11585,ARPA,HP,78.99033605692841,54.92806635799575,-0.084,-5.2,0.7899033605692841,1.438068756,8.5565,1,1.5
2020_October_ARPA_1.5,2020_October,10.16615,ARPA,EPI,78.99033605692841,54.92806635799575,-0.084,-5.2,0.7899033605692841,1.438068756,8.5565,1,1.5
2020_October_ARPA_1.5,2020_October,7.6046,ARPA,EPI,84.41305407,58.69889997804806,-0.084,-4.251,0.8441305407,1.438068756,7.9512,1,1.5
