spp,n.x,mean_lfm_fall_spp.x,sd_lfm_fall_spp.x,mean_tlp_spp,sd_spp,n.y,mean_lfm_fall_spp.y,sd_lfm_fall_spp.y,bottle_number,unique_id,age,pod,site,lfm,date,predawn1,predawn2,midday1,midday2,predawn,midday,type,doy,location,month,timing,wettest_lfm,rwc,rwd,water_potential,swc,predawn3,midday3
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,14,ABCO_old_1_1.5,old,1.5,1,126.9409766,2021-04-24,-0.86,-0.39,-1.14,-1.09,-0.625,-1.115,tree,114,CZO,4,spring,205.0550563,61.90580173467296,38.09419826532704,-1.115,2.050550563,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,14,ABCO_old_1_1.5,old,1.5,1,141.281734,2021-07-08,-1.04,-0.97,-2.03,-1.96,-1.005,-1.995,tree,189,CZO,7,spring,205.0550563,68.89941489338443,31.10058510661557,-1.995,2.050550563,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,14,ABCO_Old_1_1.5,Old,1.5,1,126.9409766,2021-04-24,-0.86,-0.39,-1.14,-1.09,-0.625,-0.8575,tree,114,CZO,4,spring,126.9409766,100,0,-0.8575,1.2694097659999999,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,14,ABCO_Old_1_5,Old,5,1,133.6409902,2020-10-19,-2.343,-2.093,-2.188,-2.216,-2.218,-2.202,tree,292,SEKI,10,fall,176.6692227,75.64474907264082,24.35525092735918,-2.202,1.766692227,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,15,ABCO_new_1_1.5,new,1.5,1,42.18603814,2021-05-15,-0.88,-0.93,-1.84,-1.81,-0.905,-1.825,tree,135,CZO,5,spring,133.5897057,31.578809099809252,68.42119090019075,-1.825,1.335897057,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,15,ABCO_new_1_1.5,new,1.5,1,116.507718,2021-07-30,-1.43,-1.3,-2.24,-2.31,-1.353333333,-2.275,tree,211,CZO,7,spring,133.5897057,87.21309579170665,12.78690420829335,-2.275,1.335897057,-1.33,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,15,ABCO_new_1_1.5,new,1.5,1,133.5897057,2021-08-19,-1.61,-1.68,-2.21,-2.21,-1.645,-2.21,tree,231,CZO,8,fall,133.5897057,100,0,-2.21,1.335897057,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,15,ABCO_New_1_5,New,5,1,160.7845977,2020-10-19,-2.343,-2.093,-2.188,-2.216,-2.218,-2.202,tree,292,SEKI,10,fall,258.9797571,62.08384759505206,37.91615240494794,-2.202,2.5897975709999996,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,16,ABCO_New_2_3,New,3,2,195.9206412,2020-08-04,-0.58,-0.65,-1.72,-1.89,-0.615,-1.805,tree,216,CZO,8,fall,316.0678298,61.986897345412785,38.013102654587215,-1.805,3.160678298,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,16,ABCO_New_2_3,New,3,2,199.1485746,2020-08-26,-0.649,-0.657,-1.899,-1.855,-0.653,-1.877,tree,238,CZO,8,fall,316.0678298,63.00817603804105,36.99182396195895,-1.877,3.160678298,NA,NA
