"","individual","year.month","dry.wt","spp","model","lfm.NAs.imputed","RWC","max.mpa.sample","mpa","gww.gdw","gww.gdw.saturated","fresh.wt","site","sample"
"40","2016_December_ADFA_4","2016_December",0.748,"ADFA","EPI",70.32085561,66.1016042879424,-0.4,-2.5,0.7032085561,1.063829787,1.274,"St. Marys",4
"41","2016_December_ADFA_5","2016_December",0.51,"ADFA","EPI",75.29411765,82.3369347740732,-0.4,-2.6,0.7529411765,0.9144634526,0.894,"St. Marys",5
"42","2016_December_ADFA_6","2016_December",0.54,"ADFA","EPI",76.2962963,79.8726851888129,-0.2,-4.9,0.762962963,0.9552238806,0.952,"St. Marys",6
"43","2016_December_ADFA_1","2016_December",0.3915,"ADFA","EPI",62.83524904,51.2886007143286,-0.3,-2.7,0.6283524904,1.22513089,0.6375,"St. Marys",1
"44","2016_December_ADFA_2","2016_December",0.128,"ADFA","EPI",77.0568935615224,52.9591013941547,-0.6,-2.8,0.770568935615224,1.455026455,0.346,"St. Marys",2
"45","2016_December_ADFA_3","2016_December",0.53,"ADFA","EPI",67.54716981,49.8503098228782,-0.4,-2.7,0.6754716981,1.355,0.888,"St. Marys",3
"46","2016_December_ADFA_4","2016_December",0.5765,"ADFA","EPI",93.49522984,87.8855160689348,-0.4,-4.1,0.9349522984,1.063829787,1.1155,"St. Marys",4
"47","2016_December_ADFA_5","2016_December",0.5045,"ADFA","EPI",59.26660059,64.8102452006074,-0.4,-3.6,0.5926660059,0.9144634526,0.8035,"St. Marys",5
"48","2016_December_ADFA_6","2016_December",0.9525,"ADFA","EPI",61.41732283,64.2962598374553,-0.2,-5.9,0.6141732283,0.9552238806,1.5375,"St. Marys",6
"49","2016_December_ADFA_1","2016_December",0.409,"ADFA","EPI",65.03667482,53.0854909878242,-0.3,-3.1,0.6503667482,1.22513089,0.675,"St. Marys",1
"50","2016_December_ADFA_2","2016_December",0.1675,"ADFA","EPI",64.47761194,44.3137042068421,-0.6,-2.8,0.6447761194,1.455026455,0.2755,"St. Marys",2
"51","2016_December_ADFA_3","2016_December",0.998,"ADFA","EPI",62.6252505,46.2178970479705,-0.4,-3,0.626252505,1.355,1.623,"St. Marys",3
