sample,round,spp,model,mpa,lfm,lfm.notes,fh,ttfg,gti,tti,fd,gd,pfg,ignition,start.temp,temp.max,ignition.temp,prop.new,sample.wt,glow,year,month ,dry.wt,fresh.wt,water.wt,site
5,10,ADFA,EPI,-4.7,78.26086957,0,6,25,21,46,2,126,103,1,284.7,328,0,100,0.472,1,2016,December,0.1955,0.3485,0.153,St. Marys
6,10,ADFA,EPI,-5.3,55.40704739,0,6,17,30,47,5,92,57,1,272.6,304.6,0,100,0.494,1,2016,December,0.4115,0.6395,0.228,St. Marys
1,11,ADFA,EPI,-4,79.52755906,0,9,3,24,27,4,86,58,1,276.8,295.1,0,100,0.516,1,2016,December,0.635,1.14,0.505,St. Marys
2,11,ADFA,EPI,-4.1,106.0773481,0,11,3,16,19,8,85,61,1,267.5,328.5,0,100,0.457,1,2016,December,0.2715,0.5595,0.288,St. Marys
3,11,ADFA,EPI,-3.9,87.93686584,0,7,14,25,39,7,135,103,1,284.5,295.4,0,100,0.512,1,2016,December,0.4435,0.8335,0.39,St. Marys
4,11,ADFA,EPI,-5.6,47.07996406,0,9,22,4,26,14,103,85,1,270.2,305.3,0,100,0.511,1,2016,December,0.5565,0.8185,0.262,St. Marys
5,11,ADFA,EPI,-5.1,76.75675676,0,1,14,24,38,1,89,64,1,279.2,305.4,0,100,0.474,1,2016,December,0.2775,0.4905,0.213,St. Marys
6,11,ADFA,EPI,-5.8,56.04900459,0,9,16,26,42,6,96,64,1,279.3,290.4,0,100,0.529,1,2016,December,0.3265,0.5095,0.183,St. Marys
1,12,ADFA,EPI,-4.2,112.6252505,0,15,7,13,20,7,88,68,1,275,380,0,100,0.524,1,2016,December,0.2495,0.5305,0.281,St. Marys
2,12,ADFA,EPI,-4.2,99.69135802,0,4,17,28,45,1,94,65,1,272.2,285.3,0,100,0.51,1,2016,December,0.324,0.647,0.323,St. Marys
3,12,ADFA,EPI,-4,102.5641026,0,16,12,12,24,4,72,56,1,272.1,298.8,0,100,0.497,1,2016,December,0.2925,0.5925,0.3,St. Marys
4,12,ADFA,EPI,-7,65.8045977,0,12,9,14,23,9,99,76,1,278.4,379,0,100,0.526,1,2016,December,0.348,0.577,0.229,St. Marys
5,12,ADFA,EPI,-6.4,63.83601757,0,8,14,19,33,6,105,80,1,278.8,307.3,0,100,0.474,1,2016,December,0.3415,0.5595,0.218,St. Marys
6,12,ADFA,EPI,-7.9,54.26439232,0,14,10,21,31,6,112,85,1,279.9,323.7,0,100,0.505,1,2016,December,0.938,1.447,0.509,St. Marys
1,13,ADFA,EPI,-4.7,114.4508671,0,15,16,8,24,11,84,65,1,275.2,294.3,0,100,0.509,1,2016,December,0.173,0.371,0.198,St. Marys
2,13,ADFA,EPI,-4.5,125.6410256,0,8,12,14,26,7,90,69,1,275.9,318,0,100,0.483,1,2016,December,0.156,0.352,0.196,St. Marys
3,13,ADFA,EPI,-6.2,85.00590319,0,12,6,7,13,10,79,62,1,276.8,361.4,0,100,0.496,1,2016,December,0.4235,0.7835,0.36,St. Marys
4,13,ADFA,EPI,-6.5,60.02971768,0,12,10,13,23,10,73,50,1,280.1,318.4,0,100,0.472,1,2016,December,0.3365,0.5385,0.202,St. Marys
5,13,ADFA,EPI,-5.9,66.66666667,0,12,14,13,27,9,120,98,1,275.4,347.5,0,100,0.482,1,2016,December,0.363,0.605,0.242,St. Marys
6,13,ADFA,EPI,-7,54.44579781,0,11,4,19,23,10,121,92,1,272.6,333.1,0,100,0.493,1,2016,December,0.821,1.268,0.447,St. Marys
1,14,ADFA,EPI,-5,159.5238095,0,16,6,10,16,9,92,73,1,278.6,351.2,0,100,0.514,1,2016,December,0.084,0.218,0.134,St. Marys
2,14,ADFA,EPI,-6.7,-733.3333333,"Weights are off, unclear why - entering or weighing error?",19,9,9,18,5,79,65,1,268,300.7,0,100,0.466,1,2016,December,0,0,0,St. Marys
3,14,ADFA,EPI,-6.6,153.7735849,0,12,5,7,12,9,83,67,1,273.7,293.4,0,100,0.486,1,2016,December,0.106,0.269,0.163,St. Marys
4,14,ADFA,EPI,-8.7,53.53159851,0,9,12,19,31,4,83,60,1,281.6,304.4,0,100,0.523,1,2016,December,0.538,0.826,0.288,St. Marys
5,14,ADFA,EPI,-7.3,52.5477707,0,13,19,8,27,9,94,77,1,278.1,315.2,0,100,0.516,1,2016,December,0.628,0.958,0.33,St. Marys
6,14,ADFA,EPI,-9.8,48.51485149,0,15,9,5,14,13,86,68,1,276.9,369.3,0,100,0.517,1,2016,December,0.707,1.05,0.343,St. Marys
1,15,ADFA,EPI,-6.3,63.003663,0,15,5,5,10,10,64,49,1,283.6,324.1,0,100,0.492,1,2016,December,0.273,0.445,0.172,St. Marys
2,15,ADFA,EPI,-5.6,85.82375479,0,8,12,19,31,8,107,80,1,278.2,291.9,0,100,0.526,1,2016,December,0.261,0.485,0.224,St. Marys
