"","individual","year.month","dry.wt","spp","model","lfm.NAs.imputed","RWC","max.mpa.sample","mpa","gww.gdw","gww.gdw.saturated","fresh.wt","site","sample"
"89","2020_October_CADE_1.2","2020_October",7.6179,"CADE","HP",51.8957346,32.1386446371505,-0.318,-5,0.518957346,1.614745587,7.8369,1,1.2
"90","2020_October_ABCO_1.2","2020_October",7.4956,"ABCO","HP",146.0624071,72.9553663736992,-0.261,-1.784,1.460624071,2.002079002,7.7905,1,1.2
"91","2020_October_CECO_1.2","2020_October",7.3915,"CECO","EPI",124.6845858,100,-0.152,-0.152,1.246845858,1.246845858,7.6188,1,1.2
"92","2020_October_CADE_1.2","2020_October",12.8127,"CADE","HP",121.9884933,75.5465717213321,-0.318,-1.212,1.219884933,1.614745587,13.4912,1,1.2
"93","2020_October_PIJE_1.2","2020_October",12.5173,"PIJE","HP",174.4179014,100,-0.512,-1.117,1.744179014,1.744179014,13.0941,1,1.2
"94","2020_October_ABCO_1.2","2020_October",7.5323,"ABCO","HP",165.0322119,82.4304194465549,-0.261,-1.223,1.650322119,2.002079002,7.9934,1,1.2
"95","2020_October_ABCO_1.2","2020_October",7.3531,"ABCO","HP",200.2079002,100,-0.261,-0.261,2.002079002,2.002079002,7.642,1,1.2
"96","2020_October_ABCO_1.2","2020_October",12.5154,"ABCO","HP",122.3776224,61.1252714192344,-0.261,-2.991,1.223776224,2.002079002,12.9354,1,1.2
"97","2020_October_PIJE_1.2","2020_October",12.4377,"PIJE","HP",169.1558442,96.9830750411723,-0.512,-0.512,1.691558442,1.744179014,13.0108,1,1.2
"98","2020_October_ABCO_1.2","2020_October",7.4046,"ABCO","HP",105.8375635,52.8638297461151,-0.261,-3.822,1.058375635,2.002079002,7.5714,1,1.2
"99","2020_October_CECO_1.2","2020_October",7.4383,"CECO","HP",64.94023904,52.0836145248677,-0.152,-5.301,0.6494023904,1.246845858,7.5687,1,1.2
"100","2020_October_CECO_1.2","2020_October",7.4916,"CECO","HP",90.95744681,72.950033259043,-0.152,-1.452,0.9095744681,1.246845858,7.7139,1,1.2
"101","2020_October_ABCO_1.2","2020_October",7.618,"ABCO","HP",113.25012,56.5662593168738,-0.261,-3.467,1.1325012,2.002079002,8.0898,1,1.2
"102","2020_October_QUKE_1.2","2020_October",7.296,"QUKE","EPI",93.53233831,57.9887485693457,-0.106,-1.457,0.9353233831,1.612939417,7.4088,1,1.2
"103","2020_October_ARPA_1.2","2020_October",7.7409,"ARPA","EPI",110.7378401,66.0594387567352,-0.109,-1.859,1.107378401,1.676336375,8.2782,1,1.2
"104","2020_October_CADE_1.2","2020_October",12.6789,"CADE","HP",133.4392375,82.6379329191503,-0.318,-0.994,1.334392375,1.614745587,13.3509,1,1.2
"105","2020_October_CADE_1.2","2020_October",12.5198,"CADE","HP",88.58926342,54.8626756643367,-0.318,-3.296,0.8858926342,1.614745587,12.8746,1,1.2
"106","2020_October_CADE_1.2","2020_October",12.7698,"CADE","HP",116.722478,72.2853673914391,-0.318,-1.909,1.16722478,1.614745587,13.3275,1,1.2
"107","2020_October_ARPA_1.2","2020_October",7.7409,"ARPA","HP",110.7378401,66.0594387567352,-0.109,-1.859,1.107378401,1.676336375,8.2782,1,1.2
"108","2020_October_CECO_1.2","2020_October",12.4801,"CECO","HP",74.91313412,60.0821133096309,-0.152,-4.157,0.7491313412,1.246845858,12.6957,1,1.2
"109","2020_October_CECO_1.2","2020_October",12.3428,"CECO","EPI",86.7174160954459,69.549427893633,-0.152,-3.229,0.867174160954459,1.246845858,12.8743,1,1.2
"110","2020_October_ABCO_1.2","2020_October",7.4313,"ABCO","HP",157.234315,78.5355197486857,-0.261,-2.674,1.57234315,2.002079002,7.7997,1,1.2
"111","2020_October_QUKE_1.2","2020_October",12.2956,"QUKE","EPI",138.9121339,86.1235905303689,-0.106,-1.003,1.389121339,1.612939417,12.6276,1,1.2
"112","2020_October_PIJE_1.2","2020_October",12.4574,"PIJE","HP",105.6876457,60.5944945167194,-0.512,-3.201,1.056876457,1.744179014,12.6841,1,1.2
"113","2020_October_ARPA_1.2","2020_October",7.7855,"ARPA","HP",72.67358626,43.3526273985434,-0.109,-5.802,0.7267358626,1.676336375,8.1916,1,1.2
"114","2020_October_CADE_1.2","2020_October",12.6789,"CADE","HP",133.4392375,82.6379329191503,-0.318,-0.994,1.334392375,1.614745587,13.3509,1,1.2
"115","2020_October_ABCO_1.2","2020_October",7.4728,"ABCO","HP",140.3123838,70.0833401977811,-0.261,-2.738,1.403123838,2.002079002,7.8501,1,1.2
"116","2020_October_ARPA_1.2","2020_October",7.5286,"ARPA","EPI",87.20588235,52.0217085607296,-0.109,-4.139,0.8720588235,1.676336375,7.8844,1,1.2
"117","2020_October_PIJE_1.2","2020_October",7.4424,"PIJE","HP",138.1393476,79.2002119571426,-0.512,-1.466,1.381393476,1.744179014,7.7854,1,1.2
"118","2020_October_CADE_1.2","2020_October",7.6768,"CADE","HP",124.7148289,77.2349711954965,-0.318,-1.251,1.247148289,1.614745587,8.0376,1,1.2
"119","2020_October_CECO_1.2","2020_October",12.3428,"CECO","HP",86.7174160954459,69.549427893633,-0.152,-3.229,0.867174160954459,1.246845858,12.8743,1,1.2
"120","2020_October_ARPA_1.2","2020_October",7.6406,"ARPA","HP",145.1628825,86.5953186155732,-0.109,-2.006,1.451628825,1.676336375,8.2288,1,1.2
"121","2020_October_CECO_1.2","2020_October",12.5281,"CECO","HP",47.8400467,38.3688540111427,-0.152,-8.5,0.478400467,1.246845858,12.692,1,1.2
"122","2020_October_CECO_1.2","2020_October",7.5225,"CECO","HP",69.30913722,55.5875746591284,-0.152,-0.664,0.6930913722,1.246845858,7.7402,1,1.2
"123","2020_October_CADE_1.2","2020_October",7.5449,"CADE","HP",161.4745587,100,-0.318,-0.318,1.614745587,1.614745587,8.0114,1,1.2
"124","2020_October_PIJE_1.2","2020_October",12.401,"PIJE","HP",141.1518325,80.9273769303591,-0.512,-2.906,1.411518325,1.744179014,12.8054,1,1.2
"125","2020_October_ARPA_1.2","2020_October",7.5641,"ARPA","HP",112.1722846,66.915140823094,-0.109,-0.109,1.121722846,1.676336375,7.9235,1,1.2
"126","2020_October_ARPA_1.2","2020_October",7.5641,"ARPA","EPI",112.1722846,66.915140823094,-0.109,-0.109,1.121722846,1.676336375,7.9235,1,1.2
"127","2020_October_QUKE_1.2","2020_October",7.5955,"QUKE","EPI",102.0126509,63.2464244005762,-0.106,-3.443,1.020126509,1.612939417,7.9503,1,1.2
"128","2020_October_ABCO_1.2","2020_October",7.3531,"ABCO","EPI",200.2079002,100,-0.261,-0.261,2.002079002,2.002079002,7.642,1,1.2
"129","2020_October_PIJE_1.2","2020_October",12.4377,"PIJE","EPI",169.1558442,96.9830750411723,-0.512,-0.512,1.691558442,1.744179014,13.0108,1,1.2
"130","2020_October_QUKE_1.2","2020_October",7.6568,"QUKE","EPI",83.67546432,51.8776238202628,-0.106,-5.687,0.8367546432,1.612939417,7.9992,1,1.2
"131","2020_October_QUKE_1.2","2020_October",7.6568,"QUKE","HP",83.67546432,51.8776238202628,-0.106,-5.687,0.8367546432,1.612939417,7.9992,1,1.2
"132","2020_October_PIJE_1.2","2020_October",12.5173,"PIJE","EPI",174.4179014,100,-0.512,-1.117,1.744179014,1.744179014,13.0941,1,1.2
"133","2020_October_ABCO_1.2","2020_October",7.5323,"ABCO","EPI",165.0322119,82.4304194465549,-0.261,-1.223,1.650322119,2.002079002,7.9934,1,1.2
"134","2020_October_QUKE_1.2","2020_October",7.5804,"QUKE","EPI",94.4021025,58.5279902673493,-0.106,-4.001,0.944021025,1.612939417,7.9396,1,1.2
"135","2020_October_QUKE_1.2","2020_October",12.4393,"QUKE","EPI",75.79143389,46.9896346330037,-0.106,-7.493,0.7579143389,1.612939417,12.6835,1,1.2
"136","2020_October_ARPA_1.2","2020_October",7.7855,"ARPA","EPI",72.67358626,43.3526273985434,-0.109,-5.802,0.7267358626,1.676336375,8.1916,1,1.2
"137","2020_October_PIJE_1.2","2020_October",12.6004,"PIJE","EPI",146.9850587,84.2717734362099,-0.512,-1.786,1.469850587,1.744179014,13.1513,1,1.2
"138","2020_October_CECO_1.2","2020_October",12.4801,"CECO","EPI",74.91313412,60.0821133096309,-0.152,-4.157,0.7491313412,1.246845858,12.6957,1,1.2
"139","2020_October_CECO_1.2","2020_October",12.5281,"CECO","EPI",47.8400467,38.3688540111427,-0.152,-8.5,0.478400467,1.246845858,12.692,1,1.2
"140","2020_October_ARPA_1.2","2020_October",7.6406,"ARPA","EPI",145.1628825,86.5953186155732,-0.109,-2.006,1.451628825,1.676336375,8.2288,1,1.2
"141","2020_October_ARPA_1.2","2020_October",12.6388,"ARPA","EPI",82.86189684,49.4303518528613,-0.109,-4.9,0.8286189684,1.676336375,13.0372,1,1.2
"142","2020_October_CECO_1.2","2020_October",7.4383,"CECO","EPI",64.94023904,52.0836145248677,-0.152,-5.301,0.6494023904,1.246845858,7.5687,1,1.2
"143","2020_October_QUKE_1.2","2020_October",12.3621,"QUKE","HP",161.2939417,100,-0.106,-0.106,1.612939417,1.612939417,12.7934,1,1.2
"144","2020_October_CECO_1.2","2020_October",7.5225,"CECO","EPI",69.30913722,55.5875746591284,-0.152,-0.664,0.6930913722,1.246845858,7.7402,1,1.2
"145","2020_October_CECO_1.2","2020_October",7.4916,"CECO","EPI",90.95744681,72.950033259043,-0.152,-1.452,0.9095744681,1.246845858,7.7139,1,1.2
"146","2020_October_ABCO_1.2","2020_October",7.4956,"ABCO","EPI",146.0624071,72.9553663736992,-0.261,-1.784,1.460624071,2.002079002,7.7905,1,1.2
"147","2020_October_ARPA_1.3","2020_October",7.6005,"ARPA","HP",74.49468085,58.117183100064,-0.113,-5.978,0.7449468085,1.2818013,7.8806,1,1.3
"148","2020_October_QUKE_1.3","2020_October",7.4264,"QUKE","HP",97.24696356,59.576325765988,-0.302,-4.883,0.9724696356,1.632308846,7.6666,1,1.3
"149","2020_October_QUKE_1.3","2020_October",7.4632,"QUKE","HP",74.75928473,45.7997179352418,-0.302,-7.116,0.7475928473,1.632308846,7.6806,1,1.3
"150","2020_October_ARPA_1.3","2020_October",12.6346,"ARPA","EPI",75.26529037,58.718375749814,-0.113,-5.558,0.7526529037,1.2818013,13.0247,1,1.3
"151","2020_October_PIJE_1.3","2020_October",12.6345,"PIJE","HP",108.8312369,64.9116327511594,-0.314,-3.501,1.088312369,1.676606061,13.0498,1,1.3
"152","2020_October_QUKE_1.3","2020_October",12.3963,"QUKE","HP",102.1552915,62.5833105973378,-0.302,-3.728,1.021552915,1.632308846,12.766,1,1.3
"153","2020_October_ABCO_1.3","2020_October",7.4405,"ABCO","HP",191.840796,100,-0.112,-0.112,1.91840796,1.91840796,8.0189,1,1.3
"154","2020_October_PIJE_1.3","2020_October",12.4078,"PIJE","HP",148.3961508,88.5098498996778,-0.314,-0.812,1.483961508,1.676606061,12.7779,1,1.3
"155","2020_October_PIJE_1.3","2020_October",7.4928,"PIJE","EPI",122.3776224,72.9912799712824,-0.314,-3.007,1.223776224,1.676606061,7.7728,1,1.3
"156","2020_October_QUKE_1.3","2020_October",7.3902,"QUKE","HP",134.3013699,82.2769356602507,-0.302,-1.369,1.343013699,1.632308846,7.6353,1,1.3
"157","2020_October_QUKE_1.3","2020_October",7.5794,"QUKE","HP",52.40929705,32.1074637182969,-0.302,-3.4,0.5240929705,1.632308846,7.7643,1,1.3
"158","2020_October_ABCO_1.3","2020_October",12.4549,"ABCO","HP",151.0797581,78.7526747439059,-0.112,-2.755,1.510797581,1.91840796,12.9796,1,1.3
"159","2020_October_QUKE_1.3","2020_October",7.4264,"QUKE","EPI",97.24696356,59.576325765988,-0.302,-4.883,0.9724696356,1.632308846,7.6666,1,1.3
"160","2020_October_ABCO_1.3","2020_October",12.3525,"ABCO","HP",148.6011905,77.4606828153486,-0.112,-2.61,1.486011905,1.91840796,12.8518,1,1.3
"161","2020_October_QUKE_1.3","2020_October",12.3963,"QUKE","EPI",102.1552915,62.5833105973378,-0.302,-3.728,1.021552915,1.632308846,12.766,1,1.3
"162","2020_October_ABCO_1.3","2020_October",7.8292,"ABCO","HP",165.5562958,86.298795278143,-0.112,-2.223,1.655562958,1.91840796,8.8232,1,1.3
