date,sample,fresh.weight,dry.weight,water.potential,spp,fresh.weight.saturated.excel,RWD.excel,TLP.excel,RWC.at.tlp.excel,Po,SWC,LFM.at.tlp.excel,mean.TLP,mean.RWC,mean.Po,mean.SWC,mean.LFM.at.tlp
09.11.2020,4,0.6031,0.3155,-2.463,CEME,0.6458,12.93,-2.829031293,85.01451496,-1.300536576,0.645796538,89.00158479,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,4,0.6066,0.3155,-2.483,CEME,0.6458,11.87,-2.829031293,85.01451496,-1.300536576,0.645796538,89.00158479,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,4,0.5982,0.3155,-2.674,CEME,0.6458,14.41,-2.829031293,85.01451496,-1.300536576,0.645796538,89.00158479,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,4,0.5963,0.3155,-2.754,CEME,0.6458,14.99,-2.829031293,85.01451496,-1.300536576,0.645796538,89.00158479,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,4,0.6009,0.3155,-2.996,CEME,0.6458,13.6,-2.829031293,85.01451496,-1.300536576,0.645796538,89.00158479,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,4,0.5898,0.3155,-3.134,CEME,0.6458,16.96,-2.829031293,85.01451496,-1.300536576,0.645796538,89.00158479,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,4,0.592,0.3155,-3.183,CEME,0.6458,16.29,-2.829031293,85.01451496,-1.300536576,0.645796538,89.00158479,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,4,0.5939,0.3155,-3.321,CEME,0.6458,15.72,-2.829031293,85.01451496,-1.300536576,0.645796538,89.00158479,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,4,0.5867,0.3155,-3.59,CEME,0.6458,17.9,-2.829031293,85.01451496,-1.300536576,0.645796538,89.00158479,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,5,0.2605,0.1295,-0.231,CEME,0.2612,0.55,-2.515136928,86.44450749,-1.051995196,0.261492192,88.10810811,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,5,0.2589,0.1295,-0.49,CEME,0.2612,1.77,-2.515136928,86.44450749,-1.051995196,0.261492192,88.10810811,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,5,0.2568,0.1295,-0.646,CEME,0.2612,3.36,-2.515136928,86.44450749,-1.051995196,0.261492192,88.10810811,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,5,0.256,0.1295,-0.662,CEME,0.2612,3.97,-2.515136928,86.44450749,-1.051995196,0.261492192,88.10810811,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,5,0.2559,0.1295,-0.851,CEME,0.2612,4.04,-2.515136928,86.44450749,-1.051995196,0.261492192,88.10810811,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,5,0.2545,0.1295,-0.862,CEME,0.2612,5.11,-2.515136928,86.44450749,-1.051995196,0.261492192,88.10810811,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,5,0.2538,0.1295,-1.073,CEME,0.2612,5.64,-2.515136928,86.44450749,-1.051995196,0.261492192,88.10810811,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,5,0.2531,0.1295,-1.24,CEME,0.2612,6.17,-2.515136928,86.44450749,-1.051995196,0.261492192,88.10810811,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,5,0.2527,0.1295,-1.342,CEME,0.2612,6.47,-2.515136928,86.44450749,-1.051995196,0.261492192,88.10810811,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,5,0.2521,0.1295,-1.42,CEME,0.2612,6.93,-2.515136928,86.44450749,-1.051995196,0.261492192,88.10810811,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,5,0.2512,0.1295,-1.561,CEME,0.2612,7.61,-2.515136928,86.44450749,-1.051995196,0.261492192,88.10810811,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,5,0.251,0.1295,-1.577,CEME,0.2612,7.76,-2.515136928,86.44450749,-1.051995196,0.261492192,88.10810811,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,5,0.2504,0.1295,-1.833,CEME,0.2612,8.22,-2.515136928,86.44450749,-1.051995196,0.261492192,88.10810811,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,5,0.2496,0.1295,-1.997,CEME,0.2612,8.83,-2.515136928,86.44450749,-1.051995196,0.261492192,88.10810811,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,5,0.2484,0.1295,-2,CEME,0.2612,9.74,-2.515136928,86.44450749,-1.051995196,0.261492192,88.10810811,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,5,0.2487,0.1295,-2.081,CEME,0.2612,9.51,-2.515136928,86.44450749,-1.051995196,0.261492192,88.10810811,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
