date,site,pod,bottle #,spp,spp,new/old,wet weight,dry weight,bottle weight,lfm,predawn1,predawn2,predawn3,midday1,midday2,midday3,predawn,midday,type,doy,location,LFMtlp,Mpatlp,notes
4/24/21,2,2.1,43,CADE,CADE,N,90.3467,78.9369,67.7621,102.1029459,-0.75,-0.77,,-1.38,-1.39,,-0.76,-1.385,tree,114,CZO,123.2700516,-2.626049161,
4/24/21,2,2.1,19,CADE,CADE,O,88.8706,78.6206,67.0452,88.54985573,-0.75,-0.77,,-1.38,-1.39,,-0.76,-1.385,tree,114,CZO,123.2700516,-2.626049161,
4/24/21,2,2.1,20,CECO,CECO,O,77.7402,72.0907,67.2395,116.4557223,-1.2,-1.24,,-1.4,-1.44,,-1.22,-1.42,shrub,114,CZO,350.9901204,-2.37890626,
4/24/21,2,2.2,44,ABCO,ABCO,N,99.2284,80.9289,67.2478,133.7575195,-0.68,-0.72,,-0.78,-0.85,,-0.7,-0.815,tree,114,CZO,165.7,-2.173,
4/24/21,2,2.2,22,ABCO,ABCO,O,86.4001,75.6589,67.128,125.9093413,-0.68,-0.72,,-0.78,-0.85,,-0.7,-0.815,tree,114,CZO,165.7,-2.173,
4/24/21,2,2.2,23,ARPA,ARPA,O,83.9182,75.3324,66.9007,101.8276267,-0.56,-0.56,,-1.17,-1.04,,-0.56,-1.105,shrub,114,CZO,108.3036245,-2.378742269,
4/24/21,2,2.2,24,CADE,CADE,N,96.7603,81.7324,66.7136,100.0605907,-0.67,-0.69,,-1.43,-1.47,,-0.68,-1.45,tree,114,CZO,123.2700516,-2.626049161,
4/24/21,2,2.2,45,CADE,CADE,O,92.9037,80.349,66.79,92.59311159,-0.67,-0.69,,-1.43,-1.47,,-0.68,-1.45,tree,114,CZO,123.2700516,-2.626049161,
4/24/21,2,2.2,54,CECO,CECO,O,74.8595,70.6028,66.7763,111.2426499,-1.01,-1.33,,-1.28,-1.38,,-1.17,-1.33,shrub,114,CZO,350.9901204,-2.37890626,
4/24/21,2,2.3,62,ABCO,ABCO,N,84.4357,74.6301,67.1831,131.6718142,-0.78,-0.76,,-1.59,-1.55,,-0.77,-1.57,tree,114,CZO,165.7,-2.173,
4/24/21,2,2.3,34,ABCO,ABCO,O,79.9838,72.8918,66.8361,117.1128028,-0.78,-0.76,,-1.59,-1.55,,-0.77,-1.57,tree,114,CZO,165.7,-2.173,
4/24/21,2,2.3,47,ARPA,ARPA,O,78.2342,72.7168,67.1503,99.11793766,-0.55,-0.49,,-0.93,-1.06,,-0.52,-0.995,shrub,114,CZO,108.3036245,-2.378742269,
4/24/21,2,2.3,46,CADE,CADE,N,83.836,75.3869,66.7779,98.14264142,-0.67,-0.79,,-1.58,-1.63,,-0.73,-1.605,tree,114,CZO,123.2700516,-2.626049161,
4/24/21,2,2.3,26,CADE,CADE,O,84.8396,76.3749,67.0248,90.53058256,-0.67,-0.79,,-1.58,-1.63,,-0.73,-1.605,tree,114,CZO,123.2700516,-2.626049161,
4/24/21,2,2.3,27,CECO,CECO,O,75.5153,71.189,67.1459,107.0045262,-0.95,-0.94,,-1.11,-0.97,,-0.945,-1.04,shrub,114,CZO,350.9901204,-2.37890626,
4/24/21,2,2.4,48,ABCO,ABCO,N,85.0172,75.2711,67.0762,118.928846,-0.83,-0.8,,-1.54,-1.58,,-0.815,-1.56,tree,114,CZO,165.7,-2.173,
4/24/21,2,2.4,29,ABCO,ABCO,O,85.5581,75.7868,67.1141,112.6673354,-0.83,-0.8,,-1.54,-1.58,,-0.815,-1.56,tree,114,CZO,165.7,-2.173,
4/24/21,2,2.4,49,ARPA,ARPA,O,84.0288,75.4934,66.7381,97.48837847,-0.54,-0.55,,-1.04,-1.14,,-0.545,-1.09,shrub,114,CZO,108.3036245,-2.378742269,
4/24/21,2,2.4,63,CADE,CADE,N,84.7616,75.5969,67.202,109.1698531,-0.8,-0.715,,-1.42,-1.02,,-0.7575,-1.22,tree,114,CZO,123.2700516,-2.626049161,
4/24/21,2,2.4,35,CADE,CADE,O,87.0722,77.2769,67.4835,100.0194008,-0.8,-0.715,,-1.42,-1.02,,-0.7575,-1.22,tree,114,CZO,123.2700516,-2.626049161,
