sample,site,round,spp,model,year,month,video.notes,ambient.temp,ambient.humidity,fh,ignition,glow,ignition.temp,ignition.temp.higher,temp.max,temp.max.higher,video.notes,sample.length,mpa,bottle.wt,fresh.wt,dry.wt,sample.wt,prop.new,prop.new.lfm,lfm.notes,lfm,ttfg,gti,tti,fd,gd,pfg,start.temp,temp.start.higher,ttms
1.5,1,3,ABCO,HP,2020,September,,26,48,46,1,0,269.2,234.5,272.2,241.9,,10,-1.85,7.1921,8.4631,7.7209,3.9167,40,0,,140.3555219,Ê171,Ê0,Ê171,Ê9,Ê56,Ê47,256.2,232.9,179
1.5,1,4,ABCO,HP,2020,September,Missing lower,23,57,,1,1,286.2,223.2,329.3,271.8,,10,-2.72,6.1861,7.1813,6.6467,2.9776,55,30,,116.0660009,Ê50,Ê9,Ê59,Ê20,Ê91,Ê62,279.1,226.7,62
1.5,1,5,ABCO,HP,2020,September,,26,50,36,3,1,261.4,233.6,257.2,239.4,,10,-3.53,6.1659,7.2854,6.6548,2.1487,45,90,,128.9834322,Ê244,Ê150,Ê394,Ê12,Ê221,Ê59,265.9,226.1,402
1.5,1,6,ABCO,HP,2020,September,,25,52,,1,1,269.7,223.4,287.7,271.4,,10,-2.85,7.2417,7.9959,7.6072,3.125,20,10,,106.3474692,Ê39,Ê41,Ê80,Ê21,Ê134,Ê72,258,220.9,84
1.5,1,7,ABCO,HP,2020,September,,22,61,,1,1,235.7,201.3,235.7,201.8,"glow time continued onto next video; most of mass consumed during glow phase, 2 cm burned",10,-4.11,7.2367,7.6086,7.4276,2.9559,25,100,,94.81403876,Ê237,Ê119,Ê356,Ê6,Ê228,Ê103,237.5,201.1,356
1.5,1,8,ABCO,HP,2020,September,,24,63,,1,0,240.1,203.8,263.4,339.1,,10,,7.1931,8.1365,7.6574,3.1204,20,60,,103.1875942,Ê80,Ê0,Ê80,Ê32,Ê101,Ê69,233.8,202.8,87
1.6,1,1,ABCO,HP,2020,September,,23,61,26,1,0,258,223.5,275.3,247.8,,10,-0.76,7.2653,9.7239,8.1299,3.3435,45,60,,184.3627111,Ê94,Ê0,Ê94,Ê41,Ê94,Ê53,277,233.9,100
1.6,1,2,ABCO,HP,2020,September,Missing lower,23,61,,1,1,274,226.5,286.1,259.1,,10,-1.74,7.2558,9.1015,7.8739,3.3136,50,100,,198.6086394,Ê59,Ê83,Ê142,Ê6,Ê146,Ê57,238.2,226.4,144
1.6,1,3,ABCO,HP,2020,September,,26,48,45,1,1,290.8,240.9,302.1,281.5,,10,-2.1,7.1276,8.9809,7.8852,4.5805,70,0,,144.6277719,Ê81,Ê18,Ê99,Ê17,Ê74,Ê39,264.1,238,100
1.6,1,4,ABCO,HP,2020,September,Missing lower,23,56,,2,1,287.2,218.2,412.6,273.7,2nd ignition: 10:44:50 to 10:45:12 w max temps 332.2 and 250,10,-2.57,6.1875,7.4148,6.7118,5.2819,75,40,,134.08354,Ê53,Ê11,Ê64,Ê20,Ê234,Ê203,278.9,227,75
1.6,1,5,ABCO,HP,2020,September,,26,50,20,1,1,271.6,235.4,284.9,284.4,,10,-2.47,6.155,8.2415,6.8666,3.024,75,90,,193.2124789,Ê63,Ê31,Ê94,Ê15,Ê139,Ê93,264.2,225.7,39
1.6,1,6,ABCO,HP,2020,September,,25,52,,2,1,282.4,229.3,301.1,298.4,2nd ignition: 15:29:26 to 15:29:29,10,-3.59,7.266,7.7908,7.482,3.2201,100,50,,142.962963,Ê72,Ê26,Ê98,Ê10,Ê105,Ê69,261,223,102
1.6,1,7,ABCO,HP,2020,September,,23,60,,1,1,243,205.9,245.6,209.8,,10,-3.57,7.2555,7.7017,7.4433,2.5689,20,100,,137.5931842,Ê335,Ê52,Ê387,Ê8,Ê135,Ê75,230.2,201,389
1.6,1,8,ABCO,HP,2020,September,,23,61,,1,1,241.6,202.7,254.2,240.7,,10,-2.98,7.1288,9.024,8.2842,2.5354,50,30,,64.02977324,Ê56,Ê13,Ê69,Ê13,Ê112,Ê86,237.1,202.8,74
2.1,2,1,ABCO,HP,2020,September,,23,60,42,1,0,286.1,246,296.8,295.6,,10,-0.507,7.2071,11.9758,8.794,4.159,60,60,,200.5041275,Ê121,Ê0,Ê121,Ê8,Ê95,Ê87,275.6,237.6,124
2.1,2,2,ABCO,HP,2020,September,,24,60,30,1,1,266,225.5,272.4,283.6,,10,-2.15,7.2461,9.4621,7.9967,3.8378,40,100,,195.2304823,Ê78,Ê34,Ê112,Ê17,Ê105,Ê54,245.2,221.5,114
2.1,2,3,ABCO,HP,2020,September,,26,49,19,1,1,269,233.3,272.1,255.9,,10,-2.48,7.1995,8.3327,7.6975,3.0434,40,40,,127.5502008,Ê65,Ê1,Ê66,Ê33,Ê116,Ê82,280,243.1,68
2.1,2,4,ABCO,HP,2020,September,,23,56,31,1,1,287.3,217.5,313.5,250.2,,10,-2.63,6.1828,8.375,7.0716,5.0312,70,50,,146.6471647,Ê74,Ê6,Ê80,Ê23,Ê83,Ê54,286.6,229.5,82
2.1,2,5,ABCO,HP,2020,September,,26,50,32,1,1,286.7,240.7,297.3,253.3,,10,-2.81,6.1624,7.9715,6.808,3.151,75,100,,180.2199504,Ê38,Ê153,Ê191,Ê9,Ê218,Ê56,270,229.9,192
2.1,2,6,ABCO,HP,2020,September,,25,51,,3,0,268.4,243.5,270.4,241.8,,10,-3.01,7.2069,8.4583,7.6794,3.4876,100,60,,164.8465608,-Ê55902,Ê56407,Ê505,Ê12,Ê56495,Ê76,245.1,209.8,507
2.1,2,7,ABCO,HP,2020,September,,23,58,,1,1,239.2,201.2,285.9,259.5,,10,-3.49,7.2455,8.1151,7.6223,2.8991,50,100,,130.7855626,Ê76,Ê18,Ê94,Ê14,Ê106,Ê74,229.3,203.1,96
2.1,2,8,ABCO,HP,2020,September,,23,69,,1,1,253.9,206.9,270.3,235.6,,10,-4.22,7.2007,8.3774,7.7293,5.2701,50,50,,122.6068861,Ê86,Ê10,Ê96,Ê17,Ê114,Ê87,250.7,212.6,101
2.1,2,9,ABCO,HP,2020,September,,24,55,,1,0,266.3,211.3,276.9,229.4,,10,-4.15,6.1822,7.4782,6.8434,4.239,30,30,,96.00725953,Ê91,Ê0,Ê91,Ê19,Ê102,Ê83,259.2,216.4,94
2.2,2,1,ABCO,HP,2020,September,,23,61,42,1,1,273.9,240.9,277.2,259.7,,10,-0.376,7.2258,8.7712,7.7336,4.318,90,100,,204.3324143,Ê208,Ê25,Ê233,Ê17,Ê106,Ê64,269.7,237.2,238
