date	sample	fresh.weight	dry.weight	water.potential	spp	fresh.weight.saturated	RWD	TLP	RWC.at.tlp	Po	SWC	LFM.at.tlp	timing
04.24.2021	5			-0.078	CECO			-2.136979719		-1.501375482			spring
04.24.2021	5			-0.209	CECO			-2.136979719		-1.501375482			spring
04.24.2021	5			-0.492	CECO			-2.136979719		-1.501375482			spring
04.24.2021	5			-0.536	CECO			-2.136979719		-1.501375482			spring
04.24.2021	5			-0.661	CECO			-2.136979719		-1.501375482			spring
04.24.2021	5			-0.899	CECO			-2.136979719		-1.501375482			spring
04.24.2021	5			-0.943	CECO			-2.136979719		-1.501375482			spring
04.24.2021	5			-1.142	CECO			-2.136979719		-1.501375482			spring
04.24.2021	5			-1.325	CECO			-2.136979719		-1.501375482			spring
04.24.2021	5			-1.396	CECO			-2.136979719		-1.501375482			spring
04.24.2021	5			-1.564	CECO			-2.136979719		-1.501375482			spring
04.24.2021	5			-1.811	CECO			-2.136979719		-1.501375482			spring
04.24.2021	5			-2.192	CECO			-2.136979719		-1.501375482			spring
04.24.2021	5			-2.297	CECO			-2.136979719		-1.501375482			spring
04.24.2021	5			-2.948	CECO			-2.136979719		-1.501375482			spring
04.24.2021	1			-0.293	PIJE			-2.65739254		-1.162800401			spring
04.24.2021	1			-0.472	PIJE			-2.65739254		-1.162800401			spring
04.24.2021	1			-0.585	PIJE			-2.65739254		-1.162800401			spring
04.24.2021	1			-0.836	PIJE			-2.65739254		-1.162800401			spring
04.24.2021	1			-0.846	PIJE			-2.65739254		-1.162800401			spring
04.24.2021	1			-1.133	PIJE			-2.65739254		-1.162800401			spring
04.24.2021	1			-1.252	PIJE			-2.65739254		-1.162800401			spring
04.24.2021	1			-1.492	PIJE			-2.65739254		-1.162800401			spring
04.24.2021	1			-1.654	PIJE			-2.65739254		-1.162800401			spring
04.24.2021	1			-1.899	PIJE			-2.65739254		-1.162800401			spring
04.24.2021	1			-1.989	PIJE			-2.65739254		-1.162800401			spring
04.24.2021	1			-2.264	PIJE			-2.65739254		-1.162800401			spring
04.24.2021	1			-2.684	PIJE			-2.65739254		-1.162800401			spring
04.24.2021	1			-2.556	PIJE			-2.65739254		-1.162800401			spring
04.24.2021	1			-2.713	PIJE			-2.65739254		-1.162800401			spring
04.24.2021	1			-2.734	PIJE			-2.65739254		-1.162800401			spring
04.24.2021	1			-3.181	PIJE			-2.65739254		-1.162800401			spring
04.24.2021	1			-3.257	PIJE			-2.65739254		-1.162800401			spring
04.24.2021	1			-3.501	PIJE			-2.65739254		-1.162800401			spring
04.24.2021	1			-4.131	PIJE			-2.65739254		-1.162800401			spring
04.24.2021	1			-4.561	PIJE			-2.65739254		-1.162800401			spring
04.24.2021	2			-0.097	PIJE			-2.61487033		-1.746646759			spring
04.24.2021	2			-0.331	PIJE			-2.61487033		-1.746646759			spring
04.24.2021	2			-0.616	PIJE			-2.61487033		-1.746646759			spring
04.24.2021	2			-0.883	PIJE			-2.61487033		-1.746646759			spring
04.24.2021	2			-1.148	PIJE			-2.61487033		-1.746646759			spring
04.24.2021	2			-1.416	PIJE			-2.61487033		-1.746646759			spring
04.24.2021	2			-1.659	PIJE			-2.61487033		-1.746646759			spring
04.24.2021	2			-1.934	PIJE			-2.61487033		-1.746646759			spring
04.24.2021	2			-2.302	PIJE			-2.61487033		-1.746646759			spring
04.24.2021	2			-2.532	PIJE			-2.61487033		-1.746646759			spring
04.24.2021	2			-2.923	PIJE			-2.61487033		-1.746646759			spring
04.24.2021	2			-3.301	PIJE			-2.61487033		-1.746646759			spring
04.24.2021	2			-3.406	PIJE			-2.61487033		-1.746646759			spring
04.24.2021	2			-3.892	PIJE			-2.61487033		-1.746646759			spring
04.24.2021	2			-3.821	PIJE			-2.61487033		-1.746646759			spring
04.24.2021	2			-3.664	PIJE			-2.61487033		-1.746646759			spring
04.24.2021	2			-3.7	PIJE			-2.61487033		-1.746646759			spring
04.24.2021	2			-3.681	PIJE			-2.61487033		-1.746646759			spring
04.24.2021	2			-4.186	PIJE			-2.61487033		-1.746646759			spring
04.24.2021	2			-4.245	PIJE			-2.61487033		-1.746646759			spring
04.24.2021	3			-0.176	PIJE			-2.737863522		-1.664585678			spring
04.24.2021	3			-0.215	PIJE			-2.737863522		-1.664585678			spring
04.24.2021	3			-0.26	PIJE			-2.737863522		-1.664585678			spring
04.24.2021	3			-0.311	PIJE			-2.737863522		-1.664585678			spring
04.24.2021	3			-0.33	PIJE			-2.737863522		-1.664585678			spring
04.24.2021	3			-0.384	PIJE			-2.737863522		-1.664585678			spring
04.24.2021	3			-0.46	PIJE			-2.737863522		-1.664585678			spring
04.24.2021	3			-0.759	PIJE			-2.737863522		-1.664585678			spring
04.24.2021	3			-1.011	PIJE			-2.737863522		-1.664585678			spring
04.24.2021	3			-1.359	PIJE			-2.737863522		-1.664585678			spring
04.24.2021	3			-1.734	PIJE			-2.737863522		-1.664585678			spring
04.24.2021	3			-2.025	PIJE			-2.737863522		-1.664585678			spring
04.24.2021	3			-2.391	PIJE			-2.737863522		-1.664585678			spring
04.24.2021	3			-2.89	PIJE			-2.737863522		-1.664585678			spring
04.24.2021	3			-2.751	PIJE			-2.737863522		-1.664585678			spring
04.24.2021	3			-2.841	PIJE			-2.737863522		-1.664585678			spring
04.24.2021	3			-3.35	PIJE			-2.737863522		-1.664585678			spring
04.24.2021	3			-3.66	PIJE			-2.737863522		-1.664585678			spring
04.24.2021	3			-3.87	PIJE			-2.737863522		-1.664585678			spring
04.24.2021	3			-4.018	PIJE			-2.737863522		-1.664585678			spring
04.24.2021	3			-4.639	PIJE			-2.737863522		-1.664585678			spring
04.24.2021	3			-4.7	PIJE			-2.737863522		-1.664585678			spring
04.24.2021	4			-0.195	PIJE			-2.743438069		-1.559806318			spring
04.24.2021	4			-0.279	PIJE			-2.743438069		-1.559806318			spring
04.24.2021	4			-0.532	PIJE			-2.743438069		-1.559806318			spring
04.24.2021	4			-0.681	PIJE			-2.743438069		-1.559806318			spring
04.24.2021	4			-0.883	PIJE			-2.743438069		-1.559806318			spring
04.24.2021	4			-1.083	PIJE			-2.743438069		-1.559806318			spring
04.24.2021	4			-1.388	PIJE			-2.743438069		-1.559806318			spring
04.24.2021	4			-1.662	PIJE			-2.743438069		-1.559806318			spring
04.24.2021	4			-1.992	PIJE			-2.743438069		-1.559806318			spring
04.24.2021	4			-2.386	PIJE			-2.743438069		-1.559806318			spring
04.24.2021	4			-2.49	PIJE			-2.743438069		-1.559806318			spring
04.24.2021	4			-2.671	PIJE			-2.743438069		-1.559806318			spring
04.24.2021	4			-3.304	PIJE			-2.743438069		-1.559806318			spring
04.24.2021	4			-3.391	PIJE			-2.743438069		-1.559806318			spring
04.24.2021	4			-3.273	PIJE			-2.743438069		-1.559806318			spring
04.24.2021	4			-3.631	PIJE			-2.743438069		-1.559806318			spring
04.24.2021	4			-4.431	PIJE			-2.743438069		-1.559806318			spring
04.24.2021	4			-4.501	PIJE			-2.743438069		-1.559806318			spring
04.24.2021	4			-5.061	PIJE			-2.743438069		-1.559806318			spring
04.24.2021	5			-0.29	PIJE			-2.770361431		-1.630841996			spring
04.24.2021	5			-0.336	PIJE			-2.770361431		-1.630841996			spring
04.24.2021	5			-0.34	PIJE			-2.770361431		-1.630841996			spring
04.24.2021	5			-0.461	PIJE			-2.770361431		-1.630841996			spring
04.24.2021	5			-0.612	PIJE			-2.770361431		-1.630841996			spring
04.24.2021	5			-1.052	PIJE			-2.770361431		-1.630841996			spring
04.24.2021	5			-1.165	PIJE			-2.770361431		-1.630841996			spring
04.24.2021	5			-1.779	PIJE			-2.770361431		-1.630841996			spring
04.24.2021	5			-1.914	PIJE			-2.770361431		-1.630841996			spring
04.24.2021	5			-2.401	PIJE			-2.770361431		-1.630841996			spring
04.24.2021	5			-2.471	PIJE			-2.770361431		-1.630841996			spring
04.24.2021	5			-2.415	PIJE			-2.770361431		-1.630841996			spring
04.24.2021	5			-2.61	PIJE			-2.770361431		-1.630841996			spring
04.24.2021	5			-2.59	PIJE			-2.770361431		-1.630841996			spring
04.24.2021	5			-2.82	PIJE			-2.770361431		-1.630841996			spring
04.24.2021	5			-2.915	PIJE			-2.770361431		-1.630841996			spring
04.24.2021	5			-3.382	PIJE			-2.770361431		-1.630841996			spring
04.24.2021	5			-3.133	PIJE			-2.770361431		-1.630841996			spring
04.24.2021	5			-3.296	PIJE			-2.770361431		-1.630841996			spring
04.24.2021	5			-3.374	PIJE			-2.770361431		-1.630841996			spring
04.24.2021	5			-4.161	PIJE			-2.770361431		-1.630841996			spring
04.24.2021	5			-4.284	PIJE			-2.770361431		-1.630841996			spring
04.24.2021	5			-4.2	PIJE			-2.770361431		-1.630841996			spring
04.24.2021	5			-4.066	PIJE			-2.770361431		-1.630841996			spring
04.24.2021	1	2.4929		-0.44	ARPA			-2.318153414		-1.669835			spring
04.24.2021	1	2.4876		-0.642	ARPA			-2.318153414		-1.669835			spring
04.24.2021	1	2.4723		-1.017	ARPA			-2.318153414		-1.669835			spring
04.24.2021	1	2.4638		-1.257	ARPA			-2.318153414		-1.669835			spring
04.24.2021	1	2.4543		-1.451	ARPA			-2.318153414		-1.669835			spring
04.24.2021	1	2.4492		-1.605	ARPA			-2.318153414		-1.669835			spring
04.24.2021	1	2.4431		-1.735	ARPA			-2.318153414		-1.669835			spring
04.24.2021	1	2.4348		-1.904	ARPA			-2.318153414		-1.669835			spring
04.24.2021	1	2.4265		-2.095	ARPA			-2.318153414		-1.669835			spring
04.24.2021	1	2.4232		-2.143	ARPA			-2.318153414		-1.669835			spring
04.24.2021	1	2.4172		-2.268	ARPA			-2.318153414		-1.669835			spring
04.24.2021	1	2.4105		-2.351	ARPA			-2.318153414		-1.669835			spring
04.24.2021	1	2.3985		-2.571	ARPA			-2.318153414		-1.669835			spring
04.24.2021	1	2.3898		-2.709	ARPA			-2.318153414		-1.669835			spring
04.24.2021	1	2.3589		-2.966	ARPA			-2.318153414		-1.669835			spring
04.24.2021	1	2.3589		-3.114	ARPA			-2.318153414		-1.669835			spring
