sample,site,round,spp,model,year,month,video.notes,ambient.temp,ambient.humidity,fh,ignition,glow,ignition.temp,ignition.temp.higher,temp.max,temp.max.higher,video.notes,sample.length,mpa,bottle.wt,fresh.wt,dry.wt,sample.wt,prop.new,prop.new.lfm,lfm.notes,lfm,start.temp,temp.start.higher,ttms,ttfg,gti,tti,fd,gd,pfg
2.1,2,4,ABCO,HP,2020,September,,23,56,31,1,1,287.3,217.5,313.5,250.2,,10,-2.63,6.1828,8.375,7.0716,5.0312,70,50,,146.6471647,286.6,229.5,82.00,74.00,6.00,80.00,23.00,83.00,54.00
2.1,2,5,ABCO,HP,2020,September,,26,50,32,1,1,286.7,240.7,297.3,253.3,,10,-2.81,6.1624,7.9715,6.808,3.151,75,100,,180.2199504,270,229.9,192.00,38.00,153.00,191.00,9.00,218.00,56.00
2.1,2,6,ABCO,HP,2020,September,,25,51,,3,0,268.4,243.5,270.4,241.8,,10,-3.01,7.2069,8.4583,7.6794,3.4876,100,60,,164.8465608,245.1,209.8,507.00,-55902.00,56407.00,505.00,12.00,56495.00,76.00
2.1,2,7,ABCO,HP,2020,September,,23,58,,1,1,239.2,201.2,285.9,259.5,,10,-3.49,7.2455,8.1151,7.6223,2.8991,50,100,,130.7855626,229.3,203.1,96.00,76.00,18.00,94.00,14.00,106.00,74.00
2.1,2,8,ABCO,HP,2020,September,,23,69,,1,1,253.9,206.9,270.3,235.6,,10,-4.22,7.2007,8.3774,7.7293,5.2701,50,50,,122.6068861,250.7,212.6,101.00,86.00,10.00,96.00,17.00,114.00,87.00
2.1,2,9,ABCO,HP,2020,September,,24,55,,1,0,266.3,211.3,276.9,229.4,,10,-4.15,6.1822,7.4782,6.8434,4.239,30,30,,96.00725953,259.2,216.4,94.00,91.00,0.00,91.00,19.00,102.00,83.00
2.2,2,1,ABCO,HP,2020,September,,23,61,42,1,1,273.9,240.9,277.2,259.7,,10,-0.376,7.2258,8.7712,7.7336,4.318,90,100,,204.3324143,269.7,237.2,238.00,208.00,25.00,233.00,17.00,106.00,64.00
2.2,2,2,ABCO,HP,2020,September,,24,59,,1,1,265.5,221.4,278.1,255.2,,10,-1.85,7.8187,9.8006,8.5651,4.4212,55,100,,165.5278671,253,228.5,109.00,93.00,14.00,107.00,22.00,116.00,80.00
2.2,2,3,ABCO,HP,2020,September,,26,47,,1,1,,,,,thermocoupler turned off for ignition and after ignition,10,-2.25,7.1894,8.6625,7.7317,4.5672,50,100,,171.639314,246.1,230.8,91.00,64.00,26.00,90.00,19.00,157.00,112.00
2.2,2,4,ABCO,HP,2020,September,,24,56,42,1,1,285.7,219.1,316.1,256.1,,10,-2.82,6.1454,7.5904,6.7606,4.128,70,60,,134.8829649,261.5,225.6,110.00,90.00,19.00,109.00,30.00,164.00,115.00
2.2,2,5,ABCO,HP,2020,September,,26,50,40,2,1,289.3,245.5,297.8,305.5,2nd ignition recorded;1st ignition:19:55:30 to19:56:03 (very little burned),10,-3.23,6.1884,7.4896,6.6953,4.4092,80,100,,156.6975735,269.4,221.6,131.00,19.00,111.00,130.00,8.00,207.00,88.00
2.2,2,6,ABCO,HP,2020,September,B0192 flame  continues,22,60,35,2,0,245.3,205.7,248.1,212,2nd ignition:10:20:37 to10:21:27 w/ max temps of251.2 and217.8; whole sample not engulfed,10,-2.58,7.2035,8.3467,7.6984,3.4837,55,100,,130.9961608,236.5,210.5,-37157.00,60.00,0.00,60.00,9.00,153.00,144.00
2.2,2,7,ABCO,HP,2020,September,,22,62,28,1,1,241,204.9,255.8,232,,10,-3.57,7.2264,8.0547,7.5837,3.1149,,,,131.8219983,235.8,207.5,59.00,45.00,12.00,57.00,38.00,95.00,45.00
2.2,2,8,ABCO,HP,2020,September,,23,57,,1,1,285,224.8,289,232.5,,10,-6.56,7.1897,8.395,7.7323,2.9548,50,100,,122.1341688,255.6,213.7,179.00,153.00,24.00,177.00,7.00,128.00,97.00
2.2,2,9,ABCO,HP,2020,September,,24,57,,1,0,264.6,208.3,287,283,,10,-3.67,6.1462,7.9927,7.0946,5.3573,0,0,very dead,94.69633066,263.1,216.7,83.00,79.00,0.00,79.00,21.00,78.00,57.00
2.3,2,1,ABCO,HP,2020,September,,23,61,35,1,1,277.5,228.5,279.7,290.9,max surface temp lower than taller temp,10,-0.35,7.2558,9.1873,7.8074,3.6805,60,100,,250.1631617,278.4,239.1,105.00,53.00,51.00,104.00,6.00,150.00,93.00
2.3,2,2,ABCO,HP,2020,September,,24,59,,3,1,252.9,236.4,253.1,235.1,,10,-1.45,7.2093,9.1802,7.8117,4.0844,95,100,,227.1746348,245,222.7,511.00,139.00,372.00,511.00,3.00,393.00,18.00
2.3,2,3,ABCO,HP,2020,September,,26,48,,1,1,258.8,225,264.1,257,,10,-1.87,7.1818,8.8634,7.7336,3.4286,80,100,,204.7480971,262.8,238.3,59.00,57.00,1.00,58.00,9.00,117.00,107.00
2.3,2,4,ABCO,HP,2020,September,,24,56,29,2,1,285.7,220.1,316.8,248.8,2nd ignition:11:03:20 to11:03:24 w max temps of308.8 and248.5,10,-2.83,6.1801,7.0707,6.4986,4.134,95,80,,179.6232339,291.7,231.7,67.00,38.00,28.00,66.00,10.00,219.00,181.00
2.3,2,5,ABCO,HP,2020,September,,26,50,24,1,1,279.7,218.7,309.8,294.5,,10,-2.24,6.2108,7.5307,6.6468,2.4016,,,,202.7293578,266.2,220.9,61.00,55.00,3.00,58.00,10.00,177.00,164.00
2.3,2,6,ABCO,HP,2020,September,,25,52,,1,0,276.5,222.4,300.5,277.8,gpe,10,-2.63,7.2557,8.3418,7.6414,2.8771,100,90,,181.5919108,271.1,231.7,63.00,61.00,0.00,61.00,10.00,137.00,127.00
2.3,2,7,ABCO,HP,2020,September,,22,60,,1,0,255.3,205,284.1,292.4,,10,-2.94,7.2084,8.1734,7.6227,4.5384,60,30,,132.9230027,260.1,219.2,70.00,67.00,0.00,67.00,34.00,82.00,48.00
2.3,2,8,ABCO,HP,2020,September,,23,57,,1,0,251.4,210,303.4,273.7,,10,-3.3,7.1828,9.0455,8.0372,5.2713,0,0,,118.0126404,271.8,221.2,106.00,98.00,0.00,98.00,20.00,114.00,94.00
2.5,2,1,ABCO,HP,2020,September,,23,61,26,1,1,291.3,241.9,299,271,,10,-0.58,7.2214,9.4272,7.8817,3.787,80,100,,234.0602756,281.2,237.8,102.00,46.00,55.00,101.00,13.00,196.00,128.00
2.5,2,2,ABCO,HP,2020,September,,24,58,33,2,1,252.1,223.5,261.4,265.3,2nd ignition:9:34:48 to9:34:52 w/ max temps of261.9 and266.6,10,-1.04,7.2589,9.9945,8.1155,4.8294,80,100,,219.3555919,248.3,225.9,91.00,40.00,49.00,89.00,15.00,129.00,65.00
2.5,2,3,ABCO,HP,2020,September,,26,48,50,1,1,261.2,226.2,286.4,293.1,,10,-2.27,7.2058,8.5331,7.6611,5.6705,55,100,,191.5220734,260,242.8,75.00,69.00,5.00,74.00,26.00,114.00,83.00
2.5,2,4,ABCO,HP,2020,September,,24,56,22,1,1,293.3,229.8,343.1,274.1,,10,-2.35,6.201,7.8578,6.7862,4.3274,60,100,,183.1168831,290.4,231.1,75.00,49.00,19.00,68.00,16.00,303.00,268.00
2.5,2,5,ABCO,HP,2020,September,,26,50,50,3,0,267.4,234.7,268,238.9,,10,-2.59,6.1583,8.4207,6.9599,4.1813,70,100,,182.2355289,267.4,225,367.00,-72282.00,72646.00,364.00,8.00,72720.00,66.00
2.5,2,6,ABCO,HP,2020,September,,25,51,,2,1,262.3,217.8,281.6,256.1,2nd ignition:15:47:14 to15:47:31 w/ max temps of281.6 and256.1,10,-3.04,7.2218,7.8413,7.4884,3.6364,70,80,,132.3705926,256.9,219.9,57.00,36.00,20.00,56.00,11.00,146.00,115.00
2.5,2,7,ABCO,HP,2020,September,,23,58,,1,0,240.9,201.3,267.3,239,,10,-3.01,7.2409,7.8908,7.5976,2.3349,100,100,,82.19792543,227.3,198.6,63.00,61.00,0.00,61.00,14.00,75.00,61.00
2.5,2,8,ABCO,HP,2020,September,,23,60,,1,0,243.5,203.1,262.3,233.4,,10,-3.9,7.2016,7.8878,7.6089,3.3128,75,50,,68.47532531,240.8,207,69.00,65.00,0.00,65.00,19.00,129.00,110.00
1.1,1,1,ARPA,HP,2020,September,,26,59,29,1,1,317.6,245.6,360.4,267.4,,10,-0.41,7.235,9.5636,8.1391,4.0745,,,,157.5600044,304.4,239.8,117.00,109.00,6.00,115.00,10.00,118.00,102.00
1.1,1,2,ARPA,HP,2020,September,B0024:6s vid,24,59,25,1,0,,,,,thermocoupler turned off for ignition and after ignition,10,-3.35,7.243,8.6972,7.9381,4.1882,,,,109.2073083,251.2,224.2,85.00,81.00,0.00,81.00,32.00,124.00,92.00
1.1,1,3,ARPA,HP,2020,September,,25,57,43,1,0,282.2,222.2,294.8,262.8,,10,-2.48,7.2399,9.502,8.1423,4.5301,,,,150.6759752,260.9,220.9,69.00,67.00,0.00,67.00,24.00,167.00,143.00
1.1,1,4,ARPA,HP,2020,September,,22,65,26,1,0,225.1,196.5,232.2,269.4,"gpe,2nd ignition:21:04:45 to21:04:47",10,-2.9,7.2257,8.8212,7.9507,4.6836,,,,120.0689655,214.5,200,84.00,80.00,0.00,80.00,22.00,327.00,305.00
1.1,1,5,ARPA,HP,2020,September,,24,57,16,1,1,249.7,219.6,250.5,223.4,whole sample never fully engulfed; difficult to differentiate flame height from pilot flame!,8,-2.78,7.8254,10.1859,8.8657,3.661,,,,126.9057003,251.9,226.5,-34766.00,92.00,226.00,318.00,6.00,315.00,83.00
1.1,1,6,ARPA,HP,2020,September,,23,56,,1,0,245.3,216.7,252.2,236.8,,10,-3.72,7.2172,8.7139,7.974,4.1345,,,I doubt this was the same dryness for each sample? Video for a different species? ,97.76691332,243.7,221.8,49.00,49.00,0.00,49.00,26.00,165.00,139.00
1.1,1,7,ARPA,HP,2020,September,,25,53,,1,0,256.9,220.8,272.1,260.9,,10,-4.22,6.1535,7.265,6.7437,3.1075,,,,88.32599119,260,209.5,90.00,89.00,0.00,89.00,9.00,131.00,122.00
1.1,1,8,ARPA,HP,2020,September,,22,61,44,1,0,243.4,207.9,253.4,230.9,gpe,10,-4.63,7.2136,8.9599,8.1723,4.5958,,,,82.15291541,244.1,224.8,90.00,87.00,0.00,87.00,11.00,163.00,152.00
1.1,1,9,ARPA,HP,2020,September,,26,51,0,0,1,,,,,gpe,10,-4.63,7.2263,8.394,7.8635,3.139,,,,83.25486503,267.6,236.6,-58282.00,85.00,-58367.00,-58282.00,0.00,329.00,58696.00
1.1,1,10,ARPA,HP,2020,September,,24,60,,1,0,246.3,204.1,265.7,235.7,gpe,10,-2.16,7.2337,8.8668,8.1523,4.0795,,,,77.78140649,250.4,212.5,40.00,34.00,0.00,34.00,19.00,131.00,112.00
1.2,1,1,ARPA,HP,2020,September,,24,65,0,0,1,,,,,gpe,10,-0.18,7.1974,9.2251,8.0071,4.5202,,,,150.4260837,282.3,240.5,-43014.00,93.00,-43107.00,-43014.00,0.00,469.00,43576.00
1.2,1,2,ARPA,HP,2020,September,,26,56,15,2,0,331.5,239.2,397.9,262.3,2nd ignition:13:30:16 to13:30:59 w/  max temps of350.4 and270; flame ht for first flame (assume this is true for ALL2 ignition stuff),10,-0.31,7.2482,9.0118,7.9144,4.704,,,,164.7253077,301.9,244.7,45.00,42.00,0.00,42.00,13.00,216.00,203.00
